model_name	model_id	version	sequence_sha256	length	valid_states	invalid_states	valid_focal_plddt70	valid_feature_plddt70	valid_feature_plddt70_pae10	encoding_path	encoding_sha256
AF-A0A010QAE8-F1-v6	AF-A0A010QAE8-F1	6	de1f764d0ba51442f32a162a2534a90fbb98e869c40e655458f6fe484823757b	190	188	2	188	188	188	results/structural_alphabet/audited-marker-v2/AF-A0A010QAE8-F1-v6.npz	30da13e13ce863d8652a7338a812d120a6164e6ce0005c8dd306e2497274a285
AF-A0A010QAW4-F1-v6	AF-A0A010QAW4-F1	6	4ef645985e1c88106627406f5191566c6e6751f4d0dd189820572f4c32fdc839	335	333	2	231	226	226	results/structural_alphabet/audited-marker-v2/AF-A0A010QAW4-F1-v6.npz	35b4a8849e0a2e685eec00c29d81d33ac11854ed81dbd2c98687e25acd08dc62
AF-A0A074X1F2-F1-v6	AF-A0A074X1F2-F1	6	4ae756fad81484e8f878c624487ec48d97b06c836662447950767df3b592fb5b	1221	1219	2	1180	1148	1148	results/structural_alphabet/audited-marker-v2/AF-A0A074X1F2-F1-v6.npz	7b68ae2011f9db35e6abfb22ef3a0a4d031948eb54dae4317a29c3cf83835ad3
AF-A0A074X1S2-F1-v6	AF-A0A074X1S2-F1	6	321198ed135c3cd6fc1e052ff7c899e9f558878cf9c275dffd206e81ac52b8f9	187	185	2	175	162	160	results/structural_alphabet/audited-marker-v2/AF-A0A074X1S2-F1-v6.npz	b473683821a1551d9243ed4b07e672241564d68bb314760cc6f45695c515e81f
AF-A0A084FU76-F1-v6	AF-A0A084FU76-F1	6	d49cdd64c2d4185fe4caff29e14375f4214877518c459ccbfff510c7d0f003fe	885	883	2	637	554	554	results/structural_alphabet/audited-marker-v2/AF-A0A084FU76-F1-v6.npz	52379e58fa046e333e2e47fb2df8e12406e94e46ad3693e5d073a0d5f3a0cb4c
AF-A0A084FU84-F1-v6	AF-A0A084FU84-F1	6	794b3d9d4c89d86b3f67fe57c664e8db03e3fbc4b7ce7199a8be3bc22a2f8f21	1031	1029	2	820	778	778	results/structural_alphabet/audited-marker-v2/AF-A0A084FU84-F1-v6.npz	0ea7cce984e2c0677ee911b97448ae517b5bc72e2bc3bbd2fa3c5e1b16debbd6
AF-A0A099NVC6-F1-v6	AF-A0A099NVC6-F1	6	ebaa78dd08e3caf1a21618d268371bfd121d03e9040cb66b8c25d514127174ac	308	306	2	243	204	201	results/structural_alphabet/audited-marker-v2/AF-A0A099NVC6-F1-v6.npz	f0545a261c91bd42ff8e0465d5bfebf727a80a66398d8e4926bc1c29eee8e226
AF-A0A099NVU0-F1-v6	AF-A0A099NVU0-F1	6	57f2848cdc30f950d33a30bc48505b36feb828c8937e77b1afcc88de68931838	274	272	2	227	210	208	results/structural_alphabet/audited-marker-v2/AF-A0A099NVU0-F1-v6.npz	227af6985219c5b7dadff8f7dc625b80a7a76e0a1278956d360af8464c8e0b9a
AF-A0A0A2UZP2-F1-v6	AF-A0A0A2UZP2-F1	6	fb8c8501eea41b88bcc65ed4be57e6f6d462bbff94f0bbeacd3813b742b6969e	272	270	2	158	149	149	results/structural_alphabet/audited-marker-v2/AF-A0A0A2UZP2-F1-v6.npz	f4420f71abe993270908ab77c59a337732f49d9a1534d80c5e9397fac3670818
AF-A0A0A2V3J7-F1-v6	AF-A0A0A2V3J7-F1	6	f40c55d571f1ded17c99e646fcbffe58c788c40920bf03d629a7174742dbc1ba	488	486	2	408	395	394	results/structural_alphabet/audited-marker-v2/AF-A0A0A2V3J7-F1-v6.npz	694bb6b3afca551ea840a965b69b62b88f440726cc5e3c7263fa94fda916b2a4
AF-A0A0A2V4F4-F1-v6	AF-A0A0A2V4F4-F1	6	02b057bbf79487222dc39742880f6fd07f6061293db538c6d486adbc78499086	662	660	2	543	526	524	results/structural_alphabet/audited-marker-v2/AF-A0A0A2V4F4-F1-v6.npz	f5be7842b78b3b7ebe2ffa2b761d1222d208ea004dbefbf560beae2cd930b5e2
AF-A0A0C4DKJ0-F1-v6	AF-A0A0C4DKJ0-F1	6	0e898af57307f8a0e987e376bef084ae498dd49340cd72ae59f04b1b721a7e9a	405	403	2	276	251	251	results/structural_alphabet/audited-marker-v2/AF-A0A0C4DKJ0-F1-v6.npz	92ab819f4a5445aabbe033ea88dde036007fcf30ff430acb7bfec85bc1b575a0
AF-A0A0C4DL21-F1-v6	AF-A0A0C4DL21-F1	6	fc47ceebf4951d0e3747c59532d04b094196d604a63714d0be218501ffe5d941	695	693	2	460	425	425	results/structural_alphabet/audited-marker-v2/AF-A0A0C4DL21-F1-v6.npz	cfd753be843da60e674e4d83c77d91a2c8d3937f473430ffb7ea71b3669c5cdc
AF-A0A0C4DL48-F1-v6	AF-A0A0C4DL48-F1	6	8be6b158798bb1f4568694b8e2e80a0875c7fcfbc253ded31eb2fe8ed32500bf	463	461	2	420	395	395	results/structural_alphabet/audited-marker-v2/AF-A0A0C4DL48-F1-v6.npz	713671c2b4102cf8876dabed28951cf50670eaee379e763a354f822d200c908e
AF-A0A0G2DS19-F1-v6	AF-A0A0G2DS19-F1	6	c4cd573ffb371ffaeef777b11b4cf504f435bfa7cb74e3a6a3b9ee5267a71c07	964	962	2	923	893	893	results/structural_alphabet/audited-marker-v2/AF-A0A0G2DS19-F1-v6.npz	5251aa69e28f29f0d2d188d41a34b1a8e0586f2ef98ccc405ba98b2bae0acee0
AF-A0A0G2DT02-F1-v6	AF-A0A0G2DT02-F1	6	e02e58af98d769e00ca7797c4e6bfb05f7ea3c0e6952535e7cebfc1db9ec0a06	503	501	2	415	373	373	results/structural_alphabet/audited-marker-v2/AF-A0A0G2DT02-F1-v6.npz	3cec2180c28143b42d968615ae004323a229beb54f4e6cf2572296936222a3f3
AF-A0A0G2DVS4-F1-v6	AF-A0A0G2DVS4-F1	6	5c09ac96a29144b378bc74cfaeaed448b1c3a69db359d6a7f0ba8a51f51e8742	620	618	2	407	368	368	results/structural_alphabet/audited-marker-v2/AF-A0A0G2DVS4-F1-v6.npz	d87a2879e9f101c499aab3d837ab4f74f5c46aee4eea81b4150f36c89069c2be
AF-A0A0H5BY65-F1-v6	AF-A0A0H5BY65-F1	6	c89ef725e7a712c598ea049864af818e86896c626fa2462ae448f71a5821d9fc	261	259	2	194	186	186	results/structural_alphabet/audited-marker-v2/AF-A0A0H5BY65-F1-v6.npz	3d64eb97446c41e4490e8af907077ac427751e2de993aa03761720e59deed540
AF-A0A0H5BYI3-F1-v6	AF-A0A0H5BYI3-F1	6	e2ad1c6bff34ed8893bde954283abeae524b000b5e45143778c8382b866835ef	171	169	2	169	169	169	results/structural_alphabet/audited-marker-v2/AF-A0A0H5BYI3-F1-v6.npz	f1d69a2efcd22b8ce373bd8970989aaca24f0062d2438b9dcfe3ac9e042a896a
AF-A0A0W4ZB66-F1-v6	AF-A0A0W4ZB66-F1	6	554c3179b89631f110302109325ae798464d582c17c8d45fe93ab75c3bbf6603	328	326	2	298	290	290	results/structural_alphabet/audited-marker-v2/AF-A0A0W4ZB66-F1-v6.npz	988bd557e84a08a048de81985937ab5f1dbb39581ea5936a5f6249b1ac99b323
AF-A0A0W4ZBB0-F1-v6	AF-A0A0W4ZBB0-F1	6	36d80a68ca92c9037794ab64cdf6817e8efea3dc3f177d3be9ba64180da4b083	439	437	2	436	431	431	results/structural_alphabet/audited-marker-v2/AF-A0A0W4ZBB0-F1-v6.npz	df8c961121a7e900fbb6b01f4fccc234b2837f8b5796c7d4526706f5f9b74b00
AF-A0A0W4ZBW5-F1-v6	AF-A0A0W4ZBW5-F1	6	51cb33a3ca7ea5007b3ad697a8990936e6c5fe0371c74c5da3d8e2ee9753424d	564	562	2	407	379	379	results/structural_alphabet/audited-marker-v2/AF-A0A0W4ZBW5-F1-v6.npz	9deb5c064384e455f7118535ef81401ef0ed2ffe1470de258f1833740ed9937d
AF-A0A0W4ZCH6-F1-v6	AF-A0A0W4ZCH6-F1	6	57f99013b925566757188f101d7fa0bb26d827be16218dc48094726821d8a42d	241	239	2	137	111	111	results/structural_alphabet/audited-marker-v2/AF-A0A0W4ZCH6-F1-v6.npz	c87fcc6bf3fd8ca9c6bef6cbda6902ee0f874979cc9132fbdf0ceef45fcdcd5e
