taxon_id	marker	protein_id	model_id	sequence_sha256	experimental_entries	experimental_entities	interpretation
F4932	160487at2759	NP_011892.1	AF-P38764-F1	8bf7784ea7d1c049bdb205d07f75d93f35ee4acec9266bab391a7d2fd35e30ca	28	28	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	207567at2759	NP_015113.1	AF-Q08962-F1	cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	10	10	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F1080349	260326at2759	XP_018223938.1	AF-P34087-F1	83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	153	153	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F114525	260326at2759	XP_056081378.1	AF-P34087-F1	83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	153	153	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F230603	260326at2759	CAI4057551.1	AF-P34087-F1	83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	153	153	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27291	260326at2759	XP_033765625.1	AF-P34087-F1	83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	153	153	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	260326at2759	NP_010692.3	AF-P34087-F1	83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	153	153	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	2852757at2759	NP_010938.1	AF-P40016-F1	4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	21	21	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	345792at2759	NP_010270.1	AF-P15646-F1	a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	38	38	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	352891at2759	NP_015007.1	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	324	324	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	3643464at2759	NP_014273.1	AF-P53540-F1	018d9a0f9f044eb2e31ac355004ba9c03445119103a939258066dab1584e6f63	8	8	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4747214at2759	NP_014867.1	AF-P20436-F1	ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	333	333	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	4764044at2759	EHN07356.1	AF-P43593-F1	7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	3	3	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4764044at2759	NP_116665.1	AF-P43593-F1	7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	3	3	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27291	4803900at2759	XP_033769147.1	AF-P38902-F1	e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	262	262	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4803900at2759	NP_014638.1	AF-P38902-F1	e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	262	262	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4810093at2759	NP_013323.1	AF-Q05946-F1	2204d94499d8f398bca51469cb01266388ac536be512a882629aae7bd265fe1c	35	35	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4813267at2759	NP_013703.1	AF-P27692-F1	d51b4d7b8b361e2fb293c700e23b05e4083bc09e2964443d627e9cd6fd021ad8	3	3	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4837017at2759	NP_012916.1	AF-P33201-F1	1339886dfb0473fd4dc59344281a8288b3ac1979e074403818c8117482fe794b	41	41	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4838864at2759	NP_011661.2	AF-P48234-F1	6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	20	20	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4843240at2759	NP_013228.1	AF-Q12440-F1	d2e83bb04e0ae1d30287d074f8ae72b2d8a9d773a5c61e7fb8ec6027a8cc807a	3	3	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4843824at2759	NP_012778.1	AF-P35718-F1	c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	25	25	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4888252at2759	NP_013958.1	AF-P12868-F1	a2a73e470c73305e1f6d4f4e9a9608684ce06e3dc24a05e8ab1a1b9cfc46a1b5	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4900375at2759	NP_010777.3	AF-Q03406-F1	5cae9a720dba99e7f3e4f1de8b6a63064ee6691f0e076cf8012a08762d7a3c52	32	32	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4911644at2759	NP_012190.1	AF-P32565-F1	fe2ef41c38ef7266951644e6481f0310899fda58b257a0a6b0c7c8e3c3cabea4	26	26	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4969018at2759	NP_013276.1	AF-P33322-F1	2d7e7e33fba123987527cfc21632d56a468eaa85bbfa5764edf02cd0296d2e74	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4969990at2759	NP_009644.3	AF-P38251-F1	85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	49	49	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27292	4970538at2759	QID84870.1	AF-P33307-F1	21f58f1ca92c2c7e6a0ee5af2b0e31e3c2a5dfaddeaedfd5901b5d19d49a14e2	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4970538at2759	NP_011276.1	AF-P33307-F1	21f58f1ca92c2c7e6a0ee5af2b0e31e3c2a5dfaddeaedfd5901b5d19d49a14e2	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4971272at2759	NP_010134.1	AF-Q12250-F1	f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	22	22	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4974767at2759	NP_009990.1	AF-P25337-F1	85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	17	17	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4975094at2759	NP_011308.1	AF-P32558-F1	69e276995e1a4533cc3887bc5581aaef26520c25c4281f816a742c03163e46a0	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4977163at2759	NP_012463.1	AF-P40359-F1	9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	29	29	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4983000at2759	NP_013811.1	AF-Q04305-F1	c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	35	35	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4986044at2759	NP_011762.1	AF-P29056-F1	bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	6	6	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4987397at2759	NP_015344.1	AF-P30665-F1	0b38fefaef2eca7f23bb979bc9da1dec4e9a6ffe79ea3e53edd734b02e70527b	61	61	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4988239at2759	NP_014267.1	AF-P53914-F1	ee2df6f0ad1d4024a32a45cd63663e5131a0f5db5539d359a85c91fdea3cda18	19	19	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	4999134at2759	NP_012035.1	AF-P33334-F1	afce8faeb9f9a4ada2c845c4e3d79c90ad537b4a8e3a59aafc384343f8167a29	22	22	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5000152at2759	NP_013663.1	AF-Q04693-F1	1dc42923dbe67f5546e169f9ae859e3ae36837b2a80a83e3d20d416e2b26955d	8	8	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5000362at2759	NP_009611.1	AF-P19735-F1	bd8cb57c30a1cbcff373e7e2b8d9c5d1cfee5d5e28aa0b131ce53392844f35a9	6	6	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5000476at2759	NP_015433.1	AF-Q06103-F1	668cafe2b2304fbacb9ab68ea3c37c7805a16334996147ff72c4ca5be69b64eb	22	22	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5000823at2759	NP_009635.1	AF-P38249-F1	0645362bbfe056a56877c97cff3efb50b0c4a962d7c8500b0d40b60493489a68	7	7	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5000870at2759	NP_009761.4	AF-P38132-F1	dbff9e0a6531af71d18bb3f0b0febfb568f2e863b6861e6daa67f914c7942edf	61	61	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5000986at2759	NP_012466.1	AF-P40362-F1	6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	38	38	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
