case_id	taxa	nucleotide_columns	log_likelihood	gamma_alpha	total_tree_length	internal_edges	bootstrap_trees	maximum_ufb_rounding_difference	near_zero_edges_le1e_5	long_edges_ge10	warning_lines	translation_table	marker_copy_caveat	memory_adjustment_warning_lines	saturated_pairwise_distance_warning_lines	parameter_boundary_warning_lines	nni_convergence_warning_lines	other_warning_lines	review_required_before_codon_interpretation	selection_eligibility
Amanita__115730at2759__code1	5	978	-3818.95	0.3368	1.2814007668	2	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__129234at2759__code1	7	573	-2788.6804	0.2777	1.7897633477	4	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__160487at2759__code1	6	2634	-10928.2856	0.2491	1.5771937669	3	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__201273at2759__code1	6	726	-2795.981	0.2206	1.1511727908999998	3	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__207567at2759__code1	7	540	-2326.8232	0.3112	1.460344598	4	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__260326at2759__code1	6	510	-2011.0859	0.1748	2.0723903588	3	1000	0.4000000000000057	0	0	1	1	none_recorded	0	0	1	0	0	True	not_established
Amanita__2852757at2759__code1	5	1422	-5783.4987	0.3645	1.4366820581	2	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__288615at2759__code1	7	1905	-9521.8835	0.3555	1.8338170208000002	4	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__319730at2759__code1	7	1305	-5907.6167	0.3617	1.2166529444	4	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__340246at2759__code1	4	1878	-6763.0132	0.5381	1.1484409287	1	1000	0	0	0	1001	1	none_recorded	1001	0	0	0	0	False	not_established
Amanita__345792at2759__code1	6	771	-3086.5447	0.2809	1.2680088020000002	3	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__352891at2759__code1	7	741	-3472.1493	0.3061	1.5845440523000005	4	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__3643464at2759__code1	7	1878	-9166.2114	0.3273	2.0105342929	4	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4613677at2759__code1	7	315	-1668.6127	0.4337	2.1422281438	4	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4695236at2759__code1	7	3213	-15695.5325	0.3753	1.5393331311999998	4	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4747214at2759__code1	7	432	-1870.8286	0.2619	1.4927367302	4	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
