catalog_source	assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	taxon_name	genus	family	order	class	phylum	kingdom	superkingdom	provisional_proteome_url	selection_status	assembly_choice_reason
refseq_fungi	GCF_001477545.1	PRJNA342696	SAMN02380717	LFVZ00000000.1	reference genome	1408658	4754	Pneumocystis carinii B80	strain=B80	na	latest	Contig	Major	Full	2015-12-22	Pneu_cari_B80_V3	Broad Institute	GCA_001477545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3/	na	na	na	haploid	fungi	7661456	7661456	28.000000	0	62	62	Broad Institute	Annotation submitted by Broad Institute	2017-08-28	3695	3646	49	na	Pneumocystis carinii	Pneumocystis	Pneumocystaceae	Pneumocystales	Pneumocystomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_025594325.1	PRJNA194096	SAMN15893246	JANHCV000000000.1	reference genome	1313167	4808	Blastocladiella emersonii ATCC 22665	strain=ATCC 22665	na	latest	Contig	Major	Full	2022-10-05	blem_2022	Natural History Museum, London	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/594/325/GCA_025594325.1_blem_2022/	na	na	na	haploid	fungi	32654225	32654225	65.000000	0	21	21	Natural History Museum, London	Annotation submitted by Natural History Museum, London	2022-10-05	10254	10031	223	na	Blastocladiella emersonii	Blastocladiella	Blastocladiaceae	Blastocladiales	Blastocladiomycetes	Blastocladiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/594/325/GCA_025594325.1_blem_2022//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_027604105.1	PRJNA619725	SAMN14511932	JADGJY000000000.1	reference genome	4814	4814	Chytriomyces hyalinus	strain=ARG121	na	latest	Contig	Major	Full	2023-01-09	ASM2760410v1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/604/105/GCA_027604105.1_ASM2760410v1/	na	na	na	haploid	fungi	29515939	29515939	48.000000	0	1197	1197	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2023-01-09	11881	11575	306	na	Chytriomyces hyalinus	Chytriomyces	Chytriomycetaceae	Chytridiales	Chytridiomycetes	Chytridiomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/604/105/GCA_027604105.1_ASM2760410v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_900079185.1	PRJEB13349	SAMEA3923633	FKIZ00000000.1	reference genome	4829	4829	Absidia glauca	strain=CBS 101.48 substr. RVII-324 met-	na	latest	Scaffold	Major	Full	2016-04-15	AG_v1	FRIEDRICH SCHILLER UNIVERSITY JENA	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/185/GCA_900079185.1_AG_v1/	na	na	na	haploid	fungi	48746359	46014267	44.500000	0	5338	11900	FRIEDRICH SCHILLER UNIVERSITY JENA	Annotation submitted by FRIEDRICH SCHILLER UNIVERSITY JENA	2016-04-20	14936	14891	45	na	Absidia glauca	Absidia	Cunninghamellaceae	Mucorales	Mucoromycetes	Mucoromycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/185/GCA_900079185.1_AG_v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001638985.1	PRJNA342701	SAMN00189023	AMYC00000000.1	reference genome	763407	4837	Phycomyces blakesleeanus NRRL 1555(-)	strain=NRRL 1555(-)	na	latest	Scaffold	Major	Full	2016-05-06	Phybl2	JGI-PSF	GCA_001638985.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/638/985/GCF_001638985.1_Phybl2/	na	na	na	haploid	fungi	53939167	53368596	36.000000	0	80	350	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-09-22	16850	16542	308	na	Phycomyces blakesleeanus	Phycomyces	Phycomycetaceae	Mucorales	Mucoromycetes	Mucoromycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/638/985/GCF_001638985.1_Phybl2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_041956525.1	PRJNA1175690	SAMN39447127	JAZGQV000000000.1	reference genome	4840	4840	Rhizomucor pusillus	strain=CBS 183.67	na	latest	Scaffold	Major	Full	2024-09-16	Rhipu1	DOE Joint Genome Institute	GCA_041956525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/525/GCF_041956525.1_Rhipu1/	na	na	na	haploid	fungi	25384556	24979024	45.000000	0	48	437	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-23	11084	10974	110	39266695	Rhizomucor pusillus	Rhizomucor	Lichtheimiaceae	Mucorales	Mucoromycetes	Mucoromycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/525/GCF_041956525.1_Rhipu1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_003325415.1	PRJNA418064	SAMN08014120	PJQM00000000.1	na	4846	4846	Rhizopus stolonifer	strain=LSU 92-RS-03	na	latest	Scaffold	Major	Full	2018-07-17	Rstol_CA	University of California, Riverside	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/415/GCA_003325415.1_Rstol_CA/	na	na	na	haploid	fungi	29727802	29658985	37.000000	0	8064	10940	University of California, Riverside	Annotation submitted by University of California, Riverside	2018-07-17	14027	13974	53	29674435	Rhizopus stolonifer	Rhizopus	Rhizopodaceae	Mucorales	Mucoromycetes	Mucoromycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/415/GCA_003325415.1_Rstol_CA//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_025331445.1	PRJNA334931	SAMN05444963	JAIWNE000000000.1	reference genome	4850	4850	Blakeslea trispora	strain=NRRL 2456	na	latest	Contig	Major	Full	2022-09-20	Blatri1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/331/445/GCA_025331445.1_Blatri1/	na	na	na	haploid	fungi	37513922	37513922	37.500000	0	328	328	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022-09-20	11861	11682	179	35996588	Blakeslea trispora	Blakeslea	Choanephoraceae	Mucorales	Mucoromycetes	Mucoromycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/331/445/GCA_025331445.1_Blatri1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_025766245.1	PRJNA364360	SAMN06264951	JAIXMU000000000.1	reference genome	4864	4864	Coemansia mojavensis	strain=RSA 71	na	latest	Contig	Major	Full	2022-10-20	Coemoj1	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/766/245/GCA_025766245.1_Coemoj1/	na	assembly from type material	na	haploid	fungi	14291446	14291446	50.000000	0	55	55	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022-10-20	6944	6859	85	35996588	Coemansia mojavensis	Coemansia	Kickxellaceae	Kickxellales	Kickxellomycetes	Kickxellomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/766/245/GCA_025766245.1_Coemoj1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_027576915.1	PRJNA581591	SAMN13165479	JANBPZ000000000.1	reference genome	4866	4866	Dipsacomyces acuminosporus	strain=NRRL 2925	na	latest	Scaffold	Major	Full	2023-01-06	UCR_DiacNRRL2925_1.0	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/576/915/GCA_027576915.1_UCR_DiacNRRL2925_1.0/	na	na	na	haploid	fungi	15199616	15095191	51.500000	0	2570	3826	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2023-01-06	6419	6346	73	na	Dipsacomyces acuminosporus	Dipsacomyces	Kickxellaceae	Kickxellales	Kickxellomycetes	Kickxellomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/576/915/GCA_027576915.1_UCR_DiacNRRL2925_1.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_027575855.1	PRJNA535837	SAMN11510661	JANBPW000000000.1	reference genome	4868	4868	Linderina macrospora	strain=NRRL 5244	na	latest	Scaffold	Major	Full	2023-01-06	UCR_LimaNRRL5244_1.0	DOE Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/575/855/GCA_027575855.1_UCR_LimaNRRL5244_1.0/	na	na	na	haploid	fungi	15821707	15808736	53.000000	0	7010	7142	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2023-01-06	7354	7268	86	na	Linderina macrospora	Linderina	Kickxellaceae	Kickxellales	Kickxellomycetes	Kickxellomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/575/855/GCA_027575855.1_UCR_LimaNRRL5244_1.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_009809945.1	PRJNA575165	SAMN12878420	WTPW00000000.1	reference genome	4874	4874	Gigaspora margarita	strain=BEG34	na	latest	Scaffold	Major	Full	2019-12-30	UNITO_GmarBEG34_1.0	CNR	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/809/945/GCA_009809945.1_UNITO_GmarBEG34_1.0/	na	na	na	haploid	fungi	773098546	716409106	27.500000	0	6489	47617	CNR	Annotation submitted by CNR	2019-12-30	26596	26134	0	31621176	Gigaspora margarita	Gigaspora	Gigasporaceae	Diversisporales	Glomeromycetes	Glomeromycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/809/945/GCA_009809945.1_UNITO_GmarBEG34_1.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000002945.2	PRJNA127	SAMEA3138176	na	reference genome	4896	4896	Schizosaccharomyces pombe	strain=972h-	na	latest	Chromosome	Major	Full	2019-07-23	ASM294v3	S. pombe European Sequencing Consortium (EUPOM)	GCA_000002945.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.2_ASM294v3/	na	na	na	haploid	fungi	12571820	12571420	36.000000	3	3	7	PomBase	Annotation submitted by PomBase	2024-08-16	12645	5124	7489	2446871;2780299;4046021;6092057;11859360;15811919	Schizosaccharomyces pombe	Schizosaccharomyces	Schizosaccharomycetaceae	Schizosaccharomycetales	Schizosaccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.2_ASM294v3//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000149845.2	PRJNA32667	SAMN02953668	AATM00000000.2	reference genome	402676	4897	Schizosaccharomyces japonicus yFS275	strain=yFS275	na	latest	Scaffold	Major	Full	2013-08-16	SJ5	Broad Institute	GCA_000149845.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/845/GCF_000149845.2_SJ5/	na	na	na	haploid	fungi	11733154	11135996	44.000000	0	32	87	Broad Institute	Annotation submitted by Broad Institute	2017-10-11	5224	4878	337	21511999	Schizosaccharomyces japonicus	Schizosaccharomyces	Schizosaccharomycetaceae	Schizosaccharomycetales	Schizosaccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/845/GCF_000149845.2_SJ5//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000150505.1	PRJNA264110	SAMN02953709	ABHY00000000.3	reference genome	483514	4899	Schizosaccharomyces octosporus yFS286	strain=yFS286	na	latest	Scaffold	Major	Full	2013-07-30	SO6	Broad Institute	GCA_000150505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/505/GCF_000150505.1_SO6/	na	na	na	haploid	fungi	11634473	11262981	37.500000	0	5	18	Broad Institute	Annotation submitted by Broad Institute	2023-12-29	5347	4986	361	21511999	Schizosaccharomyces octosporus	Schizosaccharomyces	Schizosaccharomycetaceae	Schizosaccharomycetales	Schizosaccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/505/GCF_000150505.1_SO6//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001661405.1	PRJNA374042	SAMN02616005	LTAD00000000.1	reference genome	4903	4903	Williopsis jadinii	strain=NRRL Y-1542	na	latest	Scaffold	Major	Full	2016-09-15	Cybja1	DOE Joint Genome Institute	GCA_001661405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/405/GCF_001661405.1_Cybja1/	na	assembly from type material	na	haploid	fungi	13018415	12757021	44.500000	0	76	392	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2025-07-15	6184	6032	152	27535936	Williopsis jadinii	Williopsis	Wickerhamomycetaceae	Phaffomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/405/GCF_001661405.1_Cybja1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_003054445.1	PRJNA545694	SAMN08558011	na	reference genome	4909	4909	Pichia kudriavzevii	strain=CBS573	na	latest	Complete Genome	Major	Full	2018-04-17	ASM305444v1	University College Dublin	GCA_003054445.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1/	na	assembly from heterotypic synonym type material	na	haploid	fungi	10812555	10812555	38.500000	5	5	5	University College Dublin	Annotation submitted by University College Dublin	2019-06-16	5324	5139	185	na	Pichia kudriavzevii	Pichia	Pichiaceae	Pichiales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
