marker	sites	sites_with_omitted_observation	omitted_residues	max_abs_delta_rsa_tien2013_theoretical_q25	max_abs_delta_rsa_tien2013_theoretical_median	max_abs_delta_rsa_tien2013_theoretical_q75	max_abs_delta_rsa_miller1987_q25	max_abs_delta_rsa_miller1987_median	max_abs_delta_rsa_miller1987_q75	max_abs_delta_ca_plddt_q25	max_abs_delta_ca_plddt_median	max_abs_delta_ca_plddt_q75
129234at2759	166	132	132	0.0055638651856321775	0.0017423835197198922	0.002252462776031472	0.005430680454552861	0.0022289642795152026	0.0027559544553796833	0.21249999999999147	0.13000000000000966	0.0800000000000125
260326at2759	151	112	112	0.004343432757772908	0.00901113831663991	0.0034068533313719174	0.005235224825783591	0.0065303004914091245	0.005623444591060567	0.12000000000000455	0.125	0.26250000000000284
345792at2759	226	221	386	0.014219146457479459	0.009647226051987867	0.007851632521841068	0.016166166511823232	0.013182154570423377	0.030960220184318987	0.710000000000008	0.37000000000000455	0.09250000000000114
4613677at2759	73	60	60	0.00549184592124119	0.0012586646690302405	0.0016042489077759958	0.0033670904969436144	0.002311359177818273	0.005173255028198043	0.20499999999998408	0.0799999999999983	0.05499999999999261
4803900at2759	101	92	92	0.0033043898221219725	0.0035714873867704333	0.0078100448541975065	0.003406521497647086	0.004407848357090183	0.0059053268041133755	0.22750000000000625	0.1599999999999966	0.10500000000000398
4867008at2759	177	175	175	0.0037160955612731694	0.004177717243258383	0.005936554290856211	0.00454222006871452	0.005930305119098533	0.016680734165160915	0.21000000000000796	0.15500000000000114	0.1424999999999983
4896098at2759	150	144	144	0.0073599476287932175	0.004193195687991702	0.02769603743948501	0.004269264556425345	0.004957049432339267	0.006628492901502359	0.1799999999999926	0.09000000000000341	0.09000000000000341
5000452at2759	292	259	259	0.008893145845783434	0.008182335987198197	0.010726073793686064	0.01045170287015991	0.014627003955916096	0.01656207816822375	1.019999999999996	0.4399999999999977	0.12000000000000455
5000743at2759	166	134	134	0.024792568166498608	0.003873844717995456	0.006868096155563386	0.030598422737134368	0.00781615323556073	0.013080986548577977	0.16750000000000398	0.42499999999999716	0.3674999999999926
5001273at2759	229	199	199	0.00581882359181711	0.018559773911689836	0.11303583020430885	0.004689318179045832	0.04695318751449862	0.12411777434198612	0.21249999999999147	0.2149999999999892	0.3900000000000148
5001413at2759	251	250	250	0.006074214944192802	0.004412760558741069	0.004041293958455872	0.020496671061670413	0.010019797131414765	0.005448794521302203	0.17249999999999943	0.2049999999999983	0.11999999999999034
5001473at2759	81	63	63	0.02297821945397127	0.003328166811398914	0.003256764971131143	0.026124614648913358	0.003921690300449976	0.0013335926447253232	0.20250000000001478	0.10000000000000853	0.052499999999994884
5003856at2759	219	126	126	0.003000874255156216	0.007392127561020034	0.004651684167716108	0.00466353694564936	0.00986143551262203	0.005018992716876003	0.39000000000000057	0.13500000000000512	0.0724999999999909
5003972at2759	205	179	179	0.003908654280902424	0.0034738919057035744	0.008606091648950986	0.004126930174646937	0.003969393734224225	0.015586924505093802	0.2424999999999926	0.16499999999999204	0.292500000000004
5004118at2759	84	52	52	0.012853283531740423	0.012391699037368864	0.0332489059274475	0.014352833277110122	0.01711341451356141	0.016721685004148723	1.2674999999999983	0.8099999999999881	0.3125
5005010at2759	92	92	92	0.0015273607071383255	0.0017193009202045029	0.002237231809816387	0.002230290706007554	0.002267174142805084	0.0030195889244645224	0.1075000000000017	0.0799999999999983	0.10999999999999943
5013259at2759	121	81	81	0.015912497295878292	0.012784478462727344	0.028851033477129917	0.017768955313730794	0.008424360532853004	0.03207912113890665	0.23499999999999943	0.5499999999999972	1.0949999999999989
5013726at2759	166	131	131	0.004714080166210999	0.008595066230716097	0.007486721549392061	0.007013937567988349	0.017152563298597268	0.00832439668778559	0.13500000000000512	0.10500000000000398	0.08499999999999375
