taxon_id	assembly_accession	fcs_regions	gff_cds_feature_rows_scanned	regions_without_gff_sequence	overlapping_proteins	overlap_feature_rows_without_protein_id
F105984	GCF_003942205.1	1	40256	0	0	0
F1093900	GCF_004353045.1	6	36371	0	0	0
F1099800	GCA_051599425.1	74	14223	0	1	0
F1116844	GCA_026025805.1	2	20211	0	2	0
F1117311	GCA_946474995.1	254	82067	0	1111	0
F1130053	GCA_026023565.1	1	29304	0	1	0
F133377	GCA_003097675.1	4	22699	0	1	0
F1348612	GCA_003547095.1	2	124169	0	26	0
F1440133	GCA_015849295.1	167	40496	0	31	0
F144530	GCA_910591945.1	141	64022	0	495	0
F144538	GCA_910592345.1	30	55606	0	117	0
F144539	GCA_910592205.1	54	50796	0	178	0
F144679	GCA_910591765.1	229	64708	0	573	0
F147573	GCA_010093745.1	5	13530	0	42	0
F158046	GCA_001006345.1	1	19299	0	2	0
F1604274	GCA_026954515.1	1	49790	0	1	0
F164912	GCA_014805555.1	38	2865	0	93	0
F1670608	GCA_020080175.1	41	25827	0	72	0
F1712513	GCA_003614755.1	26	25558	0	261	0
F177199	GCA_003635345.1	502	25993	0	3	0
F1806994	GCF_006535985.1	1	49130	0	0	0
F181123	GCA_000469055.2	137	210947	0	61	0
F1851185	GCA_025201365.1	1	44268	0	1	0
F1940652	GCA_905337335.1	1	21722	0	0	0
F203908	GCF_000204055.1	1	78950	0	0	0
F2082308	GCA_002895985.1	3	19882	0	0	0
F223192	GCF_000392275.1	2	24561	0	0	0
F226899	GCF_000143105.1	3	23726	0	0	0
F236234	GCF_001883845.1	7	32342	0	2	0
F245174	GCF_000400465.1	3	16607	0	0	0
F2562287	GCA_958431285.1	92	79167	0	1171	0
F264124	GCA_000697705.1	2	89436	0	15	0
F264483	GCA_001007165.2	2	52272	0	3	0
F27376	GCA_910592055.1	535	54536	0	903	0
F2748771	GCA_014898675.1	1	124856	0	1	0
F2767002	GCA_016946835.1	1	128043	0	2	0
F2778381	GCA_904855205.1	3	39164	0	0	0
F278681	GCA_017911155.1	7	23153	0	1	0
F2796175	GCA_026025055.1	24	24068	0	30	0
F2813651	GCF_000225545.1	2	36375	0	4	0
F28583	GCA_000151295.1	2	65378	0	1	0
F2871812	GCA_022814355.1	15	24260	0	35	0
F288795	GCA_000166175.1	2	42643	0	0	0
F291195	GCA_004000155.1	15	3021	0	21	0
F2918522	GCA_022814235.1	1	24985	0	8	0
F29883	GCF_000143565.1	3	99566	0	0	0
F318760	GCA_022814315.1	39	27361	0	138	0
F318763	GCA_026027315.1	3	29269	0	0	0
F348617	GCA_022478985.1	2	23924	0	3	0
F370292	GCA_014904855.1	1	63758	0	0	0
F401625	GCA_900000165.1	1	32348	0	2	0
F43433	GCF_024521635.1	1	33531	0	0	0
F460848	GCA_026023815.1	124	24826	0	144	0
F460854	GCA_026023795.1	6	24530	0	1	0
F48565	GCA_011800875.2	28	99723	0	30	0
F4874	GCA_009809945.1	7	131983	0	16	0
F5011	GCA_000312925.2	19	7656	0	10	2
F50956	GCA_016748015.1	26	107499	0	42	0
F5281	GCF_000711695.1	2	22197	0	0	0
F52883	GCA_022814155.1	1	23233	0	1	0
F599730	GCA_020536225.1	10	13290	0	0	0
F610337	GCA_030039265.1	60	30689	0	3874	0
F61424	GCA_003086725.1	2	22479	0	0	0
F63577	GCF_020647795.1	4	34540	0	0	0
F658196	GCA_003550305.1	31	85211	0	253	0
F705562	GCA_010093785.1	5	22026	0	11	0
F73868	GCA_002157105.1	14	44997	0	15	0
F746128	GCF_000002655.1	1	30114	0	0	0
F77020	GCF_001278385.1	1	9342	0	0	0
F82508	GCF_000293215.1	9	26134	0	3	0
F84753	GCF_000747765.1	1	12127	0	0	0
F87287	GCA_023645895.1	1	20582	0	0	0
F90408	GCA_022814295.1	22	31246	0	141	0
F92988	GCA_054600435.1	1	19922	0	0	0
O10228	GCF_000150275.1	176	96701	0	7	0
O133409	GCA_000277445.1	1	26021	0	4	0
O1890364	GCA_003024175.1	2	162656	0	3	0
O192875	GCF_000151315.2	1	41706	0	3	0
O225164	GCF_000327385.1	1	141226	0	1	0
O283909	GCA_000328365.1	941	170293	0	953	0
O400682	GCF_000090795.2	45	190920	0	165	0
O44689	GCF_000004695.1	1	30141	0	1	0
O529818	GCF_000142905.1	1	20038	0	0	0
O5786	GCF_000190715.1	1	30795	0	2	0
O6239	GCF_000002985.6	1	204604	0	0	0
O81824	GCF_000002865.3	1	69068	0	0	0
