marker	input_taxa	accepted_taxa	excluded_taxa	codon_columns	code_count	translation_codes_json
115730at2759	481	478	3	339	3	"{""1"": 472, ""12"": 5, ""26"": 1}"
129234at2759	472	468	4	193	3	"{""1"": 463, ""12"": 4, ""26"": 1}"
160487at2759	487	485	2	892	3	"{""1"": 479, ""12"": 5, ""26"": 1}"
201273at2759	478	475	3	260	3	"{""1"": 471, ""12"": 3, ""26"": 1}"
207567at2759	478	477	1	180	3	"{""1"": 471, ""12"": 5, ""26"": 1}"
260326at2759	488	484	4	170	3	"{""1"": 478, ""12"": 5, ""26"": 1}"
2852757at2759	477	474	3	502	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
288615at2759	504	498	6	673	3	"{""1"": 492, ""12"": 5, ""26"": 1}"
319730at2759	491	489	2	452	3	"{""1"": 483, ""12"": 5, ""26"": 1}"
340246at2759	468	462	6	727	2	"{""1"": 458, ""12"": 4}"
345792at2759	482	474	8	306	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
352891at2759	472	469	3	252	3	"{""1"": 464, ""12"": 4, ""26"": 1}"
4613677at2759	478	476	2	131	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
4695236at2759	486	481	5	1091	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
4747214at2759	480	479	1	145	3	"{""1"": 473, ""12"": 5, ""26"": 1}"
4764044at2759	475	473	2	524	3	"{""1"": 467, ""12"": 5, ""26"": 1}"
4803900at2759	418	418	0	123	3	"{""1"": 413, ""12"": 4, ""26"": 1}"
4810093at2759	452	444	8	804	3	"{""1"": 438, ""12"": 5, ""26"": 1}"
4813267at2759	486	477	9	933	3	"{""1"": 472, ""12"": 4, ""26"": 1}"
4823929at2759	492	489	3	443	3	"{""1"": 483, ""12"": 5, ""26"": 1}"
4837017at2759	489	488	1	232	3	"{""1"": 482, ""12"": 5, ""26"": 1}"
4838864at2759	486	481	5	672	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
4843240at2759	476	473	3	705	3	"{""1"": 467, ""12"": 5, ""26"": 1}"
4867008at2759	476	473	3	184	3	"{""1"": 467, ""12"": 5, ""26"": 1}"
4888252at2759	471	465	6	956	3	"{""1"": 459, ""12"": 5, ""26"": 1}"
4896098at2759	463	460	3	209	3	"{""1"": 454, ""12"": 5, ""26"": 1}"
4900375at2759	496	492	4	213	3	"{""1"": 486, ""12"": 5, ""26"": 1}"
4908955at2759	499	497	2	329	3	"{""1"": 491, ""12"": 5, ""26"": 1}"
4911644at2759	479	474	5	974	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
4940884at2759	460	453	7	964	3	"{""1"": 448, ""12"": 4, ""26"": 1}"
4969018at2759	488	481	7	477	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
4969636at2759	480	477	3	424	3	"{""1"": 472, ""12"": 4, ""26"": 1}"
4969990at2759	483	479	4	352	3	"{""1"": 473, ""12"": 5, ""26"": 1}"
4970387at2759	444	442	2	156	3	"{""1"": 436, ""12"": 5, ""26"": 1}"
4970538at2759	485	481	4	966	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
4971272at2759	473	470	3	448	3	"{""1"": 464, ""12"": 5, ""26"": 1}"
4974767at2759	465	462	3	147	3	"{""1"": 456, ""12"": 5, ""26"": 1}"
4975094at2759	477	474	3	1020	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
4976279at2759	464	455	9	443	3	"{""1"": 449, ""12"": 5, ""26"": 1}"
