study_role	lineage_group	length_bin_128	af_mean_plddt_bin	eligible_unique_sequences	sequence_id
ingroup	Ascomycota	1	at_least70	161	Sdeb4f670248d4bc991508abc976511cfc7e2c0a3b682c1a80e0aaabc0305385e
ingroup	Ascomycota	1	at_least70	161	S388d7a83033e848e74f619defc783766791197cc94e40d254d80aa7a282814d2
ingroup	Ascomycota	1	at_least70	161	S03029ed23497eca7ce6a0b108974982d56c8c1348fd9863eefb556a10d1ccff4
ingroup	Ascomycota	1	at_least70	161	S3b8e5783a612762bfa4c41aed35e8da7ff119c75d38f2d9e063493e8e98ba197
ingroup	Ascomycota	1	below70	7	Sffacc9949fb56f182af909fbc8edc9ec4db1863358732d522b3479a9eb9338fb
ingroup	Ascomycota	1	below70	7	Sad7e39192cf03ad9e42cbf3bfc2f3e6662838e9d7e339dd7fc3e680e08fad447
ingroup	Ascomycota	1	below70	7	S4e411c3dd3f6dcb8ef7147709760f09da378251569083bcf6b52331f9d47c32d
ingroup	Ascomycota	1	below70	7	Se5c6fb92860b3140389f8e01c65f56b876fad6ff21c579a240c720dadf08a06f
ingroup	Ascomycota	2	at_least70	2018	S7be55fe28c1b840d8a40976c85270d2981495380107df92a12ce1ffa6582a16b
ingroup	Ascomycota	2	at_least70	2018	Sd88f0481fbc1de423f4cb9db4f4874ed941bff9f3432a3f90b66eee2a5a7d31a
ingroup	Ascomycota	2	at_least70	2018	S0a9ce61e6a3969318803b9b284504fed8eb57bcc35a523d0d25848dbab0b6e43
ingroup	Ascomycota	2	at_least70	2018	S3f755f2d841916bea43292c4a0c457564e88d6488c5261d92ae8372261406ef3
ingroup	Ascomycota	2	below70	115	S8bf38b9259b59a987d0ba3b740f44fb6631798b612a72dcc8dd498f97b3e94e9
ingroup	Ascomycota	2	below70	115	S0e67f4e32015d0ae08fde57947f2e5bdf71d3d9f321f3f8db9976dd12cf33718
ingroup	Ascomycota	2	below70	115	S10a101a97189fed9a6784da1a0abcdf985927a255c1d4f367356206e6481784a
ingroup	Ascomycota	2	below70	115	Sd9a25e2f652872ff92209129899814891073d1d7702cd0ca5cfe73dc6abe0a36
ingroup	Ascomycota	3	at_least70	2164	S05c3daf0025971f65f50eb9a680a91756bb286827cbeb06a04f11695ab46f0a0
ingroup	Ascomycota	3	at_least70	2164	Sb9dc2fcb0f400a6f140071f613ed9dd905d17c5273f0d43483d33ef86ed16d06
ingroup	Ascomycota	3	at_least70	2164	S7dffdf4a4e8ea78958549faa14dd5344c377d48ea8ae0c7ae678d97383ffdae1
ingroup	Ascomycota	3	at_least70	2164	Sca65eabc12e5f5481a7ce6651fdd1ef45fb6ef354cfa750958ae3891b21f13b6
ingroup	Ascomycota	3	below70	145	S6802116f08b8581f611e96e5d8a237cd3840f93cded2948f50242a57d999ec61
ingroup	Ascomycota	3	below70	145	S35037e3f5d7ae2e8473b30e65158cb6e6c3f4747212f9dd0ce106922aed7185d
ingroup	Ascomycota	3	below70	145	S367e66f0de6f559219971a8d4f8e411582835a03498b9b83a2f64976ebe650a3
ingroup	Ascomycota	3	below70	145	S88369138c864ac2f734b9c0b827c7890cb281eb898616c9ad3b41b37c4645772
ingroup	Ascomycota	4	at_least70	1967	Sfe01c3946a40831d2566f18cb216d897e8d0a17c79f11d1daae8afa760711986
ingroup	Ascomycota	4	at_least70	1967	S8d61adb8359f5d238df5099cc8f9a604ecac3593bce656db00205072cf096387
ingroup	Ascomycota	4	at_least70	1967	S268de336ecc23e41e2099b35e1bd3bc419765459ca941356c423653175d949de
ingroup	Ascomycota	4	at_least70	1967	S245072443b4a669299090c0781ba3a79be190dc18b718cdeb6e055cca2dc4309
ingroup	Ascomycota	4	below70	173	S2f111b01e1ddfaafadc7455da71327c23be6f032bb6153ce59ffed1a9fa73f22
ingroup	Ascomycota	4	below70	173	S5534481c93572b9fbcdd0c01326a67ceb79bf512531f964f601d99f6a8c841d6
ingroup	Ascomycota	4	below70	173	S6e03581209b0b10b7b8cbdc4acd3ee8ca4eca27ac684653885a4fed818d2011f
ingroup	Ascomycota	4	below70	173	S596382c424db78b326046a582be880cc0122187838f4896e38ea38ea8c697edc
