taxon_id	protein_id	full_audit_status	marker_translation_status	translation_table	comparison
F4896	NP_595834.3	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F5479	KAL6453941.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F5479	KAL6453010.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F5479	KAL6452221.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F5479	KAL6452485.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F5479	KAL6452634.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F5479	KAL6450565.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F5479	KAL6449688.1	annotation_exception_requires_review	exact_translation	12	full_audit_annotation_exception_gate
F2609844	XP_062805634.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F1682393	XP_046017193.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F1882483	PWZ03808.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F1882483	PWY98152.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F1555241	RKO99701.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F994334	RUP52209.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
F278681	KAG5462555.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
O400682	XP_019859120.1	annotation_exception_requires_review	translation_mismatch	1	full_audit_annotation_exception_gate
O2700040	XP_078691840.1	annotation_exception_requires_review	exact_translation	1	full_audit_annotation_exception_gate
