taxon_id	species_name	study_role	fasta_records	total_length	record_N50	record_L50	longest_record	N_bases	N_fraction	other_ambiguous_bases	gc_percent_canonical	scope	status
F2109901	Amoeboradix gromovi	ingroup	1319	10549678	13348	235	95616	0	0.0	0	36.26849084872543	All deposited FASTA records; no gap splitting or organelle filtering	measured
F2020955	Sanchytrium tribonematis	ingroup	3367	11672271	11332	264	91304	0	0.0	0	34.63685001830407	All deposited FASTA records; no gap splitting or organelle filtering	measured
OFS5426470	Corallochytrium limacisporum	outgroup	287	24115307	180470	41	697368	571268	0.023689020421759507	0	51.200594766259094	All deposited FASTA records; no gap splitting or organelle filtering	measured
OFS5426494	Chromosphaera perkinsii	outgroup	12060	36906714	112193	93	476483	3974065	0.10767864622138942	0	42.51454233153245	All deposited FASTA records; no gap splitting or organelle filtering	measured
OFS5426506	Pirum gemmata	outgroup	78811	84466422	1637	14746	36363	506006	0.005990617194605449	0	28.981935963728432	All deposited FASTA records; no gap splitting or organelle filtering	measured
OFS5426458	Abeoforma whisleri	outgroup	74687	101910299	2170	13081	30250	5641866	0.055361097507917234	0	30.266197435664086	All deposited FASTA records; no gap splitting or organelle filtering	measured
OFS1403592	Creolimax fragrantissima	outgroup	83	44821703	1585957	9	4169073	262396	0.00585421754278279	2	40.514617541723325	All deposited FASTA records; no gap splitting or organelle filtering	measured
