case_id	taxa	nucleotide_columns	distinct_aligned_sequences	informative_nucleotide_columns	diagnostic_fit_completed	copy_caveat	fcs_omission_status	remaining_taxa_after_fcs_omission	target_original_dS_review_label	multistart_refit_completed	case_specific_review_flags	selection_eligibility	remaining_general_requirements
Amanita__115730at2759__code1	5	978	5	175	True	none_recorded	unchanged_by_declared_fcs_omission	5	0.9827746190132818	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__129234at2759__code1	7	573	7	160	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.902048071815029	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__160487at2759__code1	6	2634	6	609	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.1768773452342287	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__201273at2759__code1	6	726	6	139	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.9742149987312871	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__207567at2759__code1	7	540	7	125	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1098184439470735	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__260326at2759__code1	6	510	6	100	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.7602158436567645	False	tree_parameter_boundary_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__2852757at2759__code1	5	1422	5	276	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.3210934674233645	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__288615at2759__code1	7	1905	7	552	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.2047439886881248	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__319730at2759__code1	7	1305	7	307	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.7956579887737525	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__340246at2759__code1	4	1878	4	216	True	none_recorded	unchanged_by_declared_fcs_omission	4	0.9909119979322294	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__345792at2759__code1	6	771	6	141	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.9807741626449034	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
