marker	taxon_a	taxon_b	domain_1	domain_2	domain_1_name	domain_2_name	domain_1_residues	domain_2_residues	domain_1_own_fit_rmsd	domain_2_own_fit_rmsd	domain_1_pae10_local_fraction	domain_2_pae10_local_fraction	pae_cutoff_angstrom	interdomain_residue_pairs	confident_interdomain_pairs	confident_interdomain_fraction	interdomain_mean_absolute_distance_change_angstrom	confident_interdomain_mean_absolute_distance_change_angstrom
207567at2759	F101201	F2486360	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.2075588246035776	0.7102646033840029	1.0	0.9965665236051502	5	6004	2402	0.4000666222518321	0.19900335091554586	0.1515379623794544
207567at2759	F101201	F2486360	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.2075588246035776	0.7102646033840029	1.0	0.9965665236051502	10	6004	5418	0.902398401065956	0.19900335091554586	0.18898760798412179
207567at2759	F101201	F2486360	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.2075588246035776	0.7102646033840029	1.0	0.9965665236051502	15	6004	5862	0.9763491005996002	0.19900335091554586	0.1946943366975992
207567at2759	F101201	F398673	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	5	6399	3062	0.4785122675418034	0.0	0.0
207567at2759	F101201	F398673	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	10	6399	5738	0.8967026097827786	0.0	0.0
207567at2759	F101201	F398673	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	15	6399	6130	0.9579621815908735	0.0	0.0
207567at2759	F101201	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.4802723742973282	1.5675242028919962	1.0	0.995850622406639	5	6241	2782	0.44576189713186987	0.4236810776309189	0.2294006738801752
207567at2759	F101201	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.4802723742973282	1.5675242028919962	1.0	0.995850622406639	10	6241	5611	0.8990546386796988	0.4236810776309189	0.253234764754061
207567at2759	F101201	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.4802723742973282	1.5675242028919962	1.0	0.995850622406639	15	6241	5969	0.9564172408267906	0.4236810776309189	0.3062631241974884
207567at2759	F101201	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	5	6399	3062	0.4785122675418034	0.0	0.0
207567at2759	F101201	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	10	6399	5738	0.8967026097827786	0.0	0.0
207567at2759	F101201	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	15	6399	6130	0.9579621815908735	0.0	0.0
207567at2759	F101201	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	5	6399	3062	0.4785122675418034	0.0	0.0
207567at2759	F101201	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	10	6399	5738	0.8967026097827786	0.0	0.0
207567at2759	F101201	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	15	6399	6130	0.9579621815908735	0.0	0.0
207567at2759	F2486360	F398673	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	5	6004	2402	0.4000666222518321	0.19900335091554586	0.1515379623794544
207567at2759	F2486360	F398673	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	10	6004	5418	0.902398401065956	0.19900335091554586	0.18898760798412179
207567at2759	F2486360	F398673	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	15	6004	5862	0.9763491005996002	0.19900335091554586	0.1946943366975992
207567at2759	F2486360	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.4496751595885666	0.6225134634230373	1.0	0.9974226804123711	5	6004	2435	0.40556295802798137	0.22949191085361814	0.13733675332841347
207567at2759	F2486360	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.4496751595885666	0.6225134634230373	1.0	0.9974226804123711	10	6004	5420	0.9027315123251166	0.22949191085361814	0.19664454561228548
207567at2759	F2486360	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.4496751595885666	0.6225134634230373	1.0	0.9974226804123711	15	6004	5857	0.9755163224516988	0.22949191085361814	0.20437540136772567
207567at2759	F2486360	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	5	6004	2402	0.4000666222518321	0.19900335091554586	0.1515379623794544
207567at2759	F2486360	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	10	6004	5418	0.902398401065956	0.19900335091554586	0.18898760798412179
207567at2759	F2486360	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	15	6004	5862	0.9763491005996002	0.19900335091554586	0.1946943366975992
207567at2759	F2486360	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	5	6004	2402	0.4000666222518321	0.19900335091554586	0.1515379623794544
207567at2759	F2486360	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	10	6004	5418	0.902398401065956	0.19900335091554586	0.18898760798412179
207567at2759	F2486360	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	76	0.20755882460357664	0.7102646033840029	1.0	0.9965665236051502	15	6004	5862	0.9763491005996002	0.19900335091554586	0.1946943366975992
207567at2759	F398673	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.4802723742973282	1.5675242028919962	1.0	0.995850622406639	5	6241	2782	0.44576189713186987	0.4236810776309189	0.2294006738801752
207567at2759	F398673	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.4802723742973282	1.5675242028919962	1.0	0.995850622406639	10	6241	5611	0.8990546386796988	0.4236810776309189	0.253234764754061
207567at2759	F398673	F4918	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.4802723742973282	1.5675242028919962	1.0	0.995850622406639	15	6241	5969	0.9564172408267906	0.4236810776309189	0.3062631241974884
207567at2759	F398673	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	5	6399	3062	0.4785122675418034	0.0	0.0
207567at2759	F398673	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	10	6399	5738	0.8967026097827786	0.0	0.0
207567at2759	F398673	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	15	6399	6130	0.9579621815908735	0.0	0.0
207567at2759	F398673	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	5	6399	3062	0.4785122675418034	0.0	0.0
207567at2759	F398673	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	10	6399	5738	0.8967026097827786	0.0	0.0
207567at2759	F398673	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	15	6399	6130	0.9579621815908735	0.0	0.0
207567at2759	F4918	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.48027237429732883	1.5675242028919971	1.0	0.995850622406639	5	6241	2782	0.44576189713186987	0.4236810776309189	0.2294006738801752
207567at2759	F4918	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.48027237429732883	1.5675242028919971	1.0	0.995850622406639	10	6241	5611	0.8990546386796988	0.4236810776309189	0.253234764754061
207567at2759	F4918	F549676	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.48027237429732883	1.5675242028919971	1.0	0.995850622406639	15	6241	5969	0.9564172408267906	0.4236810776309189	0.3062631241974884
207567at2759	F4918	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.48027237429732883	1.5675242028919971	1.0	0.995850622406639	5	6241	2782	0.44576189713186987	0.4236810776309189	0.2294006738801752
207567at2759	F4918	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.48027237429732883	1.5675242028919971	1.0	0.995850622406639	10	6241	5611	0.8990546386796988	0.4236810776309189	0.253234764754061
207567at2759	F4918	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	79	79	0.48027237429732883	1.5675242028919971	1.0	0.995850622406639	15	6241	5969	0.9564172408267906	0.4236810776309189	0.3062631241974884
207567at2759	F549676	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	5	6399	3062	0.4785122675418034	0.0	0.0
207567at2759	F549676	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	10	6399	5738	0.8967026097827786	0.0	0.0
207567at2759	F549676	F63577	PF03657.21	PF17833.8	UPF0113	pre-PUA_NIP7	81	79	7.016246595872592e-15	2.50804253422408e-15	1.0	0.9982964224872232	15	6399	6130	0.9579621815908735	0.0	0.0
260326at2759	F470096	F4903	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	52	1.7228175093900682	1.149421627782707	1.0	0.9943714821763602	5	3588	1107	0.3085284280936455	0.7053812354711189	0.4483414582492735
260326at2759	F470096	F4903	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	52	1.7228175093900682	1.149421627782707	1.0	0.9943714821763602	10	3588	2750	0.7664437012263099	0.7053812354711189	0.5758250909249559
260326at2759	F470096	F4903	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	52	1.7228175093900682	1.149421627782707	1.0	0.9943714821763602	15	3588	3377	0.9411928651059086	0.7053812354711189	0.6755169907295694
260326at2759	F470096	F4918	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	52	1.561892642387923	1.9373315232682757	1.0	0.9943181818181818	5	3588	971	0.2706243032329989	0.8342300611370611	0.42938048754888325
260326at2759	F470096	F4918	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	52	1.561892642387923	1.9373315232682757	1.0	0.9943181818181818	10	3588	2576	0.717948717948718	0.8342300611370611	0.6335466962578599
260326at2759	F470096	F4918	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	52	1.561892642387923	1.9373315232682757	1.0	0.9943181818181818	15	3588	3355	0.9350613154960981	0.8342300611370611	0.7737212220194973
260326at2759	F4903	F4918	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	53	1.4278632568643859	1.4679234428654977	1.0	1.0	5	3657	1021	0.27919059338255403	0.35951349928830334	0.13721983696878665
260326at2759	F4903	F4918	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	53	1.4278632568643859	1.4679234428654977	1.0	1.0	10	3657	2753	0.7528028438610883	0.35951349928830334	0.20380403683662546
260326at2759	F4903	F4918	PF00575.30	PF03876.23	S1	SHS2_Rpb7-N	69	53	1.4278632568643859	1.4679234428654977	1.0	1.0	15	3657	3508	0.9592562209461307	0.35951349928830334	0.320475930148748
319730at2759	F101028	F470096	PF00587.31	PF02403.28	tRNA-synt_2b	Seryl_tRNA_N	166	85	1.1674199184203233	3.106803769092141	0.9988073941562313	1.0	5	14110	8178	0.5795889440113394	1.2628886716012564	0.342156360134306
319730at2759	F101028	F470096	PF00587.31	PF02403.28	tRNA-synt_2b	Seryl_tRNA_N	166	85	1.1674199184203233	3.106803769092141	0.9988073941562313	1.0	10	14110	12115	0.8586109142452162	1.2628886716012564	1.191712909231687
