marker	genus_label	translation_table	taxa	global_mask_columns	local_80pct_columns	global_median_aa_difference	local_median_aa_difference	local_pairs_at_least_100_codons	median_original_pair_fraction_retained	median_residue_pair_jaccard
4986044at2759	Aspergillus	1	10	526	310	0.7370689655172413	0.7605177993527508	45	0.6931818181818182	0.49258160237388726
776280at2759	Naganishia	1	4	519	393	0.6847770901656215	0.7048346055979644	6	0.6145289546113156	0.43925485030105316
776280at2759	Tilletia	1	4	519	520	0.6766304347826086	0.7288461538461538	6	0.5054347826086957	0.26495726495726496
5000152at2759	Candida	12	4	1196	954	0.567354772717054	0.559748427672956	6	0.5492073311163007	0.45678317209589675
5011777at2759	Naganishia	1	4	745	705	0.5003452034883721	0.5333333333333333	6	0.618037037037037	0.4291104291104291
5011777at2759	Umbelopsis	1	4	745	724	0.48809523809523814	0.5345303867403315	6	0.6305505774591796	0.42716350845126067
4888252at2759	Malassezia	1	5	956	948	0.479405976546416	0.5017169316316556	10	0.9689714610995983	0.8182429204543771
5001156at2759	Umbelopsis	1	4	348	245	0.4751082251082251	0.4612244897959184	6	0.6992031323241514	0.6007367026599446
5000452at2759	Naganishia	1	4	294	234	0.4661063574107052	0.46794871794871795	6	0.6536172161172161	0.5132463064157053
4970538at2759	Wallemia	1	4	966	877	0.45663000512359003	0.43101482326111745	6	0.6709115477223917	0.5715239549336284
5013992at2759	Naganishia	1	4	820	594	0.4487391488696972	0.41161616161616166	6	0.33546662265038063	0.30183995110944756
5013992at2759	Wallemia	1	4	820	631	0.44596627692086593	0.4429477020602219	6	0.537683037187902	0.43170163170163167
776280at2759	Microbotryum	1	4	519	527	0.4419576777588948	0.48671726755218214	6	0.7178553807357053	0.508590308370044
5000371at2759	Naganishia	1	4	433	433	0.43915343915343913	0.43648960739030024	6	0.8807580586360589	0.7548057259713702
4823929at2759	Naganishia	1	4	443	342	0.4384399864863291	0.4371345029239766	6	0.7239858710623361	0.5979469567453893
5004599at2759	Wallemia	1	4	760	530	0.43251572378707104	0.42169811320754713	6	0.7639120211619477	0.667715711366387
4888252at2759	Wallemia	1	4	956	849	0.43020134228187923	0.46937573616018846	6	0.9175300153742222	0.7887570451030249
5015742at2759	Candida	12	4	488	379	0.42976245744351593	0.44854881266490765	6	0.9371410736579275	0.8356254885175122
4983000at2759	Umbelopsis	1	4	504	409	0.4248144427702439	0.41442542787286063	6	0.6462888554048775	0.5501305220883534
4810093at2759	Naganishia	1	4	804	753	0.4224328313188116	0.4329349269588313	6	0.8626219915860508	0.7559324009324009
