taxon_id	marker	protein_id	selected_original_marker	in_final_busco_table	final_busco_status	recorded_fcs_cds_overlap	fcs_actions	full_sequence_bit_score	dataset_score_cutoff	score_minus_dataset_cutoff	full_sequence_evalue	profile_length	protein_length	reported_domain_rows	profile_union_coverage_fraction	protein_union_coverage_fraction	gene_ids_json	gene_mapping_status	representative_decision	sequence_sha256	alternative_no_recorded_overlap_at_or_above_score_cutoff	review_sequence_id	cds_audit_records	cds_audit_statuses	translation_tables	review_disposition
F610337	345792at2759	KAJ9091994.1	False	False		False		328.7	93.03	235.67	8e-99	231	291	2	0.8528138528138528	0.7079037800687286	"[""gene-QFC19_008862""]"	unique_gene	longest_per_gene_lexical_tiebreak	5efa0555612cc6f7661b18b37ce7e76d27217664ace0e7778e41f55ea4d190d0	True	F610337|345792at2759|KAJ9091994.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4764044at2759	KAJ9094313.1	False	False		False		327.7	265.38	62.31999999999999	3.8e-98	394	2282	3	0.9010152284263959	0.1836108676599474	"[""gene-QFC19_007998""]"	unique_gene	longest_per_gene_lexical_tiebreak	791d54f5fc14ff2de657c4777aa917c86330e11cb5741fec875fc687b9e007f6	True	F610337|4764044at2759|KAJ9094313.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4803900at2759	KAJ9112374.1	False	False		False		99.2	98.59	0.6099999999999994	5.2e-29	107	197	1	0.9906542056074766	0.583756345177665	"[""gene-QFC19_000795""]"	unique_gene	longest_per_gene_lexical_tiebreak	74bfa068bf8e94478a9ee45f8d0607351e122926c3e6945d19478d74d203df31	True	F610337|4803900at2759|KAJ9112374.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4823929at2759	KAJ9093607.1	False	False		False		224.1	56.63	167.47	1.3e-66	430	490	5	0.7651162790697674	0.7346938775510204	"[""gene-QFC19_008274""]"	unique_gene	longest_per_gene_lexical_tiebreak	aa7f8f39691cd0dd5f6f6ca3bba3f4072d706bf8fcaf6c0c80d0a07ae20a3dd4	True	F610337|4823929at2759|KAJ9093607.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4838864at2759	KAJ9102989.1	False	False		False		457.2	138.74	318.46	2.4e-137	462	800	2	0.9437229437229437	0.67375	"[""gene-QFC19_004546""]"	unique_gene	longest_per_gene_lexical_tiebreak	4270f5cd7100650a77c07410548639fe16ce8f5ac7ee3077365cc84ed2bdca28	True	F610337|4838864at2759|KAJ9102989.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4867008at2759	KAJ9092321.1	False	False		False		144.4	46.97	97.43	1.4e-42	182	222	3	0.8296703296703297	0.6846846846846847	"[""gene-QFC19_008755""]"	unique_gene	longest_per_gene_lexical_tiebreak	43bbb8d3fdc1416c0bc0d356f8c44e2bcbbcb70227d92f8b6e715cbb42ae25f6	True	F610337|4867008at2759|KAJ9092321.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4908955at2759	KAJ9110443.1	False	False		False		253.9	123.69	130.21	9.3e-76	324	276	2	0.6512345679012346	0.8152173913043478	"[""gene-QFC19_001569""]"	unique_gene	longest_per_gene_lexical_tiebreak	ff5fb23f34915f166ec7aea16220c63e7a22b6d5f231ff5ae72478adb23c0a15	True	F610337|4908955at2759|KAJ9110443.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4908955at2759	KAJ9110626.1	False	False		False		184.1	123.69	60.41	1.7e-54	324	312	1	0.8055555555555556	0.8333333333333334	"[""gene-QFC19_001455""]"	unique_gene	longest_per_gene_lexical_tiebreak	6234b072200c2e8c09ff640593db349d88439b96f35c97fa1e4baf70da63ddc5	True	F610337|4908955at2759|KAJ9110626.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4911644at2759	KAJ9109707.1	False	False		False		889.4	633.9	255.5	9.2e-268	776	1573	2	0.9987113402061856	0.5416401780038144	"[""gene-QFC19_001937""]"	unique_gene	longest_per_gene_lexical_tiebreak	c7f5020e2fe1191048b3a89089a6b1322560a5afaf41ae154d062701ac464547	True	F610337|4911644at2759|KAJ9109707.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	4976279at2759	KAJ9112607.1	False	False		False		140.9	139.58	1.3199999999999932	1.7e-41	250	411	2	0.54	0.36253041362530414	"[""gene-QFC19_000627""]"	unique_gene	longest_per_gene_lexical_tiebreak	7312a31015f22658eb6de4bee3c6242ed3ab0de53cadd802815112fa2a20ea6a	True	F610337|4976279at2759|KAJ9112607.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5000371at2759	KAJ9104053.1	False	False		False		353.4	106.26	247.14	1e-105	452	532	2	0.8296460176991151	0.7781954887218046	"[""gene-QFC19_004187""]"	unique_gene	longest_per_gene_lexical_tiebreak	13cbfbb1b94e178e9d35b130687c742196d00fee0e8fb46d4b506a8a291dc88a	True	F610337|5000371at2759|KAJ9104053.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5001318at2759	KAJ9091648.1	False	False		False		115.0	99.47	15.530000000000001	1.8e-33	313	651	1	0.46325878594249204	0.22734254992319508	"[""gene-QFC19_009018""]"	unique_gene	longest_per_gene_lexical_tiebreak	2b6637ee727f0182e54806f1ca5b782b83ff2bff13b8fd390f8072ab9a421822	True	F610337|5001318at2759|KAJ9091648.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5001413at2759	KAJ9100768.1	False	False		False		270.7	95.34	175.35999999999999	5.7e-81	251	345	3	0.8924302788844621	0.6898550724637681	"[""gene-QFC19_005507""]"	unique_gene	longest_per_gene_lexical_tiebreak	8e8d5fa23024c0eb180311ba2c31c36c88e18686ebb1837d6c5bc0f3501613f7	True	F610337|5001413at2759|KAJ9100768.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5001473at2759	KAJ9094376.1	False	False		False		91.6	33.39	58.209999999999994	1.1e-26	83	54	1	0.6024096385542169	0.9259259259259259	"[""gene-QFC19_007985""]"	unique_gene	longest_per_gene_lexical_tiebreak	e231f2790b43643eb35ca18032b6fccc7ab45feb5362f371b8460a2fac380b11	True	F610337|5001473at2759|KAJ9094376.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5002573at2759	KAJ9112282.1	False	False		False		203.6	81.9	121.69999999999999	2e-60	362	256	1	0.6795580110497238	0.8828125	"[""gene-QFC19_000701""]"	unique_gene	longest_per_gene_lexical_tiebreak	d73406f061ab1874f0ef21af301d9a7d8208740d6a45ea02fbb8e1c549a41a95	True	F610337|5002573at2759|KAJ9112282.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5003856at2759	KAJ9104961.1	False	False		False		208.2	48.23	159.97	5.5e-62	224	461	3	0.8839285714285714	0.46203904555314534	"[""gene-QFC19_003758""]"	unique_gene	longest_per_gene_lexical_tiebreak	a60965c3ce952a480eb1057015b4fd3215e441d2d5b149a7c1dafa8f1ff31c7f	True	F610337|5003856at2759|KAJ9104961.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5003972at2759	KAJ9094644.1	False	False		False		256.0	47.39	208.61	1.1e-76	212	297	2	0.8207547169811321	0.632996632996633	"[""gene-QFC19_007857""]"	unique_gene	longest_per_gene_lexical_tiebreak	75aad925a64f2e9a2a08c48259cb3f8a92d01500d928d7cbe15c582a462d5375	True	F610337|5003972at2759|KAJ9094644.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
