review_rank	sequence_id	af_model_id	af_version	plddt_cutoff	protein_length	matched_residues	retained_fraction	status	ca_superposition_rmsd_angstrom	local_distance_pairs	local_distance_mean_absolute_change_angstrom	local_distance_rms_change_angstrom	pae5_local_pairs	pae5_local_retained_fraction	pae5_local_mean_absolute_change_angstrom	pae10_local_pairs	pae10_local_retained_fraction	pae10_local_mean_absolute_change_angstrom	pae15_local_pairs	pae15_local_retained_fraction	pae15_local_mean_absolute_change_angstrom
1	Sd8d7a127525fa813880c3351c6e0fc3a87ecb748b72fe62b003262fe68ee36d1	AF-A0AAD5DZZ9-F1	6	70	271	153	0.5645756457564576	compared	32.899229577302386	1661	0.48101314123334576	1.8496248273072644	1400	0.8428657435279951	0.21065121381051466	1478	0.8898254063816978	0.23463808202624267	1637	0.9855508729680915	0.29835409398637075
2	S6fd6edf598a40b50ca980eff5c34c91be702c2d1725dc732bb95ffd64e2cd69a	AF-A0A1Y1UYI0-F1	6	70	389	228	0.5861182519280206	compared	29.187009905325585	3981	0.6673907354667055	4.6593464248626475	3900	0.9796533534287868	0.19385811147438903	3941	0.9899522732981663	0.206672646082518	3941	0.9899522732981663	0.206672646082518
3	Sb0bc86c5531b8082f722bf7f39d74b0fb384ce88e178039e3a36f67bd1ae421f	AF-V3ZDX2-F1	6	70	254	136	0.5354330708661418	compared	29.138563694843306	1499	2.761935225513573	6.179803832416871	1069	0.7131420947298199	0.22187110825689854	1223	0.8158772515010007	0.5998550038391683	1329	0.8865910607071381	1.5610296930052505
4	S11c9b9fbadb9c8d7fa7595429449b38a8a3e210dd1e1d4d41f37308f2ad7063a	AF-A7RT52-F1	6	70	282	160	0.5673758865248227	compared	27.984079438270545	1636	0.6075329079689837	2.3677668971749806	1486	0.9083129584352079	0.24337703820391368	1606	0.9816625916870416	0.3548829775479196	1614	0.9865525672371638	0.36037788255255615
5	Sb9dc2fcb0f400a6f140071f613ed9dd905d17c5273f0d43483d33ef86ed16d06	AF-A0A2T3BBV8-F1	6	70	343	211	0.6151603498542274	compared	27.350117766852303	3862	0.35893164406703126	3.764073012496094	3820	0.9891248058001035	0.16479374368946342	3852	0.9974106680476437	0.16837729539661803	3852	0.9974106680476437	0.16837729539661803
6	S05f3cefa9382477abeaf7b604b76b861c4700f3e7fd22bb6657fabe369600a6e	AF-A0A9P6FLH7-F1	6	70	348	224	0.6436781609195402	compared	24.622203571806903	4050	1.112763456074508	6.5516917826834895	3911	0.965679012345679	0.20566532515997535	3973	0.9809876543209877	0.21882349989981828	3973	0.9809876543209877	0.21882349989981828
7	Saecf2f9ed3a66b78e5374c5e035cf668ea0c4f497972276288864f720832d198	AF-G5EEW6-F1	6	70	427	257	0.6018735362997658	compared	24.574223653318022	5258	0.7318662176008371	5.703784939383739	4978	0.9467478128565995	0.1422618120056822	5183	0.9857360213008749	0.15496045205332154	5203	0.9895397489539749	0.15762969488028783
8	S6d5bbb0afc3df15f9e894bcbdfb84451e2470c9c4aed3311529caf1b3c3932f1	AF-A0A4P9ZPS8-F1	6	70	390	223	0.5717948717948718	compared	24.184766012229147	3949	0.48157210221810703	4.0952177732070005	3891	0.9853127374018739	0.20535380460125202	3930	0.9951886553557863	0.2085461820937162	3931	0.9954418840212712	0.20893183234364893
9	Sa20701c8d2df2c37875e56612b2013a3950d0387cf53c374f6af75002ae2278f	AF-A0A0L0FCX1-F1	6	70	162	108	0.6666666666666666	compared	23.821878439554787	1134	2.2269126501540923	10.097470125145177	1076	0.9488536155202821	0.2582879526088455	1090	0.9611992945326279	0.2591372681715076	1090	0.9611992945326279	0.2591372681715076
10	Se6ac01ff80c8ac3aa65497e22242d6105cac84ca92ac1e62475fa2b7cfc6515a	AF-A9UP73-F1	6	70	436	359	0.823394495412844	compared	23.598323405553767	9143	0.5044946111093825	4.351257199877542	8680	0.9493601662474024	0.2364104960508647	9108	0.9961719348135185	0.2455110698068988	9110	0.9963906813956032	0.24606740501962313
11	S1fce8270a81181530c27acbd6cbc33998e2bd2a8972fda2b372ed1b4d44e7ba6	AF-A0A8H3WVE1-F1	6	70	291	157	0.5395189003436426	compared	23.141261536654724	1074	2.8727708900790048	8.527117880978958	904	0.8417132216014898	0.2871286764631985	965	0.8985102420856611	0.3065769244300929	965	0.8985102420856611	0.3065769244300929
12	S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	6	70	325	235	0.7230769230769231	compared	22.912374127512596	4077	0.5822310526931973	4.022501868628712	3958	0.9708118714741232	0.18384097447329123	4042	0.9914152563159185	0.22174910003518578	4042	0.9914152563159185	0.22174910003518578
13	S164db04aa6ad56e4b3592f3b436b1603cd876f07d57d2620741f1ecb48ab9ef1	AF-A0A165C655-F1	6	70	472	244	0.5169491525423728	compared	22.300923346794292	5405	1.0597228432012749	6.598046984986237	4849	0.8971322849213691	0.20062629144491367	5299	0.9803885291396854	0.2076174593564646	5313	0.9829787234042553	0.2077051740358779
14	Sf224a78266be17313f8f6b7cf912d002d446ab43c755897c484d661125a81cdd	AF-F2TWF3-F1	6	70	262	159	0.6068702290076335	compared	21.891311764270224	1422	3.6376585906603047	9.585142598404657	1001	0.7039381153305204	0.2520790855067804	1201	0.8445850914205345	0.43639010618202173	1202	0.8452883263009845	0.43961225311608143
15	S6a86f1a17bb54d02751c90c7325b3dd510b6a97a0c300eca5eee07e56074c9d4	AF-F0Z790-F1	6	70	355	244	0.6873239436619718	compared	21.383883485591877	5171	0.6868111085137331	4.391268362081541	4881	0.9439180042544962	0.15631985360345138	5086	0.9835621736608006	0.16406518419365101	5092	0.9847224908141559	0.1644255065646494
16	S25dee33967dc7a12845d681b313d6e8880d9e22d43f840a43286007c8b349e70	AF-L8GFE1-F1	6	70	406	241	0.5935960591133005	compared	20.353421887767873	4138	0.23168433249050824	0.9322883815117253	4010	0.9690671822136298	0.19201063742286817	4131	0.9983083615273078	0.21251798322532048	4136	0.9995166747220879	0.21271798158673078
17	S073305b2ce152362720ded1edafd49903bb7eb7fb5777b094dd34d657c30fb7c	AF-A0A4P9YRJ7-F1	6	70	503	424	0.8429423459244533	compared	19.633138475878503	10419	0.3838054477105322	2.3281855294473575	9477	0.9095882522315002	0.19899596556042448	10340	0.9924176984355504	0.22158434923254097	10367	0.9950091179575775	0.2240369994777183
18	Sa71a413abb79192e381b0879d33f8b0d6ae440187cc7450b603ddfe2b3789906	AF-A0A8J4PM44-F1	6	70	278	172	0.6187050359712231	compared	18.326328547696036	2222	3.7973765454500934	11.24649622570802	1807	0.8132313231323133	0.23324680348871824	1975	0.8888388838883888	0.3701418030720026	2011	0.905040504050405	0.43663067242108183
19	Sbc1fe1bc2a6401ad5d38011a294f4f82c60d487a54645232df9983c8a6ada25a	AF-A0A9P6MH36-F1	6	70	459	393	0.8562091503267973	compared	17.366072806048166	8377	0.1931162914793603	0.6038281779909559	7760	0.9263459472364809	0.15360039969333783	8355	0.9973737614897935	0.1698259260090489	8361	0.9980900083562134	0.17005732072691873
20	S18dd1000784a9fddbfb242dd7943a98febb7edd59dbd67155ffe61fdb48e0244	AF-A0AAD5E2H6-F1	6	70	493	398	0.8073022312373225	compared	16.954225476379293	5986	0.39274462372374225	1.3023579121410442	5544	0.9261610424323421	0.3026554390191414	5936	0.9916471767457401	0.32707880879170464	5968	0.9969929836284664	0.3441513855166628
21	S2147ad9b2362aaf4e457249f0cdee7275fcc066aa0badde07885f62adfefebeb	AF-A0A2H9TFZ2-F1	6	70	418	367	0.8779904306220095	compared	16.91420568118124	8348	0.4625432940578662	2.270812793350141	7855	0.9409439386679445	0.27580273016580453	8294	0.9935313847628174	0.30489930337250104	8303	0.9946094873023479	0.3048069116674336
22	Se140bf8e652527a720ac59dbfc48ba0ae2691508bf93d9e4035d8d57d5a47e27	AF-A0A1X0Q8F2-F1	6	70	421	327	0.7767220902612827	compared	16.56064250578084	7397	0.22232178645249853	0.5527337469444288	6970	0.9422738948222252	0.202917073095371	7386	0.9985129106394485	0.21701422194393105	7396	0.9998648100581317	0.21770181486610787
23	Sd9d7c93011a0ad93014e8607660ade9a4e310160f93f688e0d54807c623119d9	AF-A0A9W8AJI4-F1	6	70	438	303	0.6917808219178082	compared	16.138592263684423	6259	0.4518535779349075	2.568639423149183	5802	0.9269851413963892	0.1569398426854249	6175	0.9865793257708899	0.20805412948712676	6199	0.9904138041220643	0.2145612090075989
24	S7afa810d98f5fef7d0e7b7d82c22402a2fc4d2eb4b4dba529a6b3845e45b735e	AF-A0A4P9XZE9-F1	6	70	382	341	0.8926701570680629	compared	12.235026805009964	6907	0.14534202258728005	0.2845895351321123	6699	0.9698856232807297	0.13756731694625482	6904	0.9995656580280875	0.14200084579212785	6905	0.9997104386853917	0.14199911351507877
25	Sa497dda80f80f1b3fedd89d6d294495cb53e9c6dd5c4eb71306b7cb13c7029d8	AF-A0A9P6PSE3-F1	6	70	202	141	0.698019801980198	compared	11.799875603984418	2911	2.6962834565374063	6.975710791734105	2277	0.7822054276880797	0.17318983700020954	2484	0.8533150120233597	0.3047624744776903	2719	0.9340432840948127	1.4374266154122382
26	S25438a4c291e1b063d853f4bfab2a684edc6c05629c3bb439c7b06fec9f5f767	AF-A0A2H9TG10-F1	6	70	460	302	0.6565217391304348	compared	11.525031395471874	7962	0.3122897255018032	0.6701617320714797	7652	0.9610650590303944	0.2929475723871163	7921	0.9948505400653103	0.3000911005824661	7955	0.9991208239135896	0.3024988701289265
27	S43fcbba0f98de9a32d69a0edee0e9a7a42d6a314263e5eb0671a1f749fd19edd	AF-F0Z6P6-F1	6	70	286	209	0.7307692307692307	compared	11.235149062704808	4745	0.7285866267941157	4.183896358933219	4367	0.9203371970495258	0.124365715979497	4641	0.9780821917808219	0.13674437983856857	4647	0.9793466807165437	0.13676322033195695
28	S1ea5804a522af7c579877a125ee82fa53f6472b7f0cf3a9c9886495e7b56baa4	AF-A0A9N8VV74-F1	6	70	381	240	0.6299212598425197	compared	9.64190442467174	4754	0.27687678130221505	0.4938050545828879	4196	0.8826251577618848	0.23332523620847417	4737	0.9964240639461506	0.27507344146542156	4754	1.0	0.27687677805652117
29	S90b388dd791720787a1ad9268af4253680c1e31679a40510315cc9da8ab10d59	AF-A9UQ86-F1	6	70	401	298	0.743142144638404	compared	9.245565899677914	5925	0.28978622602246634	0.7727369170430227	4904	0.8276793248945148	0.22252244928919757	5897	0.9952742616033755	0.25697225534316015	5925	1.0	0.28978622791689973
30	S0d27e32a54f982fbe64f5c7ac73d6f15742e8d7fc017157fdbff601aa69b3309	AF-Q8SQY3-F1	6	70	294	181	0.6156462585034014	compared	8.801794562492345	3534	0.6236375897571779	1.9849875560638217	3264	0.9235993208828522	0.43373003969527435	3492	0.9881154499151104	0.5037209935518198	3518	0.9954725523486134	0.5072877925617453
31	Sb2a067e1a94cf09f634022552fae95916263e9a742a467d4bc5bd24459bcdd0c	AF-Q1ZXD3-F1	6	70	504	368	0.7301587301587301	compared	8.754233672815976	7494	0.3458891727461402	1.3466910641549066	5263	0.7022951694689085	0.2412492158691116	7335	0.9787830264211369	0.2647562756891093	7459	0.995329597010942	0.26771528816844053
