marker	baseline_status	sensitivity_status	baseline_eligible_taxa	sensitivity_eligible_taxa	omitted_taxa	baseline_columns	sensitivity_columns	all_missing_columns_removed
115730at2759	ready_for_inference	unchanged_reuse_baseline_fit	80	80		227	227	0
129234at2759	ready_for_inference	ready_for_inference	219	218	F610337	166	166	0
160487at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
201273at2759	ready_for_inference	unchanged_reuse_baseline_fit	104	104		127	127	0
207567at2759	ready_for_inference	unchanged_reuse_baseline_fit	192	192		171	171	0
260326at2759	ready_for_inference	ready_for_inference	208	207	F610337	151	151	0
2852757at2759	ready_for_inference	unchanged_reuse_baseline_fit	45	45		258	258	0
288615at2759	ready_for_inference	unchanged_reuse_baseline_fit	8	8		377	377	0
319730at2759	ready_for_inference	unchanged_reuse_baseline_fit	76	76		400	400	0
340246at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		402	402	0
345792at2759	ready_for_inference	ready_for_inference	103	101	F27376;F610337	226	226	0
352891at2759	ready_for_inference	unchanged_reuse_baseline_fit	162	162		240	240	0
3643464at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	2	2		505	505	0
4613677at2759	ready_for_inference	ready_for_inference	204	203	F610337	73	73	0
4695236at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4747214at2759	ready_for_inference	unchanged_reuse_baseline_fit	173	173		114	114	0
4764044at2759	ready_for_inference	unchanged_reuse_baseline_fit	46	46		391	391	0
4803900at2759	ready_for_inference	ready_for_inference	194	193	F610337	101	101	0
4810093at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4813267at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4823929at2759	ready_for_inference	unchanged_reuse_baseline_fit	72	72		420	420	0
4837017at2759	ready_for_inference	unchanged_reuse_baseline_fit	212	212		197	197	0
4838864at2759	ready_for_inference	unchanged_reuse_baseline_fit	5	5		391	391	0
4843240at2759	ready_for_inference	unchanged_reuse_baseline_fit	5	5		288	288	0
4843824at2759	ready_for_inference	unchanged_reuse_baseline_fit	184	184		196	196	0
4867008at2759	ready_for_inference	ready_for_inference	201	200	F610337	177	177	0
4888252at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4896098at2759	ready_for_inference	ready_for_inference	178	177	F610337	150	150	0
4900375at2759	ready_for_inference	unchanged_reuse_baseline_fit	213	213		169	169	0
4908955at2759	ready_for_inference	unchanged_reuse_baseline_fit	91	91		296	296	0
4911644at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4940884at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		321	321	0
4969018at2759	ready_for_inference	unchanged_reuse_baseline_fit	64	64		359	359	0
4969636at2759	ready_for_inference	unchanged_reuse_baseline_fit	71	71		295	295	0
4969990at2759	ready_for_inference	unchanged_reuse_baseline_fit	81	81		346	346	0
4970387at2759	ready_for_inference	unchanged_reuse_baseline_fit	190	190		136	136	0
4970538at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4971272at2759	ready_for_inference	unchanged_reuse_baseline_fit	60	60		375	375	0
4974767at2759	ready_for_inference	unchanged_reuse_baseline_fit	33	33		80	80	0
4975094at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4976279at2759	ready_for_inference	unchanged_reuse_baseline_fit	41	41		228	228	0
4977163at2759	ready_for_inference	unchanged_reuse_baseline_fit	210	210		141	141	0
4977863at2759	ready_for_inference	unchanged_reuse_baseline_fit	11	11		288	288	0
4983000at2759	ready_for_inference	unchanged_reuse_baseline_fit	24	24		434	434	0
4985971at2759	ready_for_inference	unchanged_reuse_baseline_fit	87	87		281	281	0
4986044at2759	ready_for_inference	unchanged_reuse_baseline_fit	21	21		301	301	0
4987397at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4988239at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4999134at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000045at2759	ready_for_inference	unchanged_reuse_baseline_fit	86	86		301	301	0
5000152at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000362at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000371at2759	ready_for_inference	unchanged_reuse_baseline_fit	74	74		429	429	0
5000452at2759	ready_for_inference	ready_for_inference	106	105	F610337	292	292	0
5000476at2759	ready_for_inference	unchanged_reuse_baseline_fit	73	73		306	306	0
5000743at2759	ready_for_inference	ready_for_inference	237	236	F610337	166	166	0
5000823at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000870at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000986at2759	ready_for_inference	unchanged_reuse_baseline_fit	16	16		369	369	0
5001156at2759	ready_for_inference	unchanged_reuse_baseline_fit	76	76		229	229	0
5001273at2759	ready_for_inference	ready_for_inference	204	203	F27376	229	229	0
5001280at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5001318at2759	ready_for_inference	unchanged_reuse_baseline_fit	70	70		271	271	0
5001413at2759	ready_for_inference	ready_for_inference	144	143	F610337	251	251	0
5001473at2759	ready_for_inference	ready_for_inference	191	190	F610337	81	81	0
5001660at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5001734at2759	ready_for_inference	unchanged_reuse_baseline_fit	186	186		176	176	0
5001941at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5002334at2759	ready_for_inference	unchanged_reuse_baseline_fit	79	79		227	227	0
5002573at2759	ready_for_inference	unchanged_reuse_baseline_fit	85	85		357	357	0
5003022at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5003192at2759	ready_for_inference	unchanged_reuse_baseline_fit	27	27		339	339	0
5003205at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5003856at2759	ready_for_inference	ready_for_inference	106	105	F27376	219	219	0
5003972at2759	ready_for_inference	ready_for_inference	150	149	F610337	205	205	0
5004118at2759	ready_for_inference	ready_for_inference	39	38	F610337	84	84	0
5004265at2759	ready_for_inference	unchanged_reuse_baseline_fit	18	18		158	158	0
5004327at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5004391at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
