marker	taxa	paired_columns	observed_sites_linked	masked_cells_omitted
115730at2759	15	209	2471	664
129234at2759	154	166	23026	2538
201273at2759	71	111	5890	1991
207567at2759	134	171	20024	2890
260326at2759	135	151	19340	1045
319730at2759	10	400	3899	101
345792at2759	42	226	8543	949
352891at2759	95	240	21537	1263
4613677at2759	140	73	9069	1151
4747214at2759	118	111	9330	3768
4803900at2759	137	101	12265	1572
4823929at2759	12	409	4284	624
4837017at2759	146	196	26516	2100
4843824at2759	124	196	21657	2647
4867008at2759	133	177	21893	1648
4896098at2759	116	149	16178	1106
4900375at2759	138	169	20445	2877
4908955at2759	24	275	4117	2483
4969018at2759	8	336	2472	216
4969636at2759	13	291	3249	534
4969990at2759	9	345	2702	403
4970387at2759	135	136	16746	1614
4971272at2759	6	375	2086	164
4974767at2759	24	74	1365	411
4976279at2759	11	228	1898	610
4977163at2759	144	141	16548	3756
4985971at2759	16	281	4203	293
5000045at2759	16	301	4609	207
5000371at2759	15	411	5149	1016
5000452at2759	47	292	12071	1653
5000476at2759	10	306	2895	165
5000743at2759	158	166	21451	4777
5001156at2759	15	229	2637	798
5001273at2759	141	229	26854	5435
5001318at2759	13	261	2198	1195
5001413at2759	72	251	17085	987
5001473at2759	121	81	7554	2247
5001734at2759	120	172	11228	9412
5002334at2759	19	227	4079	234
5002573at2759	11	357	3612	315
5003856at2759	35	219	6167	1498
5003972at2759	78	201	13298	2380
5004118at2759	17	81	949	428
5004478at2759	6	261	1450	116
5005010at2759	145	92	12947	393
5005174at2759	102	136	8866	5006
5005196at2759	9	291	2397	222
5005274at2759	18	157	1667	1159
5005750at2759	134	107	12892	1446
5005892at2759	13	288	3132	612
5013042at2759	7	333	2208	123
5013067at2759	17	306	4778	424
5013259at2759	123	120	11850	2910
5013539at2759	51	223	9305	2068
5013726at2759	136	165	17793	4647
5013738at2759	136	170	22422	698
5015403at2759	13	314	3690	392
5015712at2759	6	422	2043	489
5015742at2759	4	394	1468	108
5017019at2759	8	139	922	190
529759at2759	143	226	31596	722
539632at2759	31	257	7760	207
540946at2759	9	401	3346	263
541070at2759	122	222	26241	843
554735at2759	131	231	29441	820
649304at2759	26	276	6435	741
707076at2759	87	228	15238	4598
707202at2759	9	323	2399	508
727964at2759	11	241	2162	489
760428at2759	16	331	4379	917
776280at2759	4	243	773	199
801816at2759	154	153	21747	1815
