marker	genus_label	translation_table	policy	taxa	pairs	pairs_at_least_100_codons	minimum_shared_codons	median_codon_difference_fraction	maximum_codon_difference_fraction	median_amino_acid_difference_fraction	maximum_amino_acid_difference_fraction	median_third_position_difference_fraction	maximum_third_position_difference_fraction
4986044at2759	Aspergillus	1	exclude_recorded_annotation_gene_label_flags	10	45	45	232	0.8901515151515151	0.9242424242424242	0.7370689655172413	0.7613636363636364	0.6767241379310345	0.75
776280at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	341	0.8957622836933181	0.9002932551319648	0.6847770901656215	0.7435897435897436	0.7085991553598706	0.7192118226600985
776280at2759	Tilletia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	368	0.8672086720867209	0.8695652173913043	0.6766304347826086	0.6964769647696477	0.6192411924119241	0.657608695652174
5000152at2759	Candida	12	exclude_recorded_annotation_gene_label_flags	4	6	6	809	0.7633402275077559	0.9110012360939431	0.567354772717054	0.8170580964153276	0.5933405647228092	0.6800870511425462
5011777at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	500	0.7953003875968992	0.926	0.5003452034883721	0.77	0.6400254360465116	0.748
5011777at2759	Umbelopsis	1	exclude_recorded_annotation_gene_label_flags	4	6	6	496	0.7785984443017198	0.9354838709677419	0.48809523809523814	0.7745664739884393	0.6429673721340388	0.7560483870967742
4888252at2759	Malassezia	1	exclude_recorded_annotation_gene_label_flags	5	10	10	766	0.7711981687291882	0.8110831234256927	0.479405976546416	0.5440806045340051	0.6141284634513768	0.6473551637279596
5001156at2759	Umbelopsis	1	exclude_recorded_annotation_gene_label_flags	4	6	6	231	0.7806122448979591	0.9148936170212766	0.4751082251082251	0.7617021276595745	0.6440150528296424	0.7402597402597403
5000452at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	208	0.7640435222672065	0.8893280632411067	0.4661063574107052	0.7788461538461539	0.6381665626516885	0.6923076923076923
4970538at2759	Wallemia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	818	0.7359234010018876	0.9327628361858191	0.45663000512359003	0.8227383863080685	0.6115183878478001	0.726161369193154
5013992at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	522	0.7467988155617579	0.9234972677595629	0.4487391488696972	0.7887067395264117	0.5969558736732592	0.7049180327868853
5013992at2759	Wallemia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	563	0.7542962232756162	0.9076376554174067	0.44596627692086593	0.7673179396092362	0.6385614809591924	0.7477797513321492
776280at2759	Microbotryum	1	exclude_recorded_annotation_gene_label_flags	4	6	6	370	0.684428358200795	0.9027027027027027	0.4419576777588948	0.706199460916442	0.5086876650465	0.7081081081081081
5000371at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	403	0.762962962962963	0.8869778869778869	0.43915343915343913	0.6633906633906634	0.6191358024691358	0.7419354838709677
4823929at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	317	0.7544412481609171	0.9369085173501577	0.4384399864863291	0.7367088607594937	0.6135839610004612	0.7417721518987341
5004599at2759	Wallemia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	527	0.7689293354240067	0.8700564971751412	0.43251572378707104	0.6421845574387948	0.654189866483521	0.7156308851224106
4888252at2759	Wallemia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	745	0.7691275167785235	0.8035043804755945	0.43020134228187923	0.5043804755944932	0.6313580268632297	0.6695869837296621
5015742at2759	Candida	12	exclude_recorded_annotation_gene_label_flags	4	6	6	355	0.647980267391149	0.6685236768802229	0.42976245744351593	0.4507042253521127	0.46838810641627543	0.49746192893401014
4983000at2759	Umbelopsis	1	exclude_recorded_annotation_gene_label_flags	4	6	6	362	0.7006780512305374	0.9088397790055248	0.4248144427702439	0.7541436464088398	0.578740443105084	0.7292817679558011
4810093at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	726	0.7653444247328112	0.8997252747252747	0.4224328313188116	0.6785714285714286	0.6366178443165592	0.7023319615912208
