marker	taxa	alignment_columns	internal_edges	edges_with_reported_support	edges_without_reported_support	median_reported_sh_alrt_percent	edges_sh_alrt_ge50	edges_sh_alrt_ge80	edges_sh_alrt_ge95
115730at2759	481	235	478	471	7	84.9	402	279	108
129234at2759	472	166	469	457	12	82.2	376	247	76
160487at2759	487	730	484	482	2	95.5	417	351	248
201273at2759	478	254	475	462	13	84.55	370	263	111
207567at2759	478	174	475	455	20	83.9	380	265	85
260326at2759	488	151	485	464	21	85.2	372	288	110
2852757at2759	477	264	474	465	9	85.7	399	291	124
288615at2759	504	383	501	498	3	91.0	434	348	188
319730at2759	491	400	488	485	3	91	416	334	186
340246at2759	468	441	465	463	2	91.4	401	325	189
345792at2759	482	226	479	464	15	81.69999999999999	392	253	80
352891at2759	472	245	469	464	5	86.0	398	290	124
3643464at2759	462	517	459	456	3	92.5	377	308	197
4613677at2759	469	73	466	457	9	80.1	368	230	50
4695236at2759	473	1059	470	470	0	98.7	427	369	290
4747214at2759	480	114	477	470	7	81.35	387	258	82
4764044at2759	475	391	472	469	3	92.4	425	344	194
4803900at2759	418	106	415	406	9	84.1	343	246	77
4810093at2759	451	667	448	447	1	95.7	389	339	234
4813267at2759	485	578	482	477	5	96.5	425	363	258
4823929at2759	492	420	489	489	0	93.7	426	349	231
4837017at2759	489	205	486	483	3	88.7	407	316	153
4838864at2759	486	458	483	477	6	92.9	418	351	200
4843240at2759	474	315	471	470	1	88.65	399	310	170
4843824at2759	432	197	429	426	3	85.9	350	261	131
4867008at2759	476	177	473	469	4	85.8	395	294	103
4888252at2759	471	830	468	467	1	97.9	419	361	278
4896098at2759	463	157	460	455	5	82.2	369	254	89
4900375at2759	495	169	492	488	4	86.25	407	303	124
4908955at2759	499	318	496	493	3	89.5	426	337	169
4911644at2759	479	744	476	475	1	95.6	409	339	242
4940884at2759	460	469	457	453	4	90.1	379	316	153
4969018at2759	488	374	485	477	8	87.5	409	314	117
4969636at2759	480	295	477	474	3	87.19999999999999	409	309	128
4969990at2759	483	346	480	475	5	87.1	404	312	150
4970387at2759	444	136	441	439	2	83.6	362	255	88
4970538at2759	483	900	480	479	1	98.6	422	376	297
4971272at2759	473	375	470	465	5	89.9	404	321	166
4974767at2759	465	134	462	443	19	80.2	349	222	61
4975094at2759	477	852	474	472	2	97.3	415	361	274
4976279at2759	464	228	461	460	1	86.35	386	287	114
4977163at2759	469	141	466	463	3	83.3	381	272	88
4977863at2759	482	288	479	478	1	88.0	405	324	149
4983000at2759	486	453	483	480	3	92.55	419	341	213
4985971at2759	492	281	489	484	5	88.0	416	323	128
4986044at2759	494	313	491	488	3	91.6	422	350	197
4987397at2759	480	681	477	474	3	94.0	416	347	218
4988239at2759	480	893	477	475	2	95	424	358	239
4999134at2759	475	2295	472	470	2	97.45	419	357	279
5000045at2759	482	301	479	476	3	89.80000000000001	414	330	167
5000152at2759	477	1184	474	473	1	98.2	424	378	299
5000362at2759	475	672	472	470	2	95.3	423	355	241
5000371at2759	465	429	462	461	1	93.4	405	342	209
5000452at2759	462	292	459	457	2	90.4	396	319	180
5000476at2759	479	306	476	471	5	88.8	416	323	145
5000743at2759	493	166	490	484	6	86.5	426	323	113
5000823at2759	470	802	467	464	3	97.25	412	354	258
5000870at2759	486	707	483	481	2	94.7	420	345	235
5000986at2759	472	404	469	467	2	93.8	406	332	213
5001156at2759	475	229	472	467	5	86.6	393	293	121
5001273at2759	453	229	450	448	2	87.05	397	300	139
5001280at2759	493	754	490	490	0	95.69999999999999	435	367	257
5001318at2759	452	310	449	446	3	87.5	376	295	120
5001413at2759	491	251	488	487	1	86.9	411	320	119
5001473at2759	485	81	482	444	38	75.9	307	170	30
5001660at2759	484	636	481	479	2	93.9	415	353	227
5001734at2759	476	177	473	471	2	84.8	407	289	94
5001941at2759	451	568	448	446	2	92.55	378	312	197
5002334at2759	466	227	463	461	2	88.4	403	309	133
5003192at2759	469	399	466	466	0	90.4	398	326	163
