marker	taxa	columns	excluded_taxa	model	internal_splits_checked	report_warning_lines	report_sha256	coverage_filter_sha256
115730at2759	481	235	45	LG+F+G4	478	3	993bf00308359e101350e2a8c534415b65279d9aedb7483f3aad832ff762ba36	7bcaf8224e28213f4dc11027018fa20982d3cb6a56488beb2fe77f9dce30f65a
129234at2759	472	166	54	LG+F+G4	469	3	2499491d6384e88259655b7af36da5c1c0d88a7b61828f25b969fb4c2ab6358c	d53034edf82a731474b97a03c6029459d0202a7bb0e0494271491de92c35dc47
160487at2759	487	730	39	LG+F+G4	484	3	cdfa453e8733b7182ea7e37e64b4e940cd63945b5c1391859270f25d47145788	be9880fd6c860738d4519893601fbe1ba90cae9378031de352fdb116662ad4a0
201273at2759	478	254	48	LG+F+G4	475	3	da7783cd958209fca7a90d190aa105063467a36f93c185f7722aee4e7d29127a	4159eab0b8a0e7a37a60287d977cd13899fb1d03ddf56f8db634f790a19999ba
207567at2759	478	174	48	LG+F+G4	475	3	459984b8a36cb95084fe8d2c89bf4e73cfb938373a00588b7b4dc07c1d1e5aba	63271c825341d813c634bda2fd21742d3be116935056158bf9724f0372bdda5e
260326at2759	488	151	38	LG+F+G4	485	3	0d3de8c12f5a55b1e89a050d0b7c469a0aa3906d7fe38a248ff1fd69fb62ea02	e8d634feed3d4f88ac823b6c625e09ab07ab2be6cd06e40e4225ee7f97dfcff0
2852757at2759	477	264	49	LG+F+G4	474	3	689b678881e9cff8ce725657d1fd7dc7c85bbb1a6fa43e2443d7cf421e506791	98a9c0c94fc66e1e8ea482877ee87d48a89184e137f19519ac240a82923372b0
288615at2759	504	383	22	LG+F+G4	501	3	826ea794ada17199fc9cef375cd779a9d6fc4290e315a8a952b38354eaa2a5b3	1cb76d4d301176c4df44dc887155d6888ee2e21c7aa4e453778b9dc1798e1df0
319730at2759	491	400	35	LG+F+G4	488	3	9b2641cbd2ac9a99350f7b0ecf25e7f86c302098c1c746fecef99a074c759287	5e0b83ce0edd9246f56dc78e5714faa081f45be433303c779560802ab33fae76
340246at2759	468	441	58	LG+F+G4	465	3	25539d9b32d65aa8cc944436b9f4a351c49f0da24a787d96e5ff3233a1b1f746	e08ea794adb2e751c710b1b4808b0e892bfd3a950ddabfc00f99871eeea2b8d7
345792at2759	482	226	44	LG+F+G4	479	3	80c5efb1b77b13178e4d21e72d7c05bc11ae91f680034ad27e148ddb10c5a183	cb27ae9fe9381747f7d682a5502e9096650575454b602b36775ce5b0c3ee87d7
352891at2759	472	245	54	LG+F+G4	469	3	0c67e2899a0cea955ce68a9d5fc2a6827aa41a09fa7f44ac8581ca21bd36016e	22cb99a7e996d2961cce0915cd89072db8bf456214ab727dc37d61974b42f503
3643464at2759	462	517	64	LG+F+G4	459	3	63b73e6e3bcb28ee9b86771a2af4cb2f7b18c09d819e0457044ef528b0e8c6fe	6d546e8f9dc6f3d2ba250670757c378aedbdf10947d4e95149ad5e3d4b0317a6
4613677at2759	469	73	57	LG+F+G4	466	3	21550dbda2a6afa3c8c0924d7e87e4dd634af86e8f1941ecdfcd3201e224e068	b70160b6579b676bfa67fd89f18d75b30c60c059af7b7769335776b55547650b
4695236at2759	473	1059	53	LG+F+G4	470	1	f49c97c99b33e53c4ebef00821cacb8dd6816d755bbc3754abf244b1cecc172f	600e49d878f31effd64875b27e00ecc99e769aba3e54389a9d4d3daebf6f09c9
4747214at2759	480	114	46	LG+F+G4	477	3	76c156436e42db1c57f3e72ac691771d5d5f67c3b7ee1b8e535e98bb26dc969b	740f12c6582d6180c634570a7d47a4e15c67ef2da8e8e4563906eb7447d2f616
4764044at2759	475	391	51	LG+F+G4	472	3	a3527f3c3a87fb768ef75fb3ac46605e9417dfb06f76a28e419afe9712aa8f9e	a32f98ca31b331be68385bc754761233fb4e81d0c24b9481e4f259bed612cb37
4803900at2759	418	106	108	LG+F+G4	415	3	ca8c7d45f48f5f198f129265a20a178eaa878754e572d2d5f7803b11f4a6ecec	1e1e94dda39e93f53d948f0184a44b29ffc413d87a5f07fb69c0cc79b6cdea42
4810093at2759	451	667	75	LG+F+G4	448	3	f7e685c57b692860331dafbdc3b8a9aa9e0a6ceec23b823b3b9b35ee82ec3528	a1addd612d391501e7127cabf51b41fbba5b0367d4b653f0f5108d6ddc17257e
4813267at2759	485	578	41	LG+F+G4	482	3	a7b685d26bfa5ec73a74a938f0121615009795e30e5a4d1af77d5fc080166352	d0bc97afca8f15e0fc69617309a64beb20486d748e6e2f7e2e8bd597b0df1785
4823929at2759	492	420	34	LG+F+G4	489	3	c723bce79342f54fbf2ccfbe5f1223440ca78f1af439d3dd192ec5fe7e593a63	0082873d3da08b6fbf82efe65ffbe679db723a4ac39acf555d0ca2f5adb220b8
4837017at2759	489	205	37	LG+F+G4	486	3	3cb524b1d463498a58cccb0f52afeb768342a841ff7be34129b9dbea21f16fcc	d280dd55bc5982583fd8a15eb83a8da572cb9a9378eb0e30d223b2e04a97fd04
4838864at2759	486	458	40	LG+F+G4	483	3	369c27f0323d38f7dba6b9044af07db58cdaa8d34aae4f5087607ccc446dc100	e364fe0f3d49fa3a542d07e1717b74594be30ceaf0ec589cc362c2a493c8995a
4843240at2759	474	315	52	LG+F+G4	471	3	aa93eeab23e4fdce98f8ba8ec47b795c64bfa5671024871efdb84327b826197c	b7c9815bf68d31eb8aec627ab132105455ff71f756ccf896c587549e32d586d8
4843824at2759	432	197	94	LG+F+G4	429	3	ebc8d761a6dd0365ea2757c58d2c698e640b7d3a2cadb2c25b998093e11e0ba5	8a8c8a1c75b2df90b0ae745b1a94cb564c2893dacdcc0fd8a9bbb7288004b875
4867008at2759	476	177	50	LG+F+G4	473	3	780eb982cf258a73bcb82fc58a63e29bf7b9c57bfec46c6d1f728de688f20d9e	5b58a1e31c6a83e0aafad7db3e1cb564b8660832352bfa7c3592c0086d863fa5
4888252at2759	471	830	55	LG+F+G4	468	3	dfcd6217f4324803aa382b7a50892ce6a61cef63cf01c756856ce36684d4fb09	0e16f3dae62cd4c6d78d3d9ad0d44449a8dcfbc3e88946e814e06542dacbeaa8
