marker	sites	taxon_site_observations	tree_taxa	minimum_observed_taxon_fraction	median_observed_taxon_fraction
115730at2759	209	2471	15	0.06666666666666667	0.9333333333333333
129234at2759	166	23026	154	0.08441558441558442	0.9545454545454546
201273at2759	111	5890	71	0.014084507042253521	0.9577464788732394
207567at2759	171	20024	134	0.007462686567164179	0.9626865671641791
260326at2759	151	19340	135	0.5703703703703704	0.9703703703703703
319730at2759	400	3899	10	0.3	1.0
345792at2759	226	8543	42	0.42857142857142855	0.9761904761904762
352891at2759	240	21537	95	0.010526315789473684	1.0
4613677at2759	73	9069	140	0.09285714285714286	1.0
4747214at2759	111	9330	118	0.00847457627118644	0.8813559322033898
4803900at2759	101	12265	137	0.021897810218978103	0.9854014598540146
4823929at2759	409	4284	12	0.08333333333333333	0.9166666666666666
4837017at2759	196	26516	146	0.00684931506849315	0.9794520547945206
4843824at2759	196	21657	124	0.25	0.9758064516129032
4867008at2759	177	21893	133	0.3308270676691729	0.9774436090225563
4896098at2759	149	16178	116	0.017241379310344827	0.9827586206896551
4900375at2759	169	20445	138	0.10144927536231885	0.8913043478260869
4908955at2759	275	4117	24	0.041666666666666664	0.7083333333333334
4969018at2759	336	2472	8	0.125	1.0
4969636at2759	291	3249	13	0.07692307692307693	0.9230769230769231
4969990at2759	345	2702	9	0.2222222222222222	0.8888888888888888
4970387at2759	136	16746	135	0.08148148148148149	0.9703703703703703
4971272at2759	375	2086	6	0.6666666666666666	1.0
4974767at2759	74	1365	24	0.041666666666666664	0.9791666666666667
4976279at2759	228	1898	11	0.09090909090909091	0.8181818181818182
4977163at2759	141	16548	144	0.2222222222222222	0.8402777777777778
4985971at2759	281	4203	16	0.125	0.9375
5000045at2759	301	4609	16	0.4375	1.0
5000371at2759	411	5149	15	0.06666666666666667	1.0
5000452at2759	292	12071	47	0.2978723404255319	0.9361702127659575
5000476at2759	306	2895	10	0.3	1.0
5000743at2759	166	21451	158	0.006329113924050633	0.9556962025316456
5001156at2759	229	2637	15	0.2	0.9333333333333333
5001273at2759	229	26854	141	0.0070921985815602835	0.9716312056737588
5001318at2759	261	2198	13	0.07692307692307693	0.6153846153846154
5001413at2759	251	17085	72	0.05555555555555555	0.9583333333333334
5001473at2759	81	7554	121	0.01652892561983471	0.9834710743801653
5001734at2759	172	11228	120	0.008333333333333333	0.65
5002334at2759	227	4079	19	0.5789473684210527	0.9473684210526315
5002573at2759	357	3612	11	0.18181818181818182	0.9090909090909091
5003856at2759	219	6167	35	0.11428571428571428	0.9428571428571428
5003972at2759	201	13298	78	0.05128205128205128	0.9358974358974359
5004118at2759	81	949	17	0.058823529411764705	0.7647058823529411
5004478at2759	261	1450	6	0.16666666666666666	1.0
5005010at2759	92	12947	145	0.5310344827586206	0.9862068965517241
5005174at2759	136	8866	102	0.00980392156862745	0.8431372549019608
5005196at2759	291	2397	9	0.1111111111111111	1.0
5005274at2759	157	1667	18	0.05555555555555555	0.6111111111111112
5005750at2759	107	12892	134	0.3358208955223881	0.9626865671641791
5005892at2759	288	3132	13	0.07692307692307693	0.9230769230769231
5013042at2759	333	2208	7	0.42857142857142855	1.0
5013067at2759	306	4778	17	0.11764705882352941	0.9411764705882353
5013259at2759	120	11850	123	0.016260162601626018	0.9024390243902439
5013539at2759	223	9305	51	0.0196078431372549	0.9019607843137255
5013726at2759	165	17793	136	0.007352941176470588	0.9705882352941176
5013738at2759	170	22422	136	0.5882352941176471	0.9852941176470589
5015403at2759	314	3690	13	0.5384615384615384	0.9230769230769231
5015712at2759	422	2043	6	0.16666666666666666	1.0
5015742at2759	394	1468	4	0.25	1.0
5017019at2759	139	922	8	0.125	1.0
529759at2759	226	31596	143	0.32867132867132864	1.0
539632at2759	257	7760	31	0.5483870967741935	0.967741935483871
540946at2759	401	3346	9	0.1111111111111111	1.0
541070at2759	222	26241	122	0.5245901639344263	0.9918032786885246
554735at2759	231	29441	131	0.8244274809160306	0.9770992366412213
649304at2759	276	6435	26	0.038461538461538464	0.9615384615384616
707076at2759	228	15238	87	0.011494252873563218	0.9425287356321839
707202at2759	323	2399	9	0.1111111111111111	0.8888888888888888
727964at2759	241	2162	11	0.18181818181818182	0.9090909090909091
760428at2759	331	4379	16	0.0625	0.9375
776280at2759	243	773	4	0.25	1.0
801816at2759	153	21747	154	0.1038961038961039	0.987012987012987
