entry_id	taxon_id	protein_id	repeat_order	canonical_residues	gap_residues	ambiguous_residues	source_BRF1_hits	source_gene_status
G0000001	F1004511	KAF8622042.1	1	88	4	0	1	unique_gene
G0000002	F1004511	KAF8622076.1	1	88	4	0	0	unique_gene
G0000004	F1005962	XP_013932858.1	1	91	1	0	1	unique_gene
G0000005	F1005962	XP_013934121.1	1	86	6	0	0	unique_gene
G0000007	F1006475	KAL9099160.1	1	83	9	0	0	unique_gene
G0000008	F1006475	KAL9122161.1	1	88	4	0	0	unique_gene
G0000009	F100910	BGP13396.1	1	85	7	0	0	unique_gene
G0000011	F100910	BGP15753.1	1	90	2	0	1	unique_gene
G0000012	F101028	XP_009255999.1	1	83	9	0	0	unique_gene
G0000013	F101028	XP_009256665.1	1	84	8	0	1	unique_gene
G0000014	F101097	KAF9991447.1	1	86	6	0	0	unique_gene
G0000016	F101097	KAF9996083.1	1	88	4	0	1	unique_gene
G0000021	F101098	XP_051410384.1	1	85	7	0	0	unique_gene
G0000024	F101098	XP_051416528.1	1	88	4	0	1	unique_gene
G0000025	F101201	XP_024759203.1	1	86	6	0	0	unique_gene
G0000026	F101201	XP_024763307.1	1	84	8	0	1	unique_gene
G0000027	F1031713	KAL9933286.1	1	87	5	0	1	unique_gene
G0000029	F1031713	KAL9938112.1	1	86	6	0	0	unique_gene
G0000031	F103449	XP_008075109.1	1	87	5	0	0	unique_gene
G0000033	F1042133	XP_044675648.1	1	84	8	0	1	unique_gene
G0000034	F1042133	XP_044686389.1	1	85	7	0	0	unique_gene
G0000035	F1042397	MCJ1480593.1	1	85	7	0	1	unique_gene
G0000036	F1042397	MCJ1480919.1	1	87	5	0	0	unique_gene
G0000037	F104341	XP_024336235.1	1	87	5	0	0	unique_gene
G0000038	F104341	XP_024339341.1	1	88	4	0	1	unique_gene
G0000039	F104355	XP_007862235.1	1	88	4	0	0	unique_gene
G0000040	F104355	XP_007869387.1	1	88	4	0	1	unique_gene
G0000041	F104408	GHJ87897.1	1	90	2	0	1	unique_gene
G0000042	F104408	GHJ88030.1	1	78	14	0	0	unique_gene
G0000043	F104669	XP_018992306.1	1	81	11	0	0	unique_gene
G0000044	F104669	XP_018995602.1	1	84	8	0	1	unique_gene
G0000045	F1048519	KAF2236131.1	1	89	3	0	1	unique_gene
G0000046	F1048519	KAF2236721.1	1	87	5	0	0	unique_gene
G0000047	F1048829	XP_002790917.1	1	84	8	0	1	unique_gene
G0000048	F1048829	XP_002796130.1	1	89	3	0	0	unique_gene
G0000049	F1048955	KAF2422605.1	1	87	5	0	0	unique_gene
G0000050	F1048955	KAF2432685.1	1	84	8	0	1	unique_gene
G0000051	F1052096	XP_069228808.1	1	66	26	0	1	unique_gene
G0000052	F1052096	XP_069232427.1	1	85	7	0	0	unique_gene
G0000053	F1055551	KAO0785008.1	1	88	4	0	1	unique_gene
G0000054	F1055551	KAO0785630.1	1	87	5	0	0	unique_gene
G0000056	F105984	XP_028472959.1	1	82	10	0	1	unique_gene
G0000057	F105984	XP_028479431.1	1	85	7	0	0	unique_gene
G0000058	F106004	ORY77992.1	1	86	6	0	0	unique_gene
G0000059	F106004	ORY88110.1	1	89	3	0	1	unique_gene
G0000062	F1069201	XP_041537456.1	1	85	7	0	1	unique_gene
G0000063	F1069201	XP_041539939.1	1	87	5	0	0	unique_gene
G0000064	F1080349	XP_018219100.1	1	90	2	0	0	unique_gene
G0000065	F1080349	XP_018222445.1	1	90	2	0	1	unique_gene
G0000066	F1081669	ORD97165.1	1	79	13	0	0	unique_gene
G0000067	F1081669	ORD98063.1	1	80	12	0	1	unique_gene
G0000068	F1093897	XP_060284429.1	1	87	5	0	1	unique_gene
G0000069	F1093897	XP_060287681.1	1	86	6	0	0	unique_gene
G0000070	F1093900	XP_030998773.1	1	87	5	0	1	unique_gene
G0000071	F1093900	XP_030999437.1	1	85	7	0	0	unique_gene
G0000072	F1095194	XP_038743090.1	1	87	5	0	1	unique_gene
