name	marker	fit	start	optimizer	log_likelihood	minus_gamma	minus_original_freerate
4900375at2759__3di_llm__gamma__EM	4900375at2759	3di_llm	gamma	EM	-9748.78	11.03399999999965	11.214500000000044
4900375at2759__3di_llm__gamma__2-BFGS	4900375at2759	3di_llm	gamma	2-BFGS	-9748.7751	11.038899999999558	11.21939999999995
4900375at2759__3di_llm__freerate__EM	4900375at2759	3di_llm	freerate	EM	-9759.8984	-0.08439999999973224	0.09610000000066066
4900375at2759__3di_llm__freerate__2-BFGS	4900375at2759	3di_llm	freerate	2-BFGS	-9759.8961	-0.08209999999962747	0.09840000000076543
4969018at2759__3di_af__gamma__EM	4969018at2759	3di_af	gamma	EM	-1778.2432	1.4407000000001062	1.867200000000139
4969018at2759__3di_af__gamma__2-BFGS	4969018at2759	3di_af	gamma	2-BFGS	-1778.1257	1.5581999999999425	1.9846999999999753
4969018at2759__3di_af__freerate__EM	4969018at2759	3di_af	freerate	EM	-1779.4683	0.2155999999999949	0.6421000000000276
4969018at2759__3di_af__freerate__2-BFGS	4969018at2759	3di_af	freerate	2-BFGS	-1778.1268	1.5570999999999913	1.983600000000024
4969018at2759__3di_af_empirical__gamma__EM	4969018at2759	3di_af_empirical	gamma	EM	-1748.1034	1.509800000000041	2.0966000000000804
4969018at2759__3di_af_empirical__gamma__2-BFGS	4969018at2759	3di_af_empirical	gamma	2-BFGS	-1748.0051	1.6080999999999221	2.1948999999999614
4969018at2759__3di_af_empirical__freerate__EM	4969018at2759	3di_af_empirical	freerate	EM	-1749.5382	0.07500000000004547	0.6618000000000848
4969018at2759__3di_af_empirical__freerate__2-BFGS	4969018at2759	3di_af_empirical	freerate	2-BFGS	-1748.0059	1.6072999999998956	2.194099999999935
4969018at2759__3di_llm__gamma__EM	4969018at2759	3di_llm	gamma	EM	-1830.7816	1.9316999999998643	2.197099999999864
4969018at2759__3di_llm__gamma__2-BFGS	4969018at2759	3di_llm	gamma	2-BFGS	-1830.6475	2.0657999999998538	2.3311999999998534
4969018at2759__3di_llm__freerate__EM	4969018at2759	3di_llm	freerate	EM	-1832.2438	0.4694999999999254	0.7348999999999251
4969018at2759__3di_llm__freerate__2-BFGS	4969018at2759	3di_llm	freerate	2-BFGS	-1830.6498	2.0634999999999764	2.328899999999976
5004118at2759__3di_af_empirical__gamma__EM	5004118at2759	3di_af_empirical	gamma	EM	-289.387	4.195299999999975	5.2146000000000186
5004118at2759__3di_af_empirical__gamma__2-BFGS	5004118at2759	3di_af_empirical	gamma	2-BFGS	-289.3762	4.206099999999992	5.225400000000036
5004118at2759__3di_af_empirical__freerate__EM	5004118at2759	3di_af_empirical	freerate	EM	-293.9869	-0.4046000000000163	0.6147000000000276
5004118at2759__3di_af_empirical__freerate__2-BFGS	5004118at2759	3di_af_empirical	freerate	2-BFGS	-288.7994	4.782899999999984	5.802200000000028
5005750at2759__3di_af_empirical__gamma__EM	5005750at2759	3di_af_empirical	gamma	EM	-3950.2332	5.390599999999722	11.493099999999686
5005750at2759__3di_af_empirical__gamma__2-BFGS	5005750at2759	3di_af_empirical	gamma	2-BFGS	-3950.1541	5.469699999999648	11.572199999999611
5005750at2759__3di_af_empirical__freerate__EM	5005750at2759	3di_af_empirical	freerate	EM	-3957.3892	-1.765400000000227	4.337099999999737
5005750at2759__3di_af_empirical__freerate__2-BFGS	5005750at2759	3di_af_empirical	freerate	2-BFGS	-3950.1528	5.471000000000004	11.573499999999967
541070at2759__aa__gamma__EM	541070at2759	aa	gamma	EM	-24235.6945	18.42059999999765	35.785399999997026
541070at2759__aa__gamma__2-BFGS	541070at2759	aa	gamma	2-BFGS	-24233.3263	20.788799999998446	38.15359999999782
541070at2759__aa__freerate__EM	541070at2759	aa	freerate	EM	-24248.6397	5.475399999999354	22.84019999999873
541070at2759__aa__freerate__2-BFGS	541070at2759	aa	freerate	2-BFGS	-24233.3264	20.788699999997334	38.15349999999671
