marker	taxon_id	protein_id	status	translation_table	code_provenance	source_kind	annotation_flags	initial_phase_or_omitted_bases	terminal_partial_bases	terminal_stop_removed	noncanonical_codon_columns	representative_decision	gene_mapping_status
115730at2759	F5116	XP_040778348.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F241526	KAG8204839.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F89243	MIE9575466.1	excluded:non_triplet_length	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0				longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F264483	CDZ96977.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds		0		True	0	retained_unresolved_gene	unmapped
115730at2759	F58919	XP_025599099.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F113071	KAF8583945.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F3038894	KAK4698334.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F348617	KAI0219398.1	excluded:initial_phase_requires_coordinate_review	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	2				longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F27376	CAG8671862.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F4866	KAJ1957325.1	excluded:initial_phase_requires_coordinate_review	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	2				longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F91625	KAG2174944.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
115730at2759	F2109901	NODE_388_length_9508_cov_0.225954.p4	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	retained_unresolved_gene	provisional_orf
115730at2759	F2020955	NODE_112_length_18534_cov_1.163656.p10	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	retained_unresolved_gene	provisional_orf
115730at2759	OFS1403592	CFRG1135T1	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F2486360	XP_062675533.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F3060298	KAL9624856.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F400354	MCJ1370052.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F5479	KAL6453941.1	excluded:annotation_exception_requires_review	12	explicit_cds	ncbi_unmodified_cds	exception	0				longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F44565	KAO0763057.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F2831993	KII91402.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F202698	XP_007383433.1	excluded:initial_phase_requires_coordinate_review	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	2				longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F264483	CDZ96737.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds		0		True	0	retained_unresolved_gene	unmapped
129234at2759	F1569628	XP_025364841.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F2600213	KAG8800540.1	excluded:non_triplet_length	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0				longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F1555241	RKP03226.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F1604274	KAJ1563393.1	excluded:initial_phase_requires_coordinate_review|non_triplet_length	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial;start_range	2				longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F1938954	OZJ01559.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F278681	KAG5458699.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
129234at2759	F2109901	NODE_274_length_12130_cov_0.238800.p5	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	retained_unresolved_gene	provisional_orf
129234at2759	F2020955	NODE_22_length_42145_cov_1.310612.p26	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	retained_unresolved_gene	provisional_orf
129234at2759	OFS1403592	CFRG4944T1	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F470096	XP_033597776.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F241526	KAG8204957.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0		True	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F264483	CED83561.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds		0		True	0	retained_unresolved_gene	unmapped
160487at2759	F3038894	KAK4698594.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F181123	MBW0555476.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F135208	TFY75923.1	excluded:initial_phase_requires_coordinate_review	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	1				longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F1774096	KAJ3200893.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F1604274	KAJ1568792.1	translation_verified_codon_alignment	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	0		False	0	longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F1117311	CAI2180712.1	excluded:non_triplet_length	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	0				longest_per_gene_lexical_tiebreak	unique_gene
160487at2759	F2109901	NODE_60_length_25605_cov_0.732377.p1	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	retained_unresolved_gene	provisional_orf
160487at2759	OFS1403592	CFRG4949T1	translation_verified_codon_alignment	1	external_table_1_verified_extraction	external_verified_cds_subset	external_extraction_policy_requires_downstream_review			True	0	longest_per_gene_lexical_tiebreak	unique_gene
201273at2759	F1397036	MCJ1474444.1	excluded:initial_phase_requires_coordinate_review	1	ncbi_documented_default	ncbi_unmodified_cds	partial;start_range	1				longest_per_gene_lexical_tiebreak	unique_gene
201273at2759	F460854	KAI9763495.1	excluded:initial_phase_requires_coordinate_review	1	ncbi_documented_default	ncbi_unmodified_cds	end_range;partial	1				longest_per_gene_lexical_tiebreak	unique_gene
201273at2759	F1095194	XP_038745948.1	excluded:translation_mismatch	1	ncbi_documented_default	ncbi_unmodified_cds		0				longest_per_gene_lexical_tiebreak	unique_gene
