entry_id	taxon_id	protein_id	sequence_id	query_source	protein_length	gene_ids_json	gene_mapping_status	representative_decision	TFIIB_hits	BRF1_hits	Zn_Ribbon_TF_hits	selected_busco_markers_json	pair_status	species_name	study_role	lineage_group	BRF1_evidence_class	selected_focal_marker	curated_hybrid_taxon	interpretation	best_split_side	class_disagrees_with_split
G0000001	F1004511	KAF8622042.1	S0ffbc40005c19e63adc71e9b685f30fa6c00ccf42093f0749a983a901ef6ed70	additional_full_proteome	757	"[""gene-AX15_007325""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	[]	eligible_ordered_pair	Amanita polypyramis	ingroup	Basidiomycota	BRF1_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000002	F1004511	KAF8622076.1	S5a6fb4a142c62aee2f5ed442fe1c1ab9f0a29842bf723063c4f93327431a5a3c	additional_full_proteome	348	"[""gene-AX15_007221""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Amanita polypyramis	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000004	F1005962	XP_013932858.1	Sf6481c0fa0f21ab8894db8a616574b8b5f4973cb7d1eff7e9542cf983c5c6b93	marker-inputs-v1	534	"[""gene-HPODL_03052""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Ogataea parapolymorpha	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000005	F1005962	XP_013934121.1	Sb6bf2c4ee98bb041fb7d4bc4bddcc75da8013b2cd31d02a1e185ec93645f96c3	additional_full_proteome	338	"[""gene-HPODL_03871""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Ogataea parapolymorpha	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000007	F1006475	KAL9099160.1	S6610cd87926d5078ad143615cf46bd09f285f827451b095f114f8e53cf0b38e8	marker-inputs-v1	389	"[""gene-Q9187_009538""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	0	"[""4986044at2759""]"	eligible_ordered_pair	Circinaria calcarea	ingroup	Ascomycota	BRF1_not_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	True
G0000008	F1006475	KAL9122161.1	S8bfe18dc61aa5db7349ab121f85d90cb129fbeb64db81dff301d0aa320096963	additional_full_proteome	363	"[""gene-Q9187_001290""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Circinaria calcarea	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000009	F100910	BGP13396.1	S2511fe55bd577478c45e4af7b913b6f836ae103fe578a34c569fdd1dc061c954	additional_full_proteome	330	"[""gene-JCM10213v2_001315""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	0	[]	eligible_ordered_pair	Rhodosporidiobolus nylandii	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000011	F100910	BGP15753.1	Sb07e0e4cdb70555d392292ae465d8421f515a048ed3aafaa4abb270777a98f0c	marker-inputs-v1	669	"[""gene-JCM10213v2_003742""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Rhodosporidiobolus nylandii	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000012	F101028	XP_009255999.1	S1a08f30db621f90e3808c8430208bdb3305b17aa1699a083b6a4304d46785607	additional_full_proteome	349	"[""gene-FPSE_04606""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Fusarium pseudograminearum	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000013	F101028	XP_009256665.1	S531ef7f1b284fbb83f61a90207c643cdf994f16f01d5bc5df9ef4c95263b3b6e	marker-inputs-v1	759	"[""gene-FPSE_05272""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Fusarium pseudograminearum	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
