case_id	marker	taxon_id	protein_id	fcs_actions	alignment_sha256	fit_receipt_sha256
Naganishia__129234at2759__code1	129234at2759	F610337	KAJ9108408.1	EXCLUDE	09cbafdfd9262f959d551c79ddca6036ea20971181bc9825bfd39021ab03af45	241857c725aa665f7564caed8ac8d90f636ff2698d752377fe0bd63ac0aadd74
Naganishia__260326at2759__code1	260326at2759	F610337	KAJ9108417.1	EXCLUDE	b62734c9b268cd09891472f380af097929c1defa4105c16b6c61dbf80fea57e7	a539dec5df1d0d6167f6e9f5823fdba5a9929f99d445204b915fc4ffca09276f
Naganishia__340246at2759__code1	340246at2759	F610337	KAJ9106613.1	EXCLUDE	1112e3786cbc189aedc83d71848358855852fa87e222ec3ff5f12b51289ede17	d24fb88d29de1ca47bc72db9340297d8d0b4e503b8b5ff3782dd5a03222edb65
Naganishia__345792at2759__code1	345792at2759	F610337	KAJ9101333.1	EXCLUDE	16e93106ef1f419330a9172a67cc7e1fbede5d2606c7d215dae60f7ab10760cc	df31c408de7789df49f2ab3d72d21c4d31b34e69ea2a19aef81fb1b3e68d41dd
Naganishia__4810093at2759__code1	4810093at2759	F610337	KAJ9093640.1	EXCLUDE	39b0adf03225c7a868cfcd5bec24b35dad3313a1722bd86f004d3db1e28a79f0	3658d945048584f910cc35c742a6009658311c9020695c56d520983751de9ea2
Naganishia__4823929at2759__code1	4823929at2759	F610337	KAJ9099655.1	EXCLUDE	960c350fcc5a2d00423f993b69ef18c7b832dc22fef8543f3e9d0d2fb2b957bd	a84163177449aa311ebefd5a25586d2691f6c33596b985546c70a62c2674ef83
Naganishia__4838864at2759__code1	4838864at2759	F610337	KAJ9103533.1	EXCLUDE	06691ff6d92f0c1a63e2abd81b5a18086191eeb45cf5352192b905a80ceb720f	cc3c172aa51525af5cd2873e13c16274816a9106e70104bcffb5bb381f86c85d
Naganishia__4867008at2759__code1	4867008at2759	F610337	KAJ9102150.1	EXCLUDE	9cdcd0f399d43ee0e7a07b5350fe8f5c74773403ae6b2946ccae6efc6f04c431	280ebd70420035a722ff30ac08c3b2d3fb16dcbf0fd8484b540dd9fae8c70fab
Naganishia__4896098at2759__code1	4896098at2759	F610337	KAJ9112000.1	EXCLUDE	c0a9a1c41cf2abd32f90bda1443913440de66e4758d4c7aa1b10f6a693f0d8cb	1349c322772cc88bb4735e66fb5f966786cb076ff6be89dc0825f89c641aaaae
Naganishia__4908955at2759__code1	4908955at2759	F610337	KAJ9109651.1	EXCLUDE	87bf82fcacd196b425c4ecd268fb418c39f129085d2961a6f80ce277779b6d55	5f93c19bed8306701eb38a9ab6272e99c49e77fc61be40113f32d34f20ff14e4
Naganishia__4970538at2759__code1	4970538at2759	F610337	KAJ9101597.1	EXCLUDE	d64636cf97c84937174718eca7dbe74539c36174a8eb2a2518f7dd92383a4bfb	0b6322e389c64fbc77488e9386653631d0bce375b86752fa4ddca3624a66fae1
Naganishia__4976279at2759__code1	4976279at2759	F610337	KAJ9101352.1	EXCLUDE	1f195673011a92874184392ae8c126e7c3179a2dd353924ce13af6c40f1fc184	bf6ffebaf29b568435aba7043c82eaaec11af534dc51e87df87dd4d42c8aeaf9
Naganishia__5000371at2759__code1	5000371at2759	F610337	KAJ9093989.1	EXCLUDE	018e907bc1ae29f23f83aea9416a5f2dd4ef496deaff62088644c32cebd96b32	2bb1eed0f5c081f4413a272acb98f31146093856a82ac1caf313aeda0b6e1329
Naganishia__5000452at2759__code1	5000452at2759	F610337	KAJ9103443.1	EXCLUDE	1f1de63e7ec5221c1632c8e1cb85130dcb0331285fab7eedec747faf2b5649f1	79efbc44075bbcd41ede9fabfe9323f75e87f145a3fa8e33c98aef96ab036227
Naganishia__5000870at2759__code1	5000870at2759	F610337	KAJ9097970.1	EXCLUDE	ce312671490ece7a2ffde9815a77703df5e6fba48e89cb38625ec981cf671ef1	eabe599dff5c7cd71de80b8d672edd2d844e5c71ffe4005fdb9112bac07042f0
Naganishia__5001413at2759__code1	5001413at2759	F610337	KAJ9096669.1	EXCLUDE	ec290c95bf5730c0714506d933fea38409706b5562f5e399051f1ae5b8073a54	0228ea2cb920f1f5e07af96b6395840b50baf03f2b704a7dbec3187f1116ea19
Naganishia__5001473at2759__code1	5001473at2759	F610337	KAJ9101290.1	EXCLUDE	5aa24ba1176b11e7ebf5a11ef07408e79f04ba5b896ba2b2a4c67639ea904d20	be391be6ee81c75956bbbeca5ddeb1d47833fb57682a33c60ace3fd3c9db850a
Naganishia__5005010at2759__code1	5005010at2759	F610337	KAJ9093008.1	EXCLUDE	6ce85ee09580cb8f7eb380df5021d9405b68191f44e77f8d528603dca7c10722	a45c98e9a73a26706ef61d5cb719698c5a5ce23ba7b6621c7725bbb86c37b824
Naganishia__5005274at2759__code1	5005274at2759	F610337	KAJ9095890.1	EXCLUDE	ad7929b23db9fae609c8855f783e2355cfa466cb97f99ae60f54f3fe7c1a194a	02054d29e7eadd1d2b5c37cd4f87dade440a8890600d9e0f7c9fcfb28519b31a
Naganishia__5005697at2759__code1	5005697at2759	F610337	KAJ9101430.1	EXCLUDE	2d193245210dfaffcfb399d0d859596967a4ea1ce62cb2f06892ad149a96f51b	27941237f6f17913146ab87fd6d8a30ae29e70ab0cd6cf738eb798642890f7e2
Naganishia__5005892at2759__code1	5005892at2759	F610337	KAJ9113323.1	EXCLUDE	aa5e4acd546e9a33d6a36fa6e4f79f24db35465f18993ef6a1a688a69a7dcf79	efa261f7b96af223f63944915b427f1f7e88060e9715ea18909fe80d9d3d0f59
Naganishia__5006326at2759__code1	5006326at2759	F610337	KAJ9095863.1	EXCLUDE	03ccde6e21ae0f2be6dcaf6b18180091c13276d3691b75346d1af02765a39eec	fd9c704da6c9a730365ddd1de4d5a8f8e90340079cffb6de54d2e4d3e6592a84
Naganishia__5011777at2759__code1	5011777at2759	F610337	KAJ9109395.1	EXCLUDE	a2122316f40be9432fab40d15db0cd15572bd8f24108762a95a46fc881edd042	7fdf16b39a70987c01ce89a33f6945c02dc086e387d40ddc787cd7f0ef5bf4bd
Naganishia__5013259at2759__code1	5013259at2759	F610337	KAJ9104885.1	EXCLUDE	aa51870564ca3265c8fb5b5c7e3abfb86afa488ffb555192e9aa5c7014e6bb8d	63e2f46fce1d8160c858bf72bc43fe97df6127da36f4bee4f018563605f0e85e
Naganishia__5014007at2759__code1	5014007at2759	F610337	KAJ9102108.1	EXCLUDE	e906ef830ad863b72f74eba96eb7ed8adf07d256089246234461ff4ace1dd620	1f586ed20e4019d3dc8b8d744630e420b4180c3165e9d88cc371650f04e38987
Naganishia__5015876at2759__code1	5015876at2759	F610337	KAJ9103434.1	EXCLUDE	60f02295f16474a73996e12c948fb8a235cd50d00af16186066a81f850343616	fd67ef94f840d458b6b19167125016665e4d8c903829dca93f6f31f5538281fe
Naganishia__540946at2759__code1	540946at2759	F610337	KAJ9095431.1	EXCLUDE	54a4302880ab9153f66156d7cfbb1c0d5d3d5b0c6d3fd03b9f034d1a760e3410	7fc9a392c6ac7b5e5e180d98efde1b8e3331f1e365934751c1e9910f3ea6e58e
Naganishia__760428at2759__code1	760428at2759	F610337	KAJ9105671.1	EXCLUDE	719764fd555168313d44ec368d7fc5f82400beba9c65bf3fc6c6be32a58010dc	e782e7ca2fa355c7db194182d4555fd333a3cdfe6034e36d51e471a0c6e04868
Naganishia__776280at2759__code1	776280at2759	F610337	KAJ9106482.1	EXCLUDE	a0feb4b8b642d8eb72cbd75343ae36425d39294401869c1c509739d33eaae7ba	a4eba16b09736bbd38e3ad3b68efbdafc56a30e855568709843ec30293138cb5
