taxon_id	marker	busco_status	raw_hit_proteins	distinct_resolved_gene_ids	unresolved_hit_proteins	hit_proteins_retained_as_representatives	duplicate_annotation_category	protein_ids_json	resolved_gene_ids_json
F1243177	115730at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3643896.1"", ""KAI3645081.1""]"	"[""gene-MP228_010060"", ""gene-MP228_011245""]"
F1243177	129234at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3651201.1"", ""KAI3654076.1""]"	"[""gene-MP228_000795"", ""gene-MP228_004682""]"
F1243177	160487at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3647993.1"", ""KAI3653682.1""]"	"[""gene-MP228_001629"", ""gene-MP228_008214""]"
F1243177	201273at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3644038.1"", ""KAI3644943.1""]"	"[""gene-MP228_010202"", ""gene-MP228_011107""]"
F1243177	207567at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3642206.1"", ""KAI3647451.1""]"	"[""gene-MP228_007672"", ""gene-MP228_011761""]"
F1243177	260326at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3652111.1"", ""KAI3650980.1""]"	"[""gene-MP228_003414"", ""gene-MP228_004461""]"
F1243177	2852757at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3642821.1"", ""KAI3654599.1""]"	"[""gene-MP228_000653"", ""gene-MP228_012376""]"
F1243177	288615at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3644965.1"", ""KAI3644018.1""]"	"[""gene-MP228_010182"", ""gene-MP228_011129""]"
F1243177	319730at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3645838.1"", ""KAI3648415.1""]"	"[""gene-MP228_006269"", ""gene-MP228_008766""]"
F1243177	340246at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3648480.1"", ""KAI3655109.1""]"	"[""gene-MP228_000489"", ""gene-MP228_006334""]"
F1243177	345792at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3643764.1"", ""KAI3646283.1""]"	"[""gene-MP228_009211"", ""gene-MP228_009928""]"
F1243177	352891at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3644085.1"", ""KAI3644895.1""]"	"[""gene-MP228_010249"", ""gene-MP228_011059""]"
F1243177	4613677at2759	Duplicated	3	3	0	3	multiple_annotated_genes	"[""KAI3647572.1"", ""KAI3642323.1"", ""KAI3647575.1""]"	"[""gene-MP228_007793"", ""gene-MP228_007796"", ""gene-MP228_011878""]"
F1243177	4695236at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3647532.1"", ""KAI3642283.1""]"	"[""gene-MP228_007753"", ""gene-MP228_011838""]"
F1243177	4747214at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3651787.1"", ""KAI3653055.1""]"	"[""gene-MP228_002480"", ""gene-MP228_003090""]"
F1243177	4764044at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3642233.1"", ""KAI3647480.1""]"	"[""gene-MP228_007701"", ""gene-MP228_011788""]"
F1243177	4803900at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3643833.1"", ""KAI3645145.1""]"	"[""gene-MP228_009997"", ""gene-MP228_011309""]"
F1243177	4810093at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3647687.1"", ""KAI3642439.1""]"	"[""gene-MP228_007908"", ""gene-MP228_011994""]"
F1243177	4813267at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3653726.1"", ""KAI3648035.1""]"	"[""gene-MP228_001673"", ""gene-MP228_008256""]"
F1243177	4823929at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3648171.1"", ""KAI3649736.1""]"	"[""gene-MP228_005368"", ""gene-MP228_006025""]"
F1243177	4837017at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3646061.1"", ""KAI3650022.1""]"	"[""gene-MP228_005654"", ""gene-MP228_008989""]"
F1243177	4838864at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3645973.1"", ""KAI3649941.1""]"	"[""gene-MP228_005573"", ""gene-MP228_008901""]"
F1243177	4843240at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3646410.1"", ""KAI3652501.1""]"	"[""gene-MP228_001926"", ""gene-MP228_009338""]"
F1243177	4843824at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3652506.1"", ""KAI3646405.1""]"	"[""gene-MP228_001931"", ""gene-MP228_009333""]"
F1243177	4867008at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3649604.1"", ""KAI3648301.1""]"	"[""gene-MP228_005236"", ""gene-MP228_006155""]"
F1243177	4888252at2759	Duplicated	2	2	0	2	multiple_annotated_genes	"[""KAI3651848.1"", ""KAI3648866.1""]"	"[""gene-MP228_003151"", ""gene-MP228_006720""]"
