representative_input_id	cluster_input_id	source	model_id	taxon_id	protein_id	marker	species_name	study_role	major_lineage
M000701	M000701	AlphaFold	AF-A0A0L0H532-F1	F109760	XP_016604372.1	4803900at2759	Spizellomyces punctatus	ingroup	Chytridiomycota
M000701	M001619	AlphaFold	AF-A0A1D8PCD0-F1	F5476	XP_019330606.1	4803900at2759	Candida albicans	ingroup	Ascomycota
M000701	M001728	AlphaFold	AF-A0A1E3P717-F1	F4927	XP_019040370.1	4803900at2759	Hansenula anomala	ingroup	Ascomycota
M000701	M002390	AlphaFold	AF-A0A1Y1VU34-F1	F1754192	ORX64818.1	4803900at2759	Anaeromyces robustus	ingroup	Neocallimastigomycota
M000701	M007663	AlphaFold	AF-A0A9P6FLE0-F1	F979761	KAF9577755.1	4803900at2759	Lunasporangiospora selenospora	ingroup	Mortierellomycota
M000706	M000706	AlphaFold	AF-A0A0L0RY67-F1	F28583	KNE55024.1	4843240at2759	Allomyces macrogynus	ingroup	Blastocladiomycota
M000709	M000709	AlphaFold	AF-A0A0L0S3K1-F1	F28583	KNE57138.1	4986044at2759	Allomyces macrogynus	ingroup	Blastocladiomycota
M000712	M000712	AlphaFold	AF-A0A0L0S620-F1	F28583	KNE57866.1	541070at2759	Allomyces macrogynus	ingroup	Blastocladiomycota
M000712	M003670	AlphaFold	AF-A0A384JC76-F1	F40559	XP_001560727.1	541070at2759	Botrytis cinerea	ingroup	Ascomycota
M000712	M000823	AlphaFold	AF-A0A0W4ZI27-F1	F4754	XP_018225736.1	541070at2759	Pneumocystis carinii	ingroup	Ascomycota
M000712	M011911	AlphaFold	AF-M7PHA8-F1	F263815	XP_007873990.1	541070at2759	Pneumocystis murina	ingroup	Ascomycota
M000712	M001582	AlphaFold	AF-A0A1D2VL99-F1	F54195	XP_020048678.1	541070at2759	Ascoidea rubescens	ingroup	Ascomycota
M000712	M002876	AlphaFold	AF-A0A2P4Z9B5-F1	F398673	XP_018658635.1	541070at2759	Trichoderma gamsii	ingroup	Ascomycota
M000712	M004265	AlphaFold	AF-A0A5E8C4J3-F1	F2606893	XP_031856728.1	541070at2759	Magnusiomyces paraingens	ingroup	Ascomycota
M000712	M012742	AlphaFold	AF-W1QFH0-F1	F1005962	XP_013934541.1	541070at2759	Ogataea parapolymorpha	ingroup	Ascomycota
M000712	M004736	AlphaFold	AF-A0A6A6ULX2-F1	F703497	KAF2673239.1	541070at2759	Microthyrium microscopicum	ingroup	Ascomycota
M000712	M006461	AlphaFold	AF-A0A8H3FJC5-F1	F1940652	CAF9924780.1	541070at2759	Gomphillus americanus	ingroup	Ascomycota
M000712	M006691	AlphaFold	AF-A0A8H4FHH5-F1	F474922	XP_045261632.1	541070at2759	Colletotrichum gloeosporioides	ingroup	Ascomycota
M000712	M000270	AlphaFold	AF-A0A084GBP2-F1	F563466	XP_016644553.1	541070at2759	Scedosporium apiospermum	ingroup	Ascomycota
M000712	M002426	AlphaFold	AF-A0A1Y2DA43-F1	F1141098	XP_040709978.1	541070at2759	Pseudomassariella vexata	ingroup	Ascomycota
M000712	M003825	AlphaFold	AF-A0A420Y9V7-F1	F177199	RKU44661.1	541070at2759	Coniochaeta pulveracea	ingroup	Ascomycota
M000712	M005118	AlphaFold	AF-A0A6A7C8X0-F1	F147573	KAF2863687.1	541070at2759	Piedraia hortae	ingroup	Ascomycota
M000712	M008435	AlphaFold	AF-A0A9W8R0W6-F1	F195108	XP_053002847.1	541070at2759	Fusarium falciforme	ingroup	Ascomycota
M000712	M008982	AlphaFold	AF-A0AAD9I7B6-F1	F1825666	KAK2071607.1	541070at2759	Phyllachora maydis	ingroup	Ascomycota
M000712	M010223	AlphaFold	AF-A0AB34L1M5-F1	F1052096	XP_069232773.1	541070at2759	Cladosporium halotolerans	ingroup	Ascomycota
M000712	M011259	AlphaFold	AF-I1RBB3-F1	F5518	XP_011316540.1	541070at2759	Fusarium graminearum	ingroup	Ascomycota
M000712	M011728	AlphaFold	AF-K3VTM7-F1	F101028	XP_009252022.1	541070at2759	Fusarium pseudograminearum	ingroup	Ascomycota
