source	marker	total_taxa_audited	original_marker_columns	eligible_taxa	retained_columns	status	aa_variable_columns	aa_parsimony_informative_columns	3di_variable_columns	3di_parsimony_informative_columns	curated_orthology_caveat	confirmatory_interpretation_status
AlphaFold	115730at2759	526	235	119	235	ready_for_inference	191	156	105	79	none_recorded	general_validation_still_required
AlphaFold	129234at2759	526	166	124	166	ready_for_inference	142	131	130	106	none_recorded	general_validation_still_required
AlphaFold	160487at2759	526	730	84	652	ready_for_inference	452	337	233	168	none_recorded	general_validation_still_required
AlphaFold	201273at2759	526	254	114	220	ready_for_inference	171	141	85	67	none_recorded	general_validation_still_required
AlphaFold	207567at2759	526	174	121	173	ready_for_inference	159	144	115	97	none_recorded	general_validation_still_required
AlphaFold	260326at2759	526	151	135	151	ready_for_inference	147	139	123	115	none_recorded	general_validation_still_required
AlphaFold	2852757at2759	526	264	101	264	ready_for_inference	231	203	108	83	none_recorded	general_validation_still_required
AlphaFold	288615at2759	526	383	117	383	ready_for_inference	357	318	294	233	none_recorded	general_validation_still_required
AlphaFold	319730at2759	526	400	113	400	ready_for_inference	321	289	261	196	none_recorded	general_validation_still_required
AlphaFold	340246at2759	526	441	98	418	ready_for_inference	332	310	246	207	none_recorded	general_validation_still_required
AlphaFold	345792at2759	526	226	113	226	ready_for_inference	149	127	112	89	none_recorded	general_validation_still_required
AlphaFold	352891at2759	526	245	111	239	ready_for_inference	209	192	141	123	none_recorded	general_validation_still_required
AlphaFold	3643464at2759	526	517	101	493	ready_for_inference	453	414	322	255	none_recorded	general_validation_still_required
AlphaFold	4613677at2759	526	73	98	73	ready_for_inference	69	67	27	22	none_recorded	general_validation_still_required
AlphaFold	4695236at2759	526	1059	107	1028	ready_for_inference	887	822	741	650	none_recorded	general_validation_still_required
AlphaFold	4747214at2759	526	114	119	114	ready_for_inference	104	99	91	86	none_recorded	general_validation_still_required
AlphaFold	4764044at2759	526	391	112	375	ready_for_inference	328	302	259	215	none_recorded	general_validation_still_required
AlphaFold	4803900at2759	526	106	94	105	ready_for_inference	98	92	58	45	none_recorded	general_validation_still_required
AlphaFold	4810093at2759	526	667	88	667	ready_for_inference	626	589	493	419	none_recorded	general_validation_still_required
AlphaFold	4813267at2759	526	578	102	475	ready_for_inference	428	411	337	289	none_recorded	general_validation_still_required
AlphaFold	4823929at2759	526	420	108	419	ready_for_inference	404	383	366	332	none_recorded	general_validation_still_required
AlphaFold	4837017at2759	526	205	108	205	ready_for_inference	199	191	165	150	none_recorded	general_validation_still_required
AlphaFold	4838864at2759	526	458	110	441	ready_for_inference	394	362	313	253	none_recorded	general_validation_still_required
AlphaFold	4843240at2759	526	315	105	311	ready_for_inference	291	273	235	207	none_recorded	general_validation_still_required
AlphaFold	4843824at2759	526	197	111	194	ready_for_inference	178	170	136	115	none_recorded	general_validation_still_required
AlphaFold	4867008at2759	526	177	117	177	ready_for_inference	167	151	150	134	none_recorded	general_validation_still_required
AlphaFold	4888252at2759	526	830	102	789	ready_for_inference	741	657	576	467	none_recorded	general_validation_still_required
AlphaFold	4896098at2759	526	157	114	145	ready_for_inference	108	102	76	56	none_recorded	general_validation_still_required
AlphaFold	4900375at2759	526	169	114	169	ready_for_inference	166	157	138	119	none_recorded	general_validation_still_required
AlphaFold	4908955at2759	526	318	117	304	ready_for_inference	267	249	237	183	none_recorded	general_validation_still_required
AlphaFold	4911644at2759	526	744	103	727	ready_for_inference	622	569	395	327	none_recorded	general_validation_still_required
AlphaFold	4940884at2759	526	469	97	436	ready_for_inference	364	337	304	254	none_recorded	general_validation_still_required
AlphaFold	4969018at2759	526	374	118	370	ready_for_inference	257	181	204	144	none_recorded	general_validation_still_required
AlphaFold	4969636at2759	526	295	114	295	ready_for_inference	223	207	212	156	none_recorded	general_validation_still_required
AlphaFold	4969990at2759	526	346	127	337	ready_for_inference	286	262	173	139	none_recorded	general_validation_still_required
AlphaFold	4970387at2759	526	136	111	134	ready_for_inference	127	118	54	35	none_recorded	general_validation_still_required
AlphaFold	4970538at2759	526	900	119	891	ready_for_inference	867	835	776	654	none_recorded	general_validation_still_required
AlphaFold	4971272at2759	526	375	116	374	ready_for_inference	340	310	160	139	none_recorded	general_validation_still_required
AlphaFold	4974767at2759	526	134	109	134	ready_for_inference	109	95	82	71	none_recorded	general_validation_still_required
AlphaFold	4975094at2759	526	852	111	747	ready_for_inference	667	614	492	429	none_recorded	general_validation_still_required
