taxon_id	species_name	study_role	assembly_accession	flags	review_status	analysis_policy
F2871812	Acarospora aff. strigata	ingroup	GCA_022814355.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2939400	Chrysothrix sp. TS-e1954	ingroup	GCA_026023555.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F3058885	Dirinaria sp. TL-2023a	ingroup	GCA_051941275.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F1506992	Thozetella sp. PMI_491	ingroup	GCA_021432635.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2939399	Claussenomyces sp. TS43310	ingroup	GCA_026023515.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	GCA_056506435.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F3060298	Pyrenula sp. 1 TL-2023	ingroup	GCA_052059035.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	GCA_000326105.1	explicit_hybrid_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2748771	Athelia sp. TMB	ingroup	GCA_014898675.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	GCA_020744175.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F170446	Ceratobasidium sp. AG-Ba	ingroup	GCA_016906575.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	GCA_904855205.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F3038894	Phenoliferia sp. Uapishka_3	ingroup	GCA_035521515.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2600213	Serendipita sp. 400	ingroup	GCA_019627735.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2600215	Serendipita sp. 405	ingroup	GCA_019627745.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2600216	Serendipita sp. 411	ingroup	GCA_019627755.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F1055551	Tritirachium sp. CBS 265.96	ingroup	GCA_058225015.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2562287	Entrophospora sp. SA101	ingroup	GCA_958431285.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2725673	Gonapodya sp. JEL0774	ingroup	GCA_027604505.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F2340872	Endogone sp. FLAS-F59071	ingroup	GCA_003990785.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F3108450	Neocallimastix sp. 'constans'	ingroup	GCA_050613775.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
F73868	Piromyces sp. E2	ingroup	GCA_002157105.1	incompletely_identified_species_label	pending	Retain raw data; review species identity and test taxon exclusion before final species-level inference
