reviewed_group_id	representative_input_id	models	unique_sequences	taxa	outgroup_taxa	markers	sources	edge_scope	biological_family_status
RG_M000024	M000024	2	2	2	0	4838864at2759	AlphaFold	representative_star_only	not_established
RG_M000029	M000029	1	1	1	1	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000031	M000031	1	1	1	1	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000055	M000055	92	92	94	0	5003022at2759	AlphaFold	representative_star_only	not_established
RG_M000074	M000074	3	3	3	0	5006412at2759	AlphaFold	representative_star_only	not_established
RG_M000079	M000079	3	3	3	0	5005010at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000081	M000081	7	7	7	0	541070at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000096	M000096	2	2	2	0	5018803at2759	AlphaFold	representative_star_only	not_established
RG_M000106	M000106	1	1	1	0	345792at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000149	M000149	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000164	M000164	1	1	1	0	5001473at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000180	M000180	4	4	4	0	4843240at2759	AlphaFold	representative_star_only	not_established
RG_M000185	M000185	1	1	1	0	3643464at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000186	M000186	2	2	2	0	4987397at2759	AlphaFold	representative_star_only	not_established
RG_M000188	M000188	1	1	1	0	5005274at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000189	M000189	1	1	1	0	5000823at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000193	M000193	104	104	105	0	4988239at2759	AlphaFold	representative_star_only	not_established
RG_M000227	M000227	2	2	2	0	5001280at2759	AlphaFold	representative_star_only	not_established
RG_M000238	M000238	1	1	1	0	5004118at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000243	M000243	1	1	1	0	5001318at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000244	M000244	1	1	1	0	4983000at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000249	M000249	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000264	M000264	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000284	M000284	3	3	3	0	4747214at2759	AlphaFold	representative_star_only	not_established
RG_M000287	M000287	6	6	6	0	4867008at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000309	M000309	1	1	1	0	5005750at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000313	M000313	3	3	3	0	207567at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000329	M000329	1	1	1	0	4900375at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000333	M000333	1	1	1	0	4974767at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000371	M000371	2	2	2	0	5004599at2759	AlphaFold	representative_star_only	not_established
RG_M000372	M000372	2	2	2	0	5004327at2759	AlphaFold	representative_star_only	not_established
RG_M000392	M000392	1	1	1	0	5011777at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000395	M000395	3	3	3	0	4613677at2759	AlphaFold	representative_star_only	not_established
RG_M000396	M000396	2	2	2	0	5013259at2759	AlphaFold	representative_star_only	not_established
RG_M000398	M000398	4	4	4	0	4843824at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000412	M000412	1	1	1	0	776280at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000419	M000419	1	1	1	0	5005274at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000420	M000420	1	1	1	0	4888252at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000428	M000428	1	1	1	0	5017019at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000433	M000433	8	8	8	0	5005010at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000437	M000437	1	1	1	0	5004118at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000438	M000438	1	1	1	0	4810093at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000444	M000444	20	20	21	0	4837017at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000459	M000459	2	2	2	0	345792at2759	AlphaFold	representative_star_only	not_established
RG_M000461	M000461	1	1	1	0	4983000at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000470	M000470	9	9	9	1	5005174at2759	AlphaFold	representative_star_only	not_established
RG_M000484	M000484	3	3	3	0	4896098at2759	AlphaFold	representative_star_only	not_established
RG_M000488	M000488	3	3	3	0	4976279at2759	AlphaFold	representative_star_only	not_established
RG_M000493	M000493	3	3	3	0	4843240at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000494	M000494	14	14	14	0	760428at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000507	M000507	2	2	2	1	4940884at2759	AlphaFold	representative_star_only	not_established
RG_M000523	M000523	37	37	37	0	5000986at2759	AlphaFold	representative_star_only	not_established
RG_M000536	M000536	1	1	1	0	5000743at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000544	M000544	1	1	1	0	5001473at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000550	M000550	41	41	43	0	5001734at2759	AlphaFold	representative_star_only	not_established
RG_M000553	M000553	1	1	1	0	4986044at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000557	M000557	1	1	1	0	5001660at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000582	M000582	6	6	6	0	4803900at2759	AlphaFold	representative_star_only	not_established
RG_M000598	M000598	6	6	6	0	5004478at2759	AlphaFold	representative_star_only	not_established
RG_M000612	M000612	10	10	10	0	5005892at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000615	M000615	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000620	M000620	2	2	2	0	5011777at2759	AlphaFold	representative_star_only	not_established
RG_M000621	M000621	1	1	1	0	115730at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000624	M000624	1	1	1	0	776280at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000633	M000633	1	1	1	0	5005274at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000636	M000636	10	10	10	0	5015403at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000652	M000652	1	1	1	0	5005217at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000663	M000663	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000665	M000665	3	3	3	0	538728at2759	AlphaFold	representative_star_only	not_established
RG_M000675	M000675	2	2	2	0	4977163at2759	AlphaFold	representative_star_only	not_established
RG_M000678	M000678	1	1	1	0	4810093at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000691	M000691	1	1	1	1	5003192at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000698	M000698	31	31	31	0	4970387at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000701	M000701	5	5	5	0	4803900at2759	AlphaFold	representative_star_only	not_established
RG_M000706	M000706	1	1	1	0	4843240at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000709	M000709	1	1	1	0	4986044at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000712	M000712	38	38	39	0	541070at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000719	M000719	3	3	3	0	4977863at2759	AlphaFold	representative_star_only	not_established
RG_M000724	M000724	1	1	1	0	5000371at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000731	M000731	2	2	2	0	4867008at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000732	M000732	3	3	3	0	5013738at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000735	M000735	14	14	14	0	4900375at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000748	M000748	1	1	1	0	5000371at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000752	M000752	3	3	3	0	4896098at2759	AlphaFold	representative_star_only	not_established
RG_M000772	M000772	1	1	1	0	5004265at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000776	M000776	26	26	28	0	5013539at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000804	M000804	1	1	1	0	5013738at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000807	M000807	3	3	3	0	5003022at2759	AlphaFold	representative_star_only	not_established
RG_M000809	M000809	3	3	3	0	5006412at2759	AlphaFold	representative_star_only	not_established
RG_M000821	M000821	2	2	2	0	5005750at2759	AlphaFold	representative_star_only	not_established
RG_M000827	M000827	1	1	1	0	5005697at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000831	M000831	2	2	2	0	5005010at2759	AlphaFold	representative_star_only	not_established
RG_M000859	M000859	2	2	2	0	5005750at2759	AlphaFold	representative_star_only	not_established
RG_M000862	M000862	1	1	1	0	5014007at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000869	M000869	6	6	6	0	288615at2759	AlphaFold	representative_star_only	not_established
RG_M000890	M000890	5	5	5	0	4940884at2759	AlphaFold	representative_star_only	not_established
RG_M000891	M000891	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000893	M000893	2	2	2	0	4843824at2759	AlphaFold	representative_star_only	not_established
RG_M000895	M000895	2	2	2	0	4613677at2759	AlphaFold	representative_star_only	not_established
RG_M000906	M000906	3	3	3	0	5005174at2759	AlphaFold	representative_star_only	not_established
RG_M000916	M000916	8	8	8	0	5001473at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000925	M000925	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000926	M000926	1	1	1	0	4803900at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000929	M000929	1	1	1	0	5013259at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M000936	M000936	4	4	4	0	5005215at2759	AlphaFold	representative_star_only	not_established
RG_M000962	M000962	7	7	7	1	4987397at2759;5000870at2759	AlphaFold	representative_star_only	not_established
RG_M000969	M000969	8	8	8	0	4977863at2759	AlphaFold	representative_star_only	not_established
RG_M000980	M000980	20	20	28	0	4747214at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M000985	M000985	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001013	M001013	2	2	2	0	5005174at2759	AlphaFold	representative_star_only	not_established
RG_M001014	M001014	2	2	2	0	4896098at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001016	M001016	39	39	39	1	5004391at2759	AlphaFold	representative_star_only	not_established
RG_M001023	M001023	92	92	93	1	5001280at2759	AlphaFold	representative_star_only	not_established
RG_M001027	M001027	2	2	2	0	5005010at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001028	M001028	2	2	2	0	5001318at2759	AlphaFold	representative_star_only	not_established
RG_M001042	M001042	89	89	91	0	5004118at2759	AlphaFold	representative_star_only	not_established
RG_M001099	M001099	1	1	1	0	801816at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001100	M001100	10	10	10	0	538728at2759	AlphaFold	representative_star_only	not_established
RG_M001104	M001104	1	1	1	0	5000045at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001110	M001110	2	2	2	0	4747214at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001121	M001121	1	1	1	0	5001318at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001124	M001124	1	1	1	0	5003856at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001125	M001125	3	3	3	0	5004478at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001127	M001127	2	2	2	0	538728at2759	AlphaFold	representative_star_only	not_established
RG_M001129	M001129	15	15	15	0	260326at2759;4843824at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001152	M001152	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001155	M001155	16	16	18	0	707076at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001163	M001163	112	112	119	0	4985971at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001167	M001167	5	5	5	0	5001413at2759	AlphaFold	representative_star_only	not_established
RG_M001223	M001223	1	1	2	0	5011777at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001231	M001231	20	20	20	1	4764044at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001242	M001242	1	1	1	0	4986044at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001243	M001243	58	58	58	0	760428at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001269	M001269	1	1	1	0	5001318at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001286	M001286	4	4	4	0	5015742at2759	AlphaFold	representative_star_only	not_established
RG_M001288	M001288	1	1	1	0	4823929at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001289	M001289	6	6	6	0	4986044at2759	AlphaFold	representative_star_only	not_established
RG_M001290	M001290	83	83	83	0	5015712at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001293	M001293	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001295	M001295	1	1	1	0	4813267at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001301	M001301	4	4	4	0	5001941at2759	AlphaFold	representative_star_only	not_established
RG_M001309	M001309	1	1	1	0	5013259at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001313	M001313	2	2	2	0	5004265at2759	AlphaFold	representative_star_only	not_established
RG_M001319	M001319	1	1	1	0	4867008at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001320	M001320	25	25	26	0	4900375at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001327	M001327	7	7	8	1	4764044at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001328	M001328	1	1	1	0	5003205at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001351	M001351	4	4	4	0	5004327at2759	AlphaFold	representative_star_only	not_established
RG_M001356	M001356	4	4	4	0	5013726at2759	AlphaFold	representative_star_only	not_established
RG_M001369	M001369	75	75	76	0	801816at2759	AlphaFold;ESMFold	representative_star_only	not_established
