manual_review_rank	species_a	species_b	marker	taxon_a	taxon_b	same_model_coordinates	pfam_accession	pfam_name	hit_a	hit_b	domain_a_start	domain_a_end	domain_b_start	domain_b_end	domain_shared_positions	domain_compared_residues	whole_marker_compared_residues	whole_marker_rmsd_angstrom	domain_sites_under_whole_marker_fit_rmsd_angstrom	domain_own_fit_rmsd_angstrom	domain_fit_improvement_angstrom	domain_uncorrected_sequence_difference	local_distance_pairs	local_mean_absolute_distance_change_angstrom	pae10_local_pairs	pae10_local_pair_fraction	pae10_local_mean_absolute_distance_change_angstrom
1	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4975094at2759	F470096	F4918	False	PF24824.2	PH_SPT16	H00008845	H00161047	665	796	674	806	125	104	722	25.064298233526696	34.71803281592629	0.5769557075485154	34.14107710837778	0.2980769230769231	1852	0.20170184242080763	1852	1.0	0.20170184242080763
2	Pachysolen tannophilus	Scedosporium apiospermum	4975094at2759	F4918	F563466	False	PF24824.2	PH_SPT16	H00161047	H00078324	674	806	669	802	125	103	717	25.398638826127744	33.36345818582098	0.5855390250456686	32.77791916077531	0.2815533980582524	1834	0.1979677147734953	1834	1.0	0.1979677147734953
3	Pachysolen tannophilus	Scedosporium apiospermum	4975094at2759	F4918	F563466	False	PF08512.19	Rttp106-like_middle	H00161048	H00078325	827	911	823	910	85	84	717	25.398638826127744	32.83581122545798	0.7771338958128855	32.05867732964509	0.38095238095238093	1390	0.2612571005161167	1390	1.0	0.2612571005161167
4	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4975094at2759	F470096	F4918	False	PF08512.19	Rttp106-like_middle	H00008846	H00161048	818	904	827	911	85	83	722	25.064298233526696	32.62166837541646	0.760276404026337	31.861391971390127	0.37349397590361444	1384	0.27654760558206976	1384	1.0	0.27654760558206976
5	Ogataea parapolymorpha	Aspergillus luchuensis	5001318at2759	F1005962	F1069201	False	PF00076.29	RRM_1	H00159777	H00034483	214	284	250	320	71	68	223	22.992175632828275	28.205831079839935	0.3863137197301101	27.819517360109824	0.36764705882352944	1129	0.214058333835462	1129	1.0	0.214058333835462
6	Pachysolen tannophilus	Scedosporium apiospermum	4975094at2759	F4918	F563466	False	PF08644.18	SPT16	H00161046	H00078323	550	663	547	659	104	86	717	25.398638826127744	27.634313593795525	0.9693395146807405	26.664974079114785	0.4883720930232558	1288	0.3050873458339765	1288	1.0	0.3050873458339765
7	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4975094at2759	F470096	F4918	False	PF08644.18	SPT16	H00008844	H00161046	542	654	550	663	104	89	722	25.064298233526696	23.7340058169557	1.0141172066565325	22.71988861029917	0.4606741573033708	1318	0.2654510166940509	1318	1.0	0.2654510166940509
8	Ogataea parapolymorpha	Aspergillus luchuensis	5001318at2759	F1005962	F1069201	False	PF00160.27	Pro_isomerase	H00159776	H00034482	3	148	3	169	144	137	223	22.992175632828275	19.04218915635769	2.6863855417781237	16.355803614579568	0.6058394160583942	3131	1.0796829971892168	3123	0.9974449057809007	1.0688874170329923
9	Colletotrichum lupini	Pachysolen tannophilus	4838864at2759	F145971	F4918	False	PF23097.2	NOL10_2nd	H00158014	H00068040	386	434	372	420	48	44	408	12.990200411048582	16.191339878192665	0.4036641255736174	15.787675752619046	0.5454545454545454	588	0.25422811441395937	588	1.0	0.25422811441395937
10	Aulographum hederae	Fusarium oxysporum	5002573at2759	F1176130	F5507	False	PF03464.21	eRF1_2	H00100614	H00013015	148	277	139	267	122	113	316	11.49830631517838	16.02673925383205	1.5951755080799408	14.431563745752111	0.5663716814159292	2277	0.5960517170635876	2270	0.9969257795344751	0.5825339828977812
