taxon_id	species_name	study_role	manifest_lineage_group	profile_unambiguous_residues	profile_fraction	mafft_unambiguous_residues	mafft_fraction	minimum_fraction_across_methods	raw_single_copy_markers	raw_duplicated_markers	raw_fragmented_markers	raw_missing_markers
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	45939	0.9370142982438249	54806	0.8597019607843137	0.8597019607843137	122	0	0	3
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	164	0.003345095559589614	204	0.0032	0.0032	1	119	0	5
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	47139	0.9614906072164318	60550	0.9498039215686275	0.9498039215686275	120	1	1	3
F318763	Pleopsidium flavum	ingroup	Ascomycota	40021	0.816305301160585	51162	0.8025411764705882	0.8025411764705882	103	16	2	4
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	47449	0.9678136537010219	60403	0.9474980392156863	0.9474980392156863	124	1	0	0
F4918	Pachysolen tannophilus	ingroup	Ascomycota	45867	0.9355457197054684	55744	0.8744156862745098	0.8744156862745098	120	1	1	3
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	44800	0.913782201643992	58008	0.9099294117647059	0.9099294117647059	121	0	1	3
F393283	Pestalotiopsis fici	ingroup	Ascomycota	46143	0.941175270769168	59077	0.9266980392156863	0.9266980392156863	120	1	0	4
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	48104	0.9811736390152365	61449	0.9639058823529412	0.9639058823529412	124	0	0	1
F91480	Alyxoria varia	ingroup	Ascomycota	46151	0.9413384461623188	59448	0.9325176470588236	0.9325176470588236	119	0	0	6
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	46782	0.9542089052970812	59336	0.9307607843137254	0.9307607843137254	122	0	0	3
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	45337	0.9247353499092337	57688	0.9049098039215686	0.9049098039215686	119	0	0	6
F54195	Ascoidea rubescens	ingroup	Ascomycota	45392	0.9258571807371448	55922	0.8772078431372549	0.8772078431372549	120	1	0	4
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	46203	0.9423990862177983	57598	0.9034980392156863	0.9034980392156863	122	1	0	2
F1176130	Aulographum hederae	ingroup	Ascomycota	48111	0.9813164174842434	61517	0.9649725490196078	0.9649725490196078	125	0	0	0
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	48263	0.9844167499541069	61511	0.964878431372549	0.964878431372549	125	0	0	0
F1397036	Lambiella insularis	ingroup	Ascomycota	42944	0.8759255104330267	55427	0.869443137254902	0.869443137254902	114	0	1	10
F223409	Ptychographa xylographoides	ingroup	Ascomycota	46927	0.9571664592979379	60797	0.953678431372549	0.953678431372549	121	0	0	4
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	44745	0.912660370816081	57964	0.9092392156862745	0.9092392156862745	120	0	0	5
F462254	Aplosporella prunicola	ingroup	Ascomycota	47870	0.9764007587655782	60910	0.9554509803921568	0.9554509803921568	123	2	0	0
F236234	Diplodia corticola	ingroup	Ascomycota	48093	0.9809492728496543	61705	0.9679215686274509	0.9679215686274509	124	1	0	0
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	48459	0.9884145470862994	61628	0.9667137254901961	0.9667137254901961	125	0	0	0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	37928	0.7736145389275297	48396	0.7591529411764706	0.7591529411764706	97	0	5	23
F116794	Heterodermia speciosa	ingroup	Ascomycota	47523	0.969323026087666	60906	0.9553882352941176	0.9553882352941176	121	1	0	3
F116821	Physcia stellaris	ingroup	Ascomycota	45322	0.9244293960470761	58306	0.9146039215686275	0.9146039215686275	122	0	0	3
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	47830	0.9755848817998246	61025	0.9572549019607843	0.9572549019607843	123	2	0	0
F460848	Candelaria pacifica	ingroup	Ascomycota	45867	0.9355457197054684	59431	0.9322509803921568	0.9322509803921568	119	1	1	4
F460854	Candelina submexicana	ingroup	Ascomycota	46018	0.9386256552511881	58955	0.9247843137254902	0.9247843137254902	120	0	0	5
F1453791	Pycnora praestabilis	ingroup	Ascomycota	46429	0.947008791074306	60168	0.9438117647058824	0.9438117647058824	120	0	3	2
F147573	Piedraia hortae	ingroup	Ascomycota	47393	0.9666714259489669	58549	0.9184156862745098	0.9184156862745098	122	0	1	2
F705562	Polychaeton citri	ingroup	Ascomycota	47733	0.9736063801578722	60864	0.9547294117647059	0.9547294117647059	125	0	0	0
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	47950	0.9780325126970852	61761	0.9688	0.9688	124	0	0	1
F223376	Phialemonium thermophilum	ingroup	Ascomycota	38893	0.7932975707263344	49263	0.7727529411764706	0.7727529411764706	107	1	3	14
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	47090	0.9604911579333837	59849	0.9388078431372548	0.9388078431372548	122	3	0	0
F293227	Cyphellophora europaea	ingroup	Ascomycota	48185	0.9828257898708874	60995	0.9567843137254902	0.9567843137254902	124	1	0	0
F2486360	Exophiala viscosa	ingroup	Ascomycota	48353	0.9862524731270524	61566	0.9657411764705882	0.9657411764705882	125	0	0	0
F1690604	Lithohypha guttulata	ingroup	Ascomycota	46840	0.9553919268974239	59654	0.9357490196078432	0.9357490196078432	119	1	0	5
