taxon_id	marker	protein_a	protein_b	gene_relationship	gene_ids_a_json	gene_ids_b_json	length_a	length_b	sequence_sha256_a	sequence_sha256_b	exact_full_sequence_identity	annotation_mode	interval_basis	intervals_a_json	intervals_b_json	location_relationship	overlap_bases	intervening_bases	same_strand
F101098	4747214at2759	XP_051407710.1	XP_051411981.1	distinct_annotated_genes	"[""gene-BC939DRAFT_465411""]"	"[""gene-BC939DRAFT_452096""]"	152	152	d6b9bb79c9ad0266ecb521845e82703d932f8a3b3c7cc908838e195e67a3da05	d6b9bb79c9ad0266ecb521845e82703d932f8a3b3c7cc908838e195e67a3da05	True	ncbi_protein_gff	annotated_gene_feature	"[[""NW_026251797.1"", 128705, 129873, ""-""]]"	"[[""NW_026251742.1"", 91096, 92267, ""-""]]"	different_assembly_sequences			
F101098	4747214at2759	XP_051407710.1	XP_051418011.1	distinct_annotated_genes	"[""gene-BC939DRAFT_465411""]"	"[""gene-BC939DRAFT_434711""]"	152	152	d6b9bb79c9ad0266ecb521845e82703d932f8a3b3c7cc908838e195e67a3da05	d6b9bb79c9ad0266ecb521845e82703d932f8a3b3c7cc908838e195e67a3da05	True	ncbi_protein_gff	annotated_gene_feature	"[[""NW_026251797.1"", 128705, 129873, ""-""]]"	"[[""NW_026251709.1"", 1099000, 1100168, ""-""]]"	different_assembly_sequences			
F101098	4747214at2759	XP_051411981.1	XP_051418011.1	distinct_annotated_genes	"[""gene-BC939DRAFT_452096""]"	"[""gene-BC939DRAFT_434711""]"	152	152	d6b9bb79c9ad0266ecb521845e82703d932f8a3b3c7cc908838e195e67a3da05	d6b9bb79c9ad0266ecb521845e82703d932f8a3b3c7cc908838e195e67a3da05	True	ncbi_protein_gff	annotated_gene_feature	"[[""NW_026251742.1"", 91096, 92267, ""-""]]"	"[[""NW_026251709.1"", 1099000, 1100168, ""-""]]"	different_assembly_sequences			
F109899	4843824at2759	KIM33099.1	KIM33101.1	distinct_annotated_genes	"[""gene-M408DRAFT_191886""]"	"[""gene-M408DRAFT_326752""]"	224	224	2a5c6e42374743c71441142f97be7779fad10ddb851305fb135b16af8eed0403	2a5c6e42374743c71441142f97be7779fad10ddb851305fb135b16af8eed0403	True	ncbi_protein_gff	annotated_gene_feature	"[[""KN824279.1"", 1217815, 1218898, ""-""]]"	"[[""KN824279.1"", 1220632, 1221784, ""-""]]"	same_sequence_disjoint_intervals	0	1733	True
F109899	4974767at2759	KIM19465.1	KIM29624.1	distinct_annotated_genes	"[""gene-M408DRAFT_334397""]"	"[""gene-M408DRAFT_328839""]"	148	148	a006368ebc456f5212d5fabe3d194bf917ca48b65726327e3bf4fcefc593a673	a006368ebc456f5212d5fabe3d194bf917ca48b65726327e3bf4fcefc593a673	True	ncbi_protein_gff	annotated_gene_feature	"[[""KN824684.1"", 339, 1127, ""+""]]"	"[[""KN824288.1"", 524143, 524931, ""+""]]"	different_assembly_sequences			
F109899	4983000at2759	KIM20011.1	KIM21935.1	distinct_annotated_genes	"[""gene-M408DRAFT_82681""]"	"[""gene-M408DRAFT_79767""]"	520	520	b25a3c79272575e9f18e0adb94938c55d050982594f48d1d43fd8fef953b883b	b25a3c79272575e9f18e0adb94938c55d050982594f48d1d43fd8fef953b883b	True	ncbi_protein_gff	annotated_gene_feature	"[[""KN824490.1"", 3461, 5228, ""+""]]"	"[[""KN824367.1"", 1860, 3627, ""-""]]"	different_assembly_sequences			
F109899	5000476at2759	KIM31669.1	KIM31673.1	distinct_annotated_genes	"[""gene-M408DRAFT_20900""]"	"[""gene-M408DRAFT_327141""]"	412	412	f35d9c7cf4b3d618006f68f734c8654a9dab6b11190cc2922f9516e26f1ee359	f35d9c7cf4b3d618006f68f734c8654a9dab6b11190cc2922f9516e26f1ee359	True	ncbi_protein_gff	annotated_gene_feature	"[[""KN824281.1"", 297971, 299358, ""-""]]"	"[[""KN824281.1"", 306396, 307865, ""-""]]"	same_sequence_disjoint_intervals	0	7037	True
F1130053	2852757at2759	KAI9726843.1	KAI9736029.1	distinct_annotated_genes	"[""gene-M1834_008599""]"	"[""gene-M1834_001495""]"	648	648	be308d06246a6564eff9c9e4ea7330dec20f3d2e3490822f48aa8957a3eb7d55	be308d06246a6564eff9c9e4ea7330dec20f3d2e3490822f48aa8957a3eb7d55	True	ncbi_protein_gff	annotated_gene_feature	"[[""JAPETS010000068.1"", 2141, 4243, ""-""]]"	"[[""JAPETS010000013.1"", 698803, 700905, ""+""]]"	different_assembly_sequences			
F1130053	4747214at2759	KAI9732359.1	KAI9735551.1	distinct_annotated_genes	"[""gene-M1834_004083""]"	"[""gene-M1834_001566""]"	151	151	959163525c0b270af5460ea29ae1c3a36e513c5ee5f76e5ee479bf11b9d25a48	959163525c0b270af5460ea29ae1c3a36e513c5ee5f76e5ee479bf11b9d25a48	True	ncbi_protein_gff	annotated_gene_feature	"[[""JAPETS010000025.1"", 224371, 224981, ""+""]]"	"[[""JAPETS010000014.1"", 224371, 224981, ""+""]]"	different_assembly_sequences			
F1130053	4976279at2759	KAI9732339.1	KAI9735531.1	distinct_annotated_genes	"[""gene-M1834_004063""]"	"[""gene-M1834_001546""]"	572	572	0c83190cb5ac59a198cfc6861b52e993134a5772f882ba41e789ab3b7dbe6a45	0c83190cb5ac59a198cfc6861b52e993134a5772f882ba41e789ab3b7dbe6a45	True	ncbi_protein_gff	annotated_gene_feature	"[[""JAPETS010000025.1"", 163900, 165731, ""-""]]"	"[[""JAPETS010000014.1"", 163900, 165731, ""-""]]"	different_assembly_sequences			
