marker	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
115730at2759	127	127	0	7	120	1.0	1.0	1	1	134	134
129234at2759	264	243	21	33	210	0.9204545454545454	0.9090909090909091	1	1	278	257
160487at2759	106	106	0	2	104	1.0	1.0	1	1	108	108
201273at2759	232	210	22	43	167	0.9051724137931034	0.8835978835978836	1	1	249	226
207567at2759	235	235	0	10	225	1.0	1.0	1	1	255	255
260326at2759	242	239	3	17	222	0.987603305785124	0.9866666666666667	1	1	270	267
2852757at2759	103	101	2	5	96	0.9805825242718447	0.9795918367346939	1	1	103	101
288615at2759	111	111	0	7	104	1.0	1.0	1	1	117	117
319730at2759	119	79	40	3	76	0.6638655462184874	0.6551724137931034	1	1	123	81
340246at2759	97	89	8	5	84	0.9175257731958762	0.9130434782608695	1	1	98	90
345792at2759	149	122	27	11	111	0.8187919463087249	0.8043478260869565	1	1	155	126
352891at2759	196	119	77	7	112	0.6071428571428571	0.5925925925925926	1	1	206	120
3643464at2759	100	100	0	7	93	1.0	1.0	1	1	101	101
4613677at2759	250	231	19	124	107	0.924	0.8492063492063492	1	1	255	236
4695236at2759	107	106	1	3	103	0.9906542056074766	0.9903846153846154	1	1	108	107
4747214at2759	252	220	32	24	196	0.873015873015873	0.8596491228070176	1	1	267	235
4764044at2759	110	110	0	5	105	1.0	1.0	1	1	114	114
4803900at2759	224	197	27	53	144	0.8794642857142857	0.8421052631578947	1	1	231	203
4810093at2759	89	89	0	5	84	1.0	1.0	1	1	89	89
4813267at2759	99	86	13	9	77	0.8686868686868687	0.8555555555555555	1	1	102	89
4823929at2759	119	119	0	10	109	1.0	1.0	1	1	120	120
4837017at2759	246	160	86	16	144	0.6504065040650406	0.6260869565217392	1	1	254	168
4838864at2759	108	99	9	8	91	0.9166666666666666	0.91	1	1	110	101
4843240at2759	108	108	0	17	91	1.0	1.0	1	1	108	108
4843824at2759	230	228	2	30	198	0.991304347826087	0.99	1	1	240	237
4867008at2759	243	210	33	23	187	0.8641975308641975	0.85	1	1	251	218
4888252at2759	102	88	14	9	79	0.8627450980392157	0.8494623655913979	1	1	102	88
4896098at2759	228	180	48	49	131	0.7894736842105263	0.7318435754189944	1	1	230	181
4900375at2759	252	241	11	30	211	0.9563492063492064	0.9504504504504504	1	1	256	245
4908955at2759	141	141	0	11	130	1.0	1.0	1	1	144	144
4911644at2759	102	102	0	2	100	1.0	1.0	1	1	103	103
4940884at2759	97	82	15	22	60	0.845360824742268	0.8	1	1	97	82
4969018at2759	122	118	4	7	111	0.9672131147540983	0.9652173913043478	1	1	126	122
4969636at2759	124	123	1	10	113	0.9919354838709677	0.9912280701754386	1	1	127	126
4969990at2759	126	124	2	6	118	0.9841269841269841	0.9833333333333333	1	1	136	134
4970387at2759	245	239	6	28	211	0.9755102040816327	0.9723502304147466	1	1	248	242
4970538at2759	115	114	1	2	112	0.991304347826087	0.9911504424778761	1	1	119	118
4971272at2759	117	83	34	5	78	0.7094017094017094	0.6964285714285714	1	1	122	85
4974767at2759	235	220	15	86	134	0.9361702127659575	0.8993288590604027	1	1	253	236
4975094at2759	108	101	7	7	94	0.9351851851851852	0.9306930693069307	1	1	111	104
4976279at2759	120	113	7	13	100	0.9416666666666667	0.9345794392523364	1	1	120	113
4977163at2759	251	241	10	23	218	0.9601593625498008	0.956140350877193	1	1	255	245
4977863at2759	106	106	0	7	99	1.0	1.0	1	1	107	107
4983000at2759	114	114	0	7	107	1.0	1.0	1	1	121	121
4985971at2759	127	125	2	9	116	0.984251968503937	0.9830508474576272	1	1	134	132
4986044at2759	115	106	9	45	61	0.9217391304347826	0.8714285714285714	1	1	117	108
