marker	total_taxa_audited	original_marker_columns	eligible_taxa	retained_columns	status	aa_variable_columns	aa_parsimony_informative_columns	3di_variable_columns	3di_parsimony_informative_columns
115730at2759	526	235	119	235	ready_for_inference	191	156	105	79
129234at2759	526	166	124	166	ready_for_inference	142	131	130	106
160487at2759	526	730	84	652	ready_for_inference	452	337	233	168
201273at2759	526	254	114	220	ready_for_inference	171	141	85	67
207567at2759	526	174	121	173	ready_for_inference	159	144	115	97
260326at2759	526	151	135	151	ready_for_inference	147	139	123	115
2852757at2759	526	264	101	264	ready_for_inference	231	203	108	83
288615at2759	526	383	117	383	ready_for_inference	357	318	294	233
319730at2759	526	400	113	400	ready_for_inference	321	289	261	196
340246at2759	526	441	98	418	ready_for_inference	332	310	246	207
345792at2759	526	226	113	226	ready_for_inference	149	127	112	89
352891at2759	526	245	111	239	ready_for_inference	209	192	141	123
3643464at2759	526	517	101	493	ready_for_inference	453	414	322	255
4613677at2759	526	73	98	73	ready_for_inference	69	67	27	22
4695236at2759	526	1059	107	1028	ready_for_inference	887	822	741	650
4747214at2759	526	114	119	114	ready_for_inference	104	99	91	86
4764044at2759	526	391	112	375	ready_for_inference	328	302	259	215
4803900at2759	526	106	94	105	ready_for_inference	98	92	58	45
4810093at2759	526	667	88	667	ready_for_inference	626	589	493	419
4813267at2759	526	578	102	475	ready_for_inference	428	411	337	289
4823929at2759	526	420	108	419	ready_for_inference	404	383	366	332
4837017at2759	526	205	108	205	ready_for_inference	199	191	165	150
4838864at2759	526	458	110	441	ready_for_inference	394	362	313	253
4843240at2759	526	315	105	311	ready_for_inference	291	273	235	207
4843824at2759	526	197	111	194	ready_for_inference	178	170	136	115
4867008at2759	526	177	117	177	ready_for_inference	167	151	150	134
4888252at2759	526	830	102	789	ready_for_inference	741	657	576	467
4896098at2759	526	157	114	145	ready_for_inference	108	102	76	56
4900375at2759	526	169	114	169	ready_for_inference	166	157	138	119
4908955at2759	526	318	117	304	ready_for_inference	267	249	237	183
4911644at2759	526	744	103	727	ready_for_inference	622	569	395	327
4940884at2759	526	469	97	436	ready_for_inference	364	337	304	254
4969018at2759	526	374	118	370	ready_for_inference	257	181	204	144
4969636at2759	526	295	114	295	ready_for_inference	223	207	212	156
4969990at2759	526	346	127	337	ready_for_inference	286	262	173	139
4970387at2759	526	136	111	134	ready_for_inference	127	118	54	35
4970538at2759	526	900	119	891	ready_for_inference	867	835	776	654
4971272at2759	526	375	116	374	ready_for_inference	340	310	160	139
4974767at2759	526	134	109	134	ready_for_inference	109	95	82	71
4975094at2759	526	852	111	747	ready_for_inference	667	614	492	429
4976279at2759	526	228	109	228	ready_for_inference	194	184	188	165
4977163at2759	526	141	107	141	ready_for_inference	132	128	110	102
4977863at2759	526	288	107	288	ready_for_inference	273	255	239	206
4983000at2759	526	453	120	453	ready_for_inference	446	420	355	304
4985971at2759	526	281	118	278	ready_for_inference	238	197	166	126
4986044at2759	526	313	116	309	ready_for_inference	293	261	203	165
4987397at2759	526	681	108	613	ready_for_inference	436	391	317	259
4988239at2759	526	893	107	798	ready_for_inference	594	489	378	279
4999134at2759	526	2295	2	2089	insufficient_structural_coverage	663	0	354	0
5000045at2759	526	301	116	300	ready_for_inference	263	233	127	104
5000152at2759	526	1184	109	1184	ready_for_inference	1140	1070	986	822
5000362at2759	526	672	113	654	ready_for_inference	622	590	382	299
5000371at2759	526	429	102	425	ready_for_inference	397	373	381	336
5000452at2759	526	292	107	292	ready_for_inference	290	286	241	212
5000476at2759	526	306	119	306	ready_for_inference	274	251	154	126
5000743at2759	526	166	113	165	ready_for_inference	153	141	140	131
5000823at2759	526	802	114	720	ready_for_inference	665	602	344	257
5000870at2759	526	707	114	642	ready_for_inference	475	389	257	184
5000986at2759	526	404	102	391	ready_for_inference	372	361	324	299
5001156at2759	526	229	106	229	ready_for_inference	206	190	169	153
5001273at2759	526	229	114	213	ready_for_inference	194	183	129	107
5001280at2759	526	754	111	649	ready_for_inference	595	521	489	376
5001318at2759	526	310	97	267	ready_for_inference	219	186	190	161
5001413at2759	526	251	118	251	ready_for_inference	209	193	182	154
5001473at2759	526	81	119	81	ready_for_inference	55	43	46	32
5001660at2759	526	636	113	614	ready_for_inference	490	445	267	197
5001734at2759	526	177	107	175	ready_for_inference	149	133	99	69
5001941at2759	526	568	103	544	ready_for_inference	506	456	367	305
5002334at2759	526	227	105	227	ready_for_inference	194	180	170	137
5002573at2759	526	357	105	351	ready_for_inference	340	321	285	235
5003022at2759	526	776	108	738	ready_for_inference	615	540	369	284
5003192at2759	526	399	110	383	ready_for_inference	334	310	302	258
5003205at2759	526	1015	5	945	ready_for_inference	666	98	436	115
5003856at2759	526	219	111	214	ready_for_inference	190	170	153	118
5003972at2759	526	205	103	205	ready_for_inference	160	137	164	134
5004118at2759	526	134	111	132	ready_for_inference	117	108	60	49
5004265at2759	526	219	111	185	ready_for_inference	161	136	97	79
5004327at2759	526	697	96	689	ready_for_inference	656	629	508	452
5004391at2759	526	865	94	742	ready_for_inference	536	430	340	265
5004478at2759	526	299	113	286	ready_for_inference	250	222	163	137
5004599at2759	526	382	114	382	ready_for_inference	306	270	264	210
5005010at2759	526	92	125	92	ready_for_inference	91	88	33	21
5005174at2759	526	169	120	169	ready_for_inference	160	151	115	90
5005196at2759	526	371	113	371	ready_for_inference	341	320	242	215
5005215at2759	526	243	107	243	ready_for_inference	196	178	130	111
5005217at2759	526	361	113	361	ready_for_inference	337	311	325	278
5005274at2759	526	233	111	197	ready_for_inference	169	150	73	49
5005697at2759	526	243	111	238	ready_for_inference	209	195	177	151
5005750at2759	526	107	119	96	ready_for_inference	86	78	65	55
5005892at2759	526	302	107	282	ready_for_inference	236	205	189	156
5006326at2759	526	539	108	537	ready_for_inference	466	429	351	285
5006412at2759	526	168	101	168	ready_for_inference	154	147	77	66
5011777at2759	526	656	100	545	ready_for_inference	479	406	383	280
5013042at2759	526	333	103	333	ready_for_inference	318	290	213	169
5013067at2759	526	323	124	310	ready_for_inference	271	254	236	202
5013259at2759	526	144	115	143	ready_for_inference	130	118	85	70
5013539at2759	526	224	113	224	ready_for_inference	212	181	164	117
5013726at2759	526	171	118	169	ready_for_inference	156	145	80	60
5013738at2759	526	170	125	170	ready_for_inference	153	147	92	67
5013992at2759	526	786	101	711	ready_for_inference	640	533	417	277
5014007at2759	526	521	99	511	ready_for_inference	469	422	378	304
5015403at2759	526	314	110	314	ready_for_inference	259	237	222	196
5015647at2759	526	525	107	459	ready_for_inference	303	239	233	171
5015712at2759	526	485	105	461	ready_for_inference	420	379	313	252
5015742at2759	526	419	110	405	ready_for_inference	373	349	300	260
5015876at2759	526	325	114	325	ready_for_inference	300	280	260	210
5017019at2759	526	140	113	140	ready_for_inference	134	127	121	106
5018803at2759	526	408	103	397	ready_for_inference	358	320	286	235
529759at2759	526	226	132	222	ready_for_inference	162	125	116	98
530014at2759	526	776	112	776	ready_for_inference	702	640	482	390
530740at2759	526	304	91	222	ready_for_inference	186	150	110	83
538728at2759	526	279	112	250	ready_for_inference	224	198	167	140
538952at2759	526	266	103	250	ready_for_inference	188	164	176	142
539632at2759	526	257	123	257	ready_for_inference	218	181	132	104
540946at2759	526	403	104	403	ready_for_inference	359	338	304	251
541070at2759	526	222	111	222	ready_for_inference	193	173	176	156
554735at2759	526	231	113	231	ready_for_inference	202	178	152	126
649304at2759	526	293	110	293	ready_for_inference	240	218	204	169
707076at2759	526	239	117	233	ready_for_inference	191	162	149	118
707202at2759	526	326	116	324	ready_for_inference	304	292	250	222
727964at2759	526	241	108	241	ready_for_inference	196	175	180	123
730114at2759	526	530	110	530	ready_for_inference	443	413	425	357
760428at2759	526	338	114	338	ready_for_inference	316	311	312	285
776280at2759	526	261	106	261	ready_for_inference	233	210	237	204
801816at2759	526	153	111	150	ready_for_inference	120	107	88	74
