source	policy	marker	original_eligible_taxa	retained_eligible_taxa	passes_four_taxon_gate
AlphaFold	full_frozen_panel	115730at2759	119	119	True
AlphaFold	full_frozen_panel	129234at2759	124	124	True
AlphaFold	full_frozen_panel	160487at2759	84	84	True
AlphaFold	full_frozen_panel	201273at2759	114	114	True
AlphaFold	full_frozen_panel	207567at2759	121	121	True
AlphaFold	full_frozen_panel	260326at2759	135	135	True
AlphaFold	full_frozen_panel	2852757at2759	101	101	True
AlphaFold	full_frozen_panel	288615at2759	117	117	True
AlphaFold	full_frozen_panel	319730at2759	113	113	True
AlphaFold	full_frozen_panel	340246at2759	98	98	True
AlphaFold	full_frozen_panel	345792at2759	113	113	True
AlphaFold	full_frozen_panel	352891at2759	111	111	True
AlphaFold	full_frozen_panel	3643464at2759	101	101	True
AlphaFold	full_frozen_panel	4613677at2759	98	98	True
AlphaFold	full_frozen_panel	4695236at2759	107	107	True
AlphaFold	full_frozen_panel	4747214at2759	119	119	True
AlphaFold	full_frozen_panel	4764044at2759	112	112	True
AlphaFold	full_frozen_panel	4803900at2759	94	94	True
AlphaFold	full_frozen_panel	4810093at2759	88	88	True
AlphaFold	full_frozen_panel	4813267at2759	102	102	True
AlphaFold	full_frozen_panel	4823929at2759	108	108	True
AlphaFold	full_frozen_panel	4837017at2759	108	108	True
AlphaFold	full_frozen_panel	4838864at2759	110	110	True
AlphaFold	full_frozen_panel	4843240at2759	105	105	True
AlphaFold	full_frozen_panel	4843824at2759	111	111	True
AlphaFold	full_frozen_panel	4867008at2759	117	117	True
AlphaFold	full_frozen_panel	4888252at2759	102	102	True
AlphaFold	full_frozen_panel	4896098at2759	114	114	True
AlphaFold	full_frozen_panel	4900375at2759	114	114	True
AlphaFold	full_frozen_panel	4908955at2759	117	117	True
AlphaFold	full_frozen_panel	4911644at2759	103	103	True
AlphaFold	full_frozen_panel	4940884at2759	97	97	True
AlphaFold	full_frozen_panel	4969018at2759	118	118	True
AlphaFold	full_frozen_panel	4969636at2759	114	114	True
AlphaFold	full_frozen_panel	4969990at2759	127	127	True
AlphaFold	full_frozen_panel	4970387at2759	111	111	True
AlphaFold	full_frozen_panel	4970538at2759	119	119	True
AlphaFold	full_frozen_panel	4971272at2759	116	116	True
AlphaFold	full_frozen_panel	4974767at2759	109	109	True
AlphaFold	full_frozen_panel	4975094at2759	111	111	True
AlphaFold	full_frozen_panel	4976279at2759	109	109	True
AlphaFold	full_frozen_panel	4977163at2759	107	107	True
AlphaFold	full_frozen_panel	4977863at2759	107	107	True
AlphaFold	full_frozen_panel	4983000at2759	120	120	True
AlphaFold	full_frozen_panel	4985971at2759	118	118	True
AlphaFold	full_frozen_panel	4986044at2759	116	116	True
