marker	taxa	profile_columns	mafft_columns	profile_retained_residues	mafft_retained_residues	common_retained_residues	profile_edges_on_common_residues	mafft_edges_on_common_residues	shared_edges	edge_jaccard	fraction_profile_edges_shared	fraction_mafft_edges_shared
115730at2759	481	235	339	111703	154845	110839	26127464	25838841	25668041	0.9760355664541203	0.9824160890624517	0.9933897963921834
129234at2759	472	166	193	74416	86864	73230	16301193	15973571	15796118	0.9585810630315136	0.9690160714004183	0.9888908372460986
160487at2759	487	730	892	351643	421614	349614	83668910	82054378	81301904	0.9630486986567289	0.9717098501701528	0.9908295691425508
201273at2759	478	254	260	120106	123007	119605	28137581	28024100	27733655	0.9755744208197924	0.9856446081843354	0.9896358848277018
207567at2759	478	174	180	82255	85271	81655	19174521	19027125	18954058	0.9847497774786119	0.9885022942685243	0.9961598507394049
260326at2759	488	151	170	72217	80796	71822	17074808	16700679	16488416	0.9538004442742208	0.9656574762070531	0.987290157484016
2852757at2759	477	264	502	125127	227409	124697	29404287	29084667	28990588	0.9827862329730399	0.9859306569820925	0.9967653403080049
288615at2759	504	383	673	188386	314539	186237	45481670	43414880	42497075	0.9158956001118547	0.9343780692309671	0.9788596674688493
319730at2759	491	400	452	193661	216066	192603	46310652	45270256	44426615	0.94215419580143	0.9593174157858974	0.9813643421852971
340246at2759	468	441	727	205256	310060	204401	47366455	46795284	46495133	0.9754236120776042	0.981604660935677	0.9935858707471462
345792at2759	482	226	306	107618	137391	107426	25514234	25318657	25299523	0.9908415920688567	0.9915846581951079	0.9992442727116213
352891at2759	472	245	252	114500	117257	113281	26257494	26125266	25892952	0.9774684663626101	0.9861166492126019	0.991107688626022
3643464at2759	462	517	789	229957	332280	224979	49564306	48586422	47844431	0.9510624683824372	0.9653001294923811	0.9847284288602277
4613677at2759	478	73	131	33763	55837	32943	7516398	7422465	7070173	0.8985197027713635	0.9406331330512301	0.9525370614748604
4695236at2759	486	1059	1091	493375	509778	483373	110962226	110775137	106854934	0.9301242577313542	0.9629847728541423	0.9646111654097976
4747214at2759	480	114	145	52306	65550	51609	11715981	11298627	11147446	0.9393523068110134	0.951473547114834	0.9866195246555178
4764044at2759	475	391	524	180435	232598	178544	40868718	39034757	38459875	0.9280051684699205	0.9410590026337503	0.9852725610665387
4803900at2759	418	106	123	43789	50126	43712	9006791	8856189	8681815	0.9456114774105465	0.963918780839924	0.9803104924702939
4810093at2759	452	667	804	286398	342183	279488	58981805	56763536	54248985	0.8821495862291417	0.9197579660371533	0.9557012973962722
4813267at2759	486	578	933	270746	396279	259941	59259252	56427885	53057437	0.8471609635684029	0.895344359054684	0.9402698151809163
4823929at2759	492	420	443	196017	204058	187149	42363973	42101549	40054181	0.9018908255888963	0.9454774461309378	0.9513707203504556
4837017at2759	489	205	232	98633	109107	97751	23311977	22969036	22465972	0.9433522285348994	0.9637094271326709	0.9780981665926249
4838864at2759	486	458	672	212270	297667	208762	48170135	46735992	45933597	0.9379461710473198	0.9535700284003771	0.9828313262292582
4843240at2759	476	315	705	140854	289866	136846	29949032	28925394	27926596	0.9023765478872025	0.9324707389541004	0.9654698566940869
4843824at2759	432	197	200	82618	82332	79640	16406160	16304164	15816623	0.9362438106368758	0.9640661190674722	0.9700971481886468
4867008at2759	476	177	184	80635	83626	78529	17642354	17480838	17057254	0.9441665304065585	0.9668354914542583	0.9757686673831083
4888252at2759	471	830	956	370493	419038	358039	78243025	75939788	73114530	0.9018882267433739	0.9344542852222291	0.9627960773343218
4896098at2759	463	157	209	71350	90382	70716	15962630	15889474	15810865	0.9856386405065095	0.9904924815021083	0.9950527626024624
4900375at2759	496	169	213	76572	96490	73965	16356707	15691843	15105241	0.8915165862819359	0.9234891228411685	0.9626173929983878
4908955at2759	499	318	329	148376	154973	142405	32679151	32677735	30601777	0.8804972241635035	0.9364312126713451	0.9364717903489945
4911644at2759	479	744	974	352684	444266	349060	82033027	80234938	79334210	0.9565973468824606	0.9671008482961381	0.9887738680623147
4940884at2759	460	469	964	213648	391747	212950	48385143	47911307	47715624	0.9821904633733481	0.9861627152781175	0.9959157240273158
4969018at2759	488	374	477	180013	219237	179782	43180142	43025604	42957603	0.9932820236929016	0.9948462652114484	0.9984195224778251
4969636at2759	480	295	424	140245	191144	139423	32913378	32362626	32227431	0.9751534809082377	0.9791590215990592	0.9958224959865741
4969990at2759	483	346	352	165162	167742	164311	38991500	38915528	38584832	0.9812481479925486	0.989570342254081	0.991502209606407
4970387at2759	444	136	156	59146	65990	58424	12608924	12445780	12235081	0.9544025592640283	0.9703509197136885	0.9830706472394659
4970538at2759	485	900	966	426347	453171	419263	97952794	96223445	92534801	0.9104042880621189	0.9446877135531223	0.9616658497313206
4971272at2759	473	375	448	174431	207677	173039	39905415	39113171	38848054	0.9670784046375089	0.9735033202887378	0.9932217973326684
4974767at2759	465	134	147	59735	66073	59439	13213883	13118781	12944922	0.9669234737269362	0.9796455742797178	0.9867473205018058
4975094at2759	477	852	1020	400508	467684	395108	91751238	87744726	84054762	0.8806968084915778	0.9161158348620866	0.9579466006880003
4976279at2759	464	228	443	103028	183671	101882	22855713	22334791	22148335	0.9612087733580984	0.9690502764013531	0.9916517687584361
4977163at2759	470	141	193	59135	84561	57993	11997963	11661925	11349535	0.9219504103578509	0.9459551592216112	0.973212827213346
