marker	status	columns	baseline_retained	candidates_retained	candidates_excluded	minimum_observed_residues	input_sha256
345792at2759	ready_for_exploratory_copy_tree	226	482	2	0	68	7b553e93e8e759a6dcbfb28978a72e394a0d8bbf2af4e906c2e67f76b8bb7079
4764044at2759	ready_for_exploratory_copy_tree	391	475	1	0	118	428aede606b3ed3971cd873052d524c0bade21e3aaed90e2f9e296796e8199c9
4803900at2759	ready_for_exploratory_copy_tree	106	418	1	0	50	8a19d6a17edaa36f368bc6c1fd485ff3f78ce0318421a42a2afa2be61b254886
4813267at2759	ready_for_exploratory_copy_tree	578	485	1	0	174	02392553b462d7121620087c6425cb79bca8d0226a8d1ca0d16e8cb4367edacb
4823929at2759	ready_for_exploratory_copy_tree	420	492	1	0	126	28f471e40022eba0f6eec147ac0b3715b5c33fb6f659469d607cbe3ae961d1e9
4838864at2759	ready_for_exploratory_copy_tree	458	486	1	0	138	653154a611b735fbf61afd986ed066cd2154f0dfacd34a638a9c8c778422b12d
4867008at2759	ready_for_exploratory_copy_tree	177	476	1	0	54	4779347dacec6dcab2e0895b968edb3c1cae8ea418456d30fde91c124732b1c7
4908955at2759	ready_for_exploratory_copy_tree	318	499	2	0	96	fd694f9d226dbc4017256eb9b0059c9d3a27ec7c5bd54ede2289201d09d4295f
4911644at2759	ready_for_exploratory_copy_tree	744	479	1	0	224	eb6906d8da0e414ef1e8a5993485f80869c7ad5cb889272d993eeaec56658fee
4970538at2759	ready_for_exploratory_copy_tree	900	483	2	0	270	c829fcf5cebccb7ec32905c944da25b77c5834e5a22a88a9ab62b8ccdc2b65d0
4976279at2759	ready_for_exploratory_copy_tree	228	464	1	0	69	b87da40f90301b66179995d38f7057cdfe83ee35a1e9e0c655a570e6b3ab913c
5000371at2759	ready_for_exploratory_copy_tree	429	465	1	0	129	f4a49bc7e66a70545658727f78e7deb0bf0e4555f52085f7032e6b00d94676fb
5001273at2759	ready_for_exploratory_copy_tree	229	453	1	0	69	f26cdedab45066a5c942b7c71c5bdc29d7a8baa1b0aeebb9095c2b33b669dab1
5001318at2759	ready_for_exploratory_copy_tree	310	452	1	0	93	aa181e60fd7c28882cdb72613db1c1c964d2016fe98dea3629b37cbbb4372696
5001413at2759	ready_for_exploratory_copy_tree	251	491	1	0	76	be55797e65abc4f0fe36ea96f6136dd7e17334f0c4b69e1987424759146be89c
5001473at2759	ready_for_exploratory_copy_tree	81	485	1	0	50	eca4b17edd3bf75157d3bc4ef50726227977010da1cc2f4495983cc78336eb9a
5002573at2759	ready_for_exploratory_copy_tree	357	480	1	0	108	97138402465823a3ffd4c251003f86c270b3d75e2dd069b0177def0b96789680
5003856at2759	ready_for_exploratory_copy_tree	219	489	1	1	66	e46b8f43333b065ba92a5c41a671e92723ae8629031dcba80c0eff7620a63a74
5003972at2759	ready_for_exploratory_copy_tree	205	481	1	0	62	f2363221aad0bcea34412698b70f92c920c7a5748bca589aa5a021b7911a50a7
5004118at2759	ready_for_exploratory_copy_tree	134	481	1	0	50	f6e7e1aa7d96640da58b05a9cf117d43a6631a829eef9015d7d117c2d610782f
5005010at2759	ready_for_exploratory_copy_tree	92	473	1	0	50	d4c8cb2d50462b867e5eda52f8c3e263317b1e70a7fdf0b732c47c170b1a922b
5005215at2759	ready_for_exploratory_copy_tree	243	491	1	0	73	b8a0b0581448b92637051fd6827fbb6c6156342b64a188a9a02f2d4858201bb6
5005274at2759	ready_for_exploratory_copy_tree	233	482	1	0	70	fdd8da1bad6cea8adb906cc78199cb08a245138423b95b195a9c29b0e39e49eb
5005697at2759	ready_for_exploratory_copy_tree	243	504	1	0	73	0096f1ed71305e80c18a8b9e795e44d97ddd91c0f956756cad81d51cdb70faf6
5006326at2759	ready_for_exploratory_copy_tree	539	486	2	0	162	46d89e072538142d43aa02f55b71d1dfd4ffd9fa28d4bc0d1cff27529ac40a30
5011777at2759	ready_for_exploratory_copy_tree	656	496	1	2	197	ffc198412d3e78d80c25e2126a72d0690e43758910502a1269282f2947beb396
5013259at2759	ready_for_exploratory_copy_tree	144	500	1	0	50	99ae7e5e925a8370092496551c8ef1bed3ab2a6cdfd8a53286c62fcc59ceebed
5013726at2759	ready_for_exploratory_copy_tree	171	475	1	0	52	ca4d8e377dbd46623a9cb24d838796dd01e1db6343256597e2c6a08c53056010
5014007at2759	ready_for_exploratory_copy_tree	521	474	1	0	157	73c436bec2a6078aa1c03a63e6be255616cfce30e07825622f7e8ca3723996d6
5015742at2759	ready_for_exploratory_copy_tree	419	466	1	0	126	b3baf7b476d56a3944e7fcaf4ec2b3f8e0aaeaba9e328202e487606f8efa655f
5015876at2759	ready_for_exploratory_copy_tree	325	497	1	0	98	d7e09aa6575f493d8488085bbce1a2f91b982166e4721b660f9910ef0c349bb5
760428at2759	ready_for_exploratory_copy_tree	338	481	2	0	102	7fba443e2a895ff3ab6773c6a1e7bb74fa55abc2cc6a76871d95c4303596b040
776280at2759	ready_for_exploratory_copy_tree	261	501	1	0	79	5580950708df8c29533ca1200039d5ba82967e4fc9c9107d5b9b5030c35b20ca
