dataset	marker	taxon_id	protein_id	fcs_actions	exact_structure_link_present	present_in_ready_paired_alignment	model_id
esmfold_earlier	129234at2759	F610337	KAJ9108408.1	EXCLUDE	True	True	ESM-Sf7c9e02bbdcbe8396247cfaa81f734782d4041f4f9f6e3d6b0af460bc6a12996-d662a12b8ced
esmfold_earlier	207567at2759	F27376	CAG8521453.1	EXCLUDE	False	False	
esmfold_earlier	260326at2759	F610337	KAJ9108417.1	EXCLUDE	True	True	ESM-S5d91a4192424bd0450eb3d6e37b8c5b4d92e38830d43410bdb6f812f30b9216b-d662a12b8ced
esmfold_earlier	340246at2759	F610337	KAJ9106613.1	EXCLUDE	False	False	
esmfold_earlier	345792at2759	F27376	CAG8561170.1	EXCLUDE	False	False	
esmfold_earlier	345792at2759	F610337	KAJ9101333.1	EXCLUDE	True	True	ESM-S7213bdd62dd0e0118361ac3916da6dc2a1cff7f789db097c1a748d09a138b6b3-d662a12b8ced
esmfold_earlier	4613677at2759	F610337	KAJ9103491.1	EXCLUDE	True	True	ESM-Sa63ac720a48c30cbd5c27af41ef2c844b414f07bf66258640ad94b05754543dd-d662a12b8ced
esmfold_earlier	4747214at2759	F610337	KAJ9113391.1	EXCLUDE	True	False	ESM-Scf7f91d33e79be3694c9987b39fba9980fdf50c7e6fa6cb18d25c1dd6c00111e-d662a12b8ced
esmfold_earlier	4764044at2759	F610337	KAJ9100180.1	EXCLUDE	False	False	
esmfold_earlier	4803900at2759	F610337	KAJ9100835.1	EXCLUDE	True	True	ESM-S4bcf388c577860791f5b7fc66c3deb6c55a80d724ef0831c0ffae36ccda1a05c-d662a12b8ced
esmfold_earlier	4810093at2759	F610337	KAJ9093640.1	EXCLUDE	False	False	
esmfold_earlier	4813267at2759	F27376	CAG8686416.1	EXCLUDE	False	False	
esmfold_earlier	4823929at2759	F610337	KAJ9099655.1	EXCLUDE	False	False	
esmfold_earlier	4838864at2759	F610337	KAJ9103533.1	EXCLUDE	False	False	
esmfold_earlier	4867008at2759	F610337	KAJ9102150.1	EXCLUDE	True	True	ESM-S83084fc4f18c3ad772ba44982888a3ace4a9bcbe73f7767c42a72554ad725275-d662a12b8ced
esmfold_earlier	4896098at2759	F610337	KAJ9112000.1	EXCLUDE	True	True	ESM-Sb20eb164cdaae8599b4a0b1d672dd5a53f868d9292f60e68b988778e703395c9-d662a12b8ced
esmfold_earlier	4908955at2759	F610337	KAJ9109651.1	EXCLUDE	False	False	
esmfold_earlier	4911644at2759	F610337	KAJ9103416.1	EXCLUDE	False	False	
esmfold_earlier	4970538at2759	F27376	CAG8598816.1	EXCLUDE	False	False	
esmfold_earlier	4970538at2759	F610337	KAJ9101597.1	EXCLUDE	False	False	
esmfold_earlier	4976279at2759	F610337	KAJ9101352.1	EXCLUDE	False	False	
esmfold_earlier	4999134at2759	O400682	XP_003387129.1	REVIEW	False	False	
esmfold_earlier	5000371at2759	F610337	KAJ9093989.1	EXCLUDE	False	False	
esmfold_earlier	5000452at2759	F610337	KAJ9103443.1	EXCLUDE	True	True	ESM-Sa7f0801133773e44e57b7da495558615e7ea0b659b3939bb2557468e07b6ce0a-d662a12b8ced
esmfold_earlier	5000743at2759	F610337	KAJ9101344.1	EXCLUDE	True	True	ESM-Se2f47fc82e703c9060b6c9b129c9d1789affe05322d7702dbac4ea711b738465-d662a12b8ced
esmfold_earlier	5000870at2759	F610337	KAJ9097970.1	EXCLUDE	False	False	
esmfold_earlier	5001273at2759	F27376	CAG8562009.1	EXCLUDE	False	False	
esmfold_earlier	5001318at2759	F610337	KAJ9100793.1	EXCLUDE	False	False	
esmfold_earlier	5001413at2759	F610337	KAJ9096669.1	EXCLUDE	True	True	ESM-S51a4963bcded76ecfe678082928bcdb6087d7345affb9d5491ab633f013b2fe0-d662a12b8ced
esmfold_earlier	5001473at2759	F610337	KAJ9101290.1	EXCLUDE	True	True	ESM-S2a361b02e7b08b80de3a133f4cd2611ec05ee6edaabd1b916f644355e382b5e7-d662a12b8ced
esmfold_earlier	5002573at2759	F610337	KAJ9113374.1	EXCLUDE	False	False	
esmfold_earlier	5003856at2759	F27376	CAG8523324.1	EXCLUDE	False	False	
esmfold_earlier	5003856at2759	F610337	KAJ9105684.1	EXCLUDE	False	False	
esmfold_earlier	5003972at2759	F610337	KAJ9099438.1	EXCLUDE	True	True	ESM-S9ddc94bbac17c360b296c0f8c8565944a9735594d2664fd6436a4798685f3605-d662a12b8ced
esmfold_earlier	5004118at2759	F610337	KAJ9095121.1	EXCLUDE	True	True	ESM-S0bb01bd56ef5475322bc9428a801fed9e45fb1d504cf51bc432f00f2dabdb3bb-d662a12b8ced
esmfold_earlier	5005010at2759	F610337	KAJ9093008.1	EXCLUDE	True	True	ESM-S0d8baa38bade08fb2ea25b30d912dec3dff6f30b5fe5bdc755062c614c324391-d662a12b8ced
esmfold_earlier	5005196at2759	F610337	KAJ9099659.1	EXCLUDE	False	False	
esmfold_earlier	5005215at2759	F610337	KAJ9104903.1	EXCLUDE	False	False	
esmfold_earlier	5005274at2759	F610337	KAJ9095890.1	EXCLUDE	False	False	
esmfold_earlier	5005697at2759	F610337	KAJ9101430.1	EXCLUDE	False	False	
esmfold_earlier	5005892at2759	F610337	KAJ9113323.1	EXCLUDE	False	False	
esmfold_earlier	5006326at2759	F27376	CAG8475227.1	EXCLUDE	False	False	
esmfold_earlier	5006326at2759	F610337	KAJ9095863.1	EXCLUDE	False	False	
esmfold_earlier	5011777at2759	F610337	KAJ9109395.1	EXCLUDE	False	False	
esmfold_earlier	5013259at2759	F610337	KAJ9104885.1	EXCLUDE	True	True	ESM-S4797907a3aa6487b6a41c95dc0b76875341bc785d2dc425665a852c8a2ef294d-d662a12b8ced
esmfold_earlier	5013726at2759	F610337	KAJ9098415.1	EXCLUDE	True	True	ESM-S23e7316be222644001c58e1421f8aec1549957eaa564fe0b932cff8b44dc4541-d662a12b8ced
esmfold_earlier	5014007at2759	F610337	KAJ9102108.1	EXCLUDE	False	False	
esmfold_earlier	5015742at2759	F27376	CAG8681694.1	EXCLUDE	False	False	
esmfold_earlier	5015876at2759	F610337	KAJ9103434.1	EXCLUDE	False	False	
esmfold_earlier	540946at2759	F27376	CAG8523990.1	EXCLUDE	False	False	
esmfold_earlier	540946at2759	F610337	KAJ9095431.1	EXCLUDE	False	False	
esmfold_earlier	727964at2759	F610337	KAJ9093270.1	EXCLUDE	False	False	
esmfold_earlier	760428at2759	F610337	KAJ9105671.1	EXCLUDE	False	False	
esmfold_earlier	776280at2759	F610337	KAJ9106482.1	EXCLUDE	False	False	
esmfold_combined	129234at2759	F610337	KAJ9108408.1	EXCLUDE	True	True	ESM-Sf7c9e02bbdcbe8396247cfaa81f734782d4041f4f9f6e3d6b0af460bc6a12996-d662a12b8ced
esmfold_combined	207567at2759	F27376	CAG8521453.1	EXCLUDE	True	False	ESM-S36ce6a6b26091785f11e6b46464949a4cffa8cb50ec75064ee6d402ec23cb2a6-63884b870ac4
esmfold_combined	260326at2759	F610337	KAJ9108417.1	EXCLUDE	True	True	ESM-S5d91a4192424bd0450eb3d6e37b8c5b4d92e38830d43410bdb6f812f30b9216b-d662a12b8ced
esmfold_combined	340246at2759	F610337	KAJ9106613.1	EXCLUDE	False	False	
esmfold_combined	345792at2759	F27376	CAG8561170.1	EXCLUDE	True	True	ESM-S457f7c49664fa718f46c4d16dcdbb821eae8c3909152dba64de2e185af04cf1b-63884b870ac4
esmfold_combined	345792at2759	F610337	KAJ9101333.1	EXCLUDE	True	True	ESM-S7213bdd62dd0e0118361ac3916da6dc2a1cff7f789db097c1a748d09a138b6b3-d662a12b8ced
esmfold_combined	4613677at2759	F610337	KAJ9103491.1	EXCLUDE	True	True	ESM-Sa63ac720a48c30cbd5c27af41ef2c844b414f07bf66258640ad94b05754543dd-d662a12b8ced
esmfold_combined	4747214at2759	F610337	KAJ9113391.1	EXCLUDE	True	False	ESM-Scf7f91d33e79be3694c9987b39fba9980fdf50c7e6fa6cb18d25c1dd6c00111e-d662a12b8ced
esmfold_combined	4764044at2759	F610337	KAJ9100180.1	EXCLUDE	False	False	
esmfold_combined	4803900at2759	F610337	KAJ9100835.1	EXCLUDE	True	True	ESM-S4bcf388c577860791f5b7fc66c3deb6c55a80d724ef0831c0ffae36ccda1a05c-d662a12b8ced
esmfold_combined	4810093at2759	F610337	KAJ9093640.1	EXCLUDE	False	False	
esmfold_combined	4813267at2759	F27376	CAG8686416.1	EXCLUDE	False	False	
esmfold_combined	4823929at2759	F610337	KAJ9099655.1	EXCLUDE	False	False	
esmfold_combined	4838864at2759	F610337	KAJ9103533.1	EXCLUDE	False	False	
esmfold_combined	4867008at2759	F610337	KAJ9102150.1	EXCLUDE	True	True	ESM-S83084fc4f18c3ad772ba44982888a3ace4a9bcbe73f7767c42a72554ad725275-d662a12b8ced
esmfold_combined	4896098at2759	F610337	KAJ9112000.1	EXCLUDE	True	True	ESM-Sb20eb164cdaae8599b4a0b1d672dd5a53f868d9292f60e68b988778e703395c9-d662a12b8ced
esmfold_combined	4908955at2759	F610337	KAJ9109651.1	EXCLUDE	False	False	
esmfold_combined	4911644at2759	F610337	KAJ9103416.1	EXCLUDE	False	False	
esmfold_combined	4970538at2759	F27376	CAG8598816.1	EXCLUDE	False	False	
esmfold_combined	4970538at2759	F610337	KAJ9101597.1	EXCLUDE	False	False	
esmfold_combined	4976279at2759	F610337	KAJ9101352.1	EXCLUDE	False	False	
esmfold_combined	4999134at2759	O400682	XP_003387129.1	REVIEW	False	False	
esmfold_combined	5000371at2759	F610337	KAJ9093989.1	EXCLUDE	False	False	
esmfold_combined	5000452at2759	F610337	KAJ9103443.1	EXCLUDE	True	True	ESM-Sa7f0801133773e44e57b7da495558615e7ea0b659b3939bb2557468e07b6ce0a-d662a12b8ced
esmfold_combined	5000743at2759	F610337	KAJ9101344.1	EXCLUDE	True	True	ESM-Se2f47fc82e703c9060b6c9b129c9d1789affe05322d7702dbac4ea711b738465-d662a12b8ced
esmfold_combined	5000870at2759	F610337	KAJ9097970.1	EXCLUDE	False	False	
esmfold_combined	5001273at2759	F27376	CAG8562009.1	EXCLUDE	True	True	ESM-S570ae2dc73e59f6f97a6423f9d3ab7507560983caa5f873055514d03dac0da1f-63884b870ac4
esmfold_combined	5001318at2759	F610337	KAJ9100793.1	EXCLUDE	False	False	
esmfold_combined	5001413at2759	F610337	KAJ9096669.1	EXCLUDE	True	True	ESM-S51a4963bcded76ecfe678082928bcdb6087d7345affb9d5491ab633f013b2fe0-d662a12b8ced
esmfold_combined	5001473at2759	F610337	KAJ9101290.1	EXCLUDE	True	True	ESM-S2a361b02e7b08b80de3a133f4cd2611ec05ee6edaabd1b916f644355e382b5e7-d662a12b8ced
esmfold_combined	5002573at2759	F610337	KAJ9113374.1	EXCLUDE	False	False	
esmfold_combined	5003856at2759	F27376	CAG8523324.1	EXCLUDE	True	True	ESM-Sdcf75d83fceba1388158293e7dc3ca37474b5b7a72c2f053f1fb3595d03fbe82-63884b870ac4
esmfold_combined	5003856at2759	F610337	KAJ9105684.1	EXCLUDE	False	False	
esmfold_combined	5003972at2759	F610337	KAJ9099438.1	EXCLUDE	True	True	ESM-S9ddc94bbac17c360b296c0f8c8565944a9735594d2664fd6436a4798685f3605-d662a12b8ced
esmfold_combined	5004118at2759	F610337	KAJ9095121.1	EXCLUDE	True	True	ESM-S0bb01bd56ef5475322bc9428a801fed9e45fb1d504cf51bc432f00f2dabdb3bb-d662a12b8ced
esmfold_combined	5005010at2759	F610337	KAJ9093008.1	EXCLUDE	True	True	ESM-S0d8baa38bade08fb2ea25b30d912dec3dff6f30b5fe5bdc755062c614c324391-d662a12b8ced
esmfold_combined	5005196at2759	F610337	KAJ9099659.1	EXCLUDE	False	False	
esmfold_combined	5005215at2759	F610337	KAJ9104903.1	EXCLUDE	False	False	
esmfold_combined	5005274at2759	F610337	KAJ9095890.1	EXCLUDE	False	False	
esmfold_combined	5005697at2759	F610337	KAJ9101430.1	EXCLUDE	False	False	
esmfold_combined	5005892at2759	F610337	KAJ9113323.1	EXCLUDE	False	False	
esmfold_combined	5006326at2759	F27376	CAG8475227.1	EXCLUDE	False	False	
esmfold_combined	5006326at2759	F610337	KAJ9095863.1	EXCLUDE	False	False	
esmfold_combined	5011777at2759	F610337	KAJ9109395.1	EXCLUDE	False	False	
esmfold_combined	5013259at2759	F610337	KAJ9104885.1	EXCLUDE	True	True	ESM-S4797907a3aa6487b6a41c95dc0b76875341bc785d2dc425665a852c8a2ef294d-d662a12b8ced
esmfold_combined	5013726at2759	F610337	KAJ9098415.1	EXCLUDE	True	True	ESM-S23e7316be222644001c58e1421f8aec1549957eaa564fe0b932cff8b44dc4541-d662a12b8ced
esmfold_combined	5014007at2759	F610337	KAJ9102108.1	EXCLUDE	False	False	
esmfold_combined	5015742at2759	F27376	CAG8681694.1	EXCLUDE	False	False	
esmfold_combined	5015876at2759	F610337	KAJ9103434.1	EXCLUDE	False	False	
esmfold_combined	540946at2759	F27376	CAG8523990.1	EXCLUDE	True	False	ESM-S9752af1286031246918030e87108948b32e87249fde1de51cc58f59649493a6f-63884b870ac4
esmfold_combined	540946at2759	F610337	KAJ9095431.1	EXCLUDE	False	False	
esmfold_combined	727964at2759	F610337	KAJ9093270.1	EXCLUDE	False	False	
esmfold_combined	760428at2759	F610337	KAJ9105671.1	EXCLUDE	False	False	
esmfold_combined	776280at2759	F610337	KAJ9106482.1	EXCLUDE	False	False	
alphafold_expanded	129234at2759	F610337	KAJ9108408.1	EXCLUDE	False	False	
alphafold_expanded	207567at2759	F27376	CAG8521453.1	EXCLUDE	False	False	
alphafold_expanded	260326at2759	F610337	KAJ9108417.1	EXCLUDE	False	False	
alphafold_expanded	340246at2759	F610337	KAJ9106613.1	EXCLUDE	False	False	
alphafold_expanded	345792at2759	F27376	CAG8561170.1	EXCLUDE	False	False	
alphafold_expanded	345792at2759	F610337	KAJ9101333.1	EXCLUDE	False	False	
alphafold_expanded	4613677at2759	F610337	KAJ9103491.1	EXCLUDE	False	False	
alphafold_expanded	4747214at2759	F610337	KAJ9113391.1	EXCLUDE	False	False	
alphafold_expanded	4764044at2759	F610337	KAJ9100180.1	EXCLUDE	False	False	
alphafold_expanded	4803900at2759	F610337	KAJ9100835.1	EXCLUDE	False	False	
alphafold_expanded	4810093at2759	F610337	KAJ9093640.1	EXCLUDE	False	False	
alphafold_expanded	4813267at2759	F27376	CAG8686416.1	EXCLUDE	False	False	
