model_id	residues	heavy_atoms	total_sasa_angstrom_squared	entry_receipt_sha256
ESM-S5c9158f33ec33425faa5e2f1e4a472ec04e242643cc83378a979f4af354348c0-d662a12b8ced	323	2619	28094.05599250926	c68255a8707e52c1610d7a323eafe21423ae3eaf5d06df6119c08de22d93291e
ESM-S5f870b711533d8accbdd9c47e91b0ae588e9d7696f5a3386d1e4d6862100e768-d662a12b8ced	366	2937	32961.61306948944	0332decd6fbaeb47295f07f38de2789b436918251a07b23435f0ffa6e0dc1f52
ESM-Sc3acdfb9b9ae4dacd32a0dddd25f5668fba9d6d43bce5886eac404b574ddf21e-d662a12b8ced	342	2816	31428.001027350514	02d44947485ef2532c5199daff4a0343074823d0e6b89cd65e921bad52c03761
ESM-S8bc3c37b957cccadbf9df88f823065eefaeb0594f284cf284754ba59a0e03a70-d662a12b8ced	320	2587	27269.101906419764	f28c00e32b3c781c14a4fad6d7e99977da2ee0f32981c4f73726e7260d999214
ESM-S65fb9baa6eef2b2a4cede97d18d8308215f28fe788b02d0c5c40dc310431d3d1-d662a12b8ced	321	2594	27595.07059266018	acd038c39749a5ec11ec27c79733fdd58c29dbe91068d01f8d0db33b31b196ca
ESM-S4e221b040b9008fba0f40f7388b65fbfb110455d9b34686a855f2edf2be83bd9-d662a12b8ced	343	2789	31329.030621097376	a8bdba0d1b7b358f9c0581e04f667617876dbffd90a6acc7ec03c2545f9a6d1e
ESM-Sc4a4f359ce9d7dbf5ae4d4245fc55182607b47fe380b2a99caabc602fe50af5b-d662a12b8ced	358	2956	33152.181196283265	aa1f0a1ec90b5d23ff116d14b1e027d97b75f20255ad413ee20324d4f8e6f6a1
ESM-S702820aa860f587e89bc22b3892eac13df6e203598fcff0a6875a08f14adc616-d662a12b8ced	276	2223	23955.33927698127	2cd549c9b3641def477cef194f86b3d0af398c4275ca52026cf4c97a7b5d75e9
ESM-S937efbaaefd8e7643bf4ef404bc7e9d12c1c5472570080f658ccee768bbfc736-d662a12b8ced	406	3255	37286.410179430524	fd8b181e1ee3247c39b424cbcdb98db7ffbbdc9a69ef13eb3647af843b090f78
ESM-Sb14d9212a0ae21003549104f33a5e59c5be941e74eac9471f2bc10e4fdfcadbf-d662a12b8ced	374	3098	33341.33309572684	07e9d028eb80571d322eaa431614966617d06aad06005f9c39de00eb9c166550
ESM-S27fc89c43bde12d9b8f11f2789d0758ab14070c3a816a531860382ee726a40c3-d662a12b8ced	267	2206	24771.409391959354	3786aea072f15ba1f108d9d7dabf168562219a52e7cae66893dee0c166470d24
ESM-S8f2668df5f901dc6135466ffa834d87828b34505d43746e026308f8d2f90f28b-d662a12b8ced	353	2837	32274.835448879265	fa535dd3d1834dfdf5847fd078b7df72e692f727c1003bf4f3a7449f51584e72
ESM-S104bb6c46f0eed2f3972e881fc7cbc4bc3485b2d558a54412c9aa0dc0a839759-d662a12b8ced	415	3272	39893.141374455074	6eaf6c656afa982dc5515bec40d73636daca92afb7adcc4e8eade7a8c6785081
ESM-S281ae9d514e9b0b014d78abf18d467e6e6c1376b685f4c4c2679844000091667-d662a12b8ced	343	2783	29920.7475052079	bb5291ef73d2f3da66ff97b58497a7f8a78a027589b99b7e72d5e7c3263061e1
ESM-S23375aba6c2b55376ea53b06a7920cbc9b3839e0776a31487236b81b41b4f707-d662a12b8ced	276	2200	24572.89655564472	6d64b3fd83fa507644f1e9745353e98be861e1126bc145cc5173ed802d1a31b2
ESM-S817dd93d24e3559b7242cfe0ae151303f22f9d4211ace5aecfa24345c1d92776-d662a12b8ced	245	1818	14836.18254300752	177e821775b6b931be7678b69c1e6300cc04f63de5b587c2435d4929985d1460
ESM-Se40a1071d7d55e151d7e3d3ee2f5fc0c4817c1c362af86a3b25544fd40a98db4-d662a12b8ced	197	1508	10550.080103840464	8a24460f3fc8c0c8c063bb4a2e68545cdb0d7b97cbde3eae380fdfe99b1405ab
ESM-S77647489ada50dfd48fec26091a8365f71ec20c7e6ec1ff917f893ade2717fe2-d662a12b8ced	233	1789	15643.346767720448	c99dec224d9ffe6f0b4dd2a01231f8771ec785137741461fc3c36ce9f17c81f6
ESM-Sd1375fb670ca1f6d7866377d9167f63b09068db0d92eea002864a54b1117f6f8-d662a12b8ced	204	1574	10583.49668558996	960e1bc48d2dbb78d014c9017afafc5c01ac32b431234034dda170ec79ef8f89
ESM-S1221f068da1e68aa33c33b37a591ba8e348ce12b4d6f29f1e839746794860d2c-d662a12b8ced	267	2057	18939.756494668578	778826963ec44fa8d1468368152ffc6a2794c71fd9138787614ed24b4e674742
ESM-S807f6eae012c10355a58263c882c45b0219e7112a05a2b627bb84207cdd4309b-d662a12b8ced	191	1494	9664.645769826098	4c50e56fea5dca6429030c6a0ba8f9f042ef667facda57cefc017494ed110ffb
ESM-S43db07a9567604fb5dd840d7d7daf786d2f2ed0055a87c767ae3f5ead232dac3-d662a12b8ced	207	1552	11521.746027545863	85646822b5165f8081212026a078bed36b97dba9c64b082e6ff7204935abddc6
ESM-S1df0db4f43bc6d55932fe5163afb99430f6e4f6bec03366aad4dc37ff29ea5a6-d662a12b8ced	223	1705	13772.344945491588	3943409fd7b73796c9d5e0230512d5790f44218d3f1d5abfb1b3c478b1693127
ESM-S1cda597f10dbcc2c681cc93d5734dd1e5116e97af5aeaafeeb756cae0b268d8f-d662a12b8ced	187	1457	9103.626884610294	083b59842500797962d596849b3b111694a11816c740b3aa9bd29e5542732691
ESM-Saca733287653d31eb3a2426075d42ce19c15c9a47da978d8529122a0575512b8-d662a12b8ced	196	1534	10359.352766366945	a38bec4ba1133829e3b300637eda954168b4344357203ea6b551428f63d155be
ESM-Sf02b2d61570efa68e51fa7f8f800a7823a32c1b7904f6b65af822c77f2e599f1-d662a12b8ced	223	1721	13518.632360139978	108d3cc84e5fa8cb3bc04e59d9bf89ae23a0efd594e2afa069ab6571e40dfcee
ESM-S2f989a10c8119a83032a211c239ae00b7b18006e4b359c9978adbb4cc67ed049-d662a12b8ced	195	1498	10549.758306577965	448b2a56cee042e53107dea7e63bbfec1ca7d208adbce3dee6f322946b9dfe76
ESM-S41691bd05033b7bdeb1cd48db2869cd2609757f0e36a88f59fd6c088491c29b4-d662a12b8ced	195	1511	10646.240549196513	256ae1ded331910c5ccaa94ed74c2865f01559950b0b77ab777bd8fe41b9fcf7
ESM-S54339d4a584697cdbbf90fe677bcfe120b4006b96f8e36591e899f18e90338e1-d662a12b8ced	200	1522	10389.209254742487	97aabcfa112119213f8f7602fc3457d279e76cb85346c3e5a3a8e336d96f6b31
ESM-S1e390aa1c0fb740c6da09e07172866cfee6ca0f86dff446fd57dcc5b2f046978-d662a12b8ced	201	1542	10604.874871477461	0fa271e7dcb036a2663b439d5474a1ae0dafc07a798f1e83cb7c48754c0bcc72
ESM-Se86409daac33e0e27d21b81aa036f58eee6de0c22b0f8931ef0aa4f0244e7664-d662a12b8ced	251	1950	16215.529216036986	89def8f00007e9404f0f80c65de4355d1ff36f7dbac83f780b0f60aa61bdd2a6
ESM-S21e22d4c414ac9f69fa03f7a3d86339ab2ff5b5d16334bbc80a6215a11ff96f4-d662a12b8ced	200	1538	10270.973042013185	2cca58c14f7b3e71e4989cd154a76b2c7520d9aaf5fa55d154de6f8a995de293
ESM-S103a4057a7f584e7ae3107c1c964cdd0d1b05fe1cda0b04ded01cce031f977a5-d662a12b8ced	264	2032	17870.574443292306	8dfeff9581555da67324241e05c3a24bff6ec0ee288a8f8bde81c5efdee9a25d
ESM-Sbe6b8db8dd29480a4077f2255f2f213c243c7eee6e8a61e598f294436fb079f2-d662a12b8ced	202	1565	10912.537903114462	6725a81c2c7857039ac76c0026c2e4c410e5d5e6dec292c21b426e2581ab27e7
ESM-S52e32009bad0a6f57243be76a41a90ce3610b0c912e8cec1c085a8d065d5d562-d662a12b8ced	222	1692	12007.779972134078	9e8ab3abf25ecc9d3bfcba16f1aaafd94d7e38d1503cd4a73bca98dee8f353d8
ESM-S594614fc231206772cc6b9c43d1b90be1b84910ff7c5ad4adc6d980aa2628163-d662a12b8ced	214	1655	11765.32981056802	f8bebdd3357b212dbdace95a2abc20fbee7d0018efa852c530dd30befb51f973
ESM-Sf17c96d92d2df321dd89c973520d82845a8b597287686da32e7b6bc39f85dc8e-d662a12b8ced	297	2179	22226.65367802917	c8a0d8569b3c0dd1f80c23734e8d89fbfe1fdb693101c2edceceb60bd772c80d
