entry_id	experimental_method	starting_model_review	starting_models_json	target_chain_attribution	training_independence	initial_release_date
10MT	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""id"": 1, ""source_name"": ""Other"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-22T00:00:00.000+00:00
10OG	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""id"": 1, ""source_name"": ""Other"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-22T00:00:00.000+00:00
10QT	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""id"": 1, ""source_name"": ""Other"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-22T00:00:00.000+00:00
10SJ	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""10MT"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-22T00:00:00.000+00:00
10ZY	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""8E5T"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-01T00:00:00.000+00:00
10ZZ	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""8E5T"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-01T00:00:00.000+00:00
11AA	ELECTRON MICROSCOPY	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""8E5T"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-01T00:00:00.000+00:00
1A1D	SOLUTION NMR	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	1999-03-02T00:00:00.000+00:00
1B54	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	1999-01-27T00:00:00.000+00:00
1I3Q	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2001-04-25T00:00:00.000+00:00
1I50	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2001-04-23T00:00:00.000+00:00
1I6H	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I3Q"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2001-04-23T00:00:00.000+00:00
1K83	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2002-02-13T00:00:00.000+00:00
1NIK	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I6H"", ""details"": ""1I6H WITH DNA AND RNA REMOVED 1GO3 COVERTED TO POLY-ALA MODEL"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}, {""accession_code"": ""1GO3"", ""details"": ""1I6H WITH DNA AND RNA REMOVED 1GO3 COVERTED TO POLY-ALA MODEL"", ""id"": 2, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2003-04-29T00:00:00.000+00:00
1NT9	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I6H"", ""details"": ""PDB ENTRY 1I6H"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2003-04-22T00:00:00.000+00:00
1PQV	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2003-08-19T00:00:00.000+00:00
1R5U	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I6H"", ""details"": ""PDB entry 1I6H"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-02-17T00:00:00.000+00:00
1R9S	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I6H"", ""details"": ""PDB entry 1I6H"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1R9T	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I6H"", ""details"": ""PDB entry 1I6H"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1SFO	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I6H"", ""details"": ""PDB ENTRY 1I6H"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-03-02T00:00:00.000+00:00
1TWA	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""details"": ""PDB entry 1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1TWC	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""details"": ""PDB entry 1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1TWF	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""details"": ""PDB entry 1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1TWG	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""details"": ""PDB entry 1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1TWH	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""details"": ""PDB entry 1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-11-16T00:00:00.000+00:00
1U5T	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-09-21T00:00:00.000+00:00
1W7P	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-09-29T00:00:00.000+00:00
1WA5	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1EE4"", ""details"": ""1EE4 + 1IBR"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}, {""accession_code"": ""1IBR"", ""details"": ""1EE4 + 1IBR"", ""id"": 2, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-12-13T00:00:00.000+00:00
1WCM	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-12-14T00:00:00.000+00:00
1Y14	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-12-14T00:00:00.000+00:00
1Y1V	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-12-28T00:00:00.000+00:00
1Y1W	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2005-01-04T00:00:00.000+00:00
1Y1Y	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2004-12-28T00:00:00.000+00:00
1Y77	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1Y1W"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2005-01-04T00:00:00.000+00:00
1Z7Q	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1RYP"", ""details"": ""one-half of the yeast 20S proteasome (Huber, et al., high-resolution structure), pdb entry 1RYP"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2005-08-09T00:00:00.000+00:00
24QP	ELECTRON MICROSCOPY	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-06-24T00:00:00.000+00:00
24QR	ELECTRON MICROSCOPY	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-06-24T00:00:00.000+00:00
24QS	ELECTRON MICROSCOPY	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-06-24T00:00:00.000+00:00
24QT	ELECTRON MICROSCOPY	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-06-24T00:00:00.000+00:00
28VY	ELECTRON MICROSCOPY	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-05-13T00:00:00.000+00:00
29RF	ELECTRON MICROSCOPY	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2026-07-01T00:00:00.000+00:00
2B63	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1WCM"", ""details"": ""pdb entry 1WCM"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2005-12-06T00:00:00.000+00:00
2B8K	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-06-20T00:00:00.000+00:00
2E2H	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1SFO"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-12T00:00:00.000+00:00
2E2I	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1R9T"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-19T00:00:00.000+00:00
2E2J	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1SFO"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-12T00:00:00.000+00:00
2JA5	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1Y1W"", ""details"": ""PDB ENTRY 1Y1W"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-02-20T00:00:00.000+00:00
2JA6	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1Y1W"", ""details"": ""PDB ENTRY 1Y1W"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-02-20T00:00:00.000+00:00
2JA7	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1Y1W"", ""details"": ""PDB ENTRY 1Y1W"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-02-20T00:00:00.000+00:00
2JA8	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1Y1W"", ""details"": ""PDB ENTRY 1Y1W"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-02-20T00:00:00.000+00:00
2NVQ	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1SFO"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-12T00:00:00.000+00:00
2NVT	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1SFO"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-12T00:00:00.000+00:00
2NVX	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1SFO"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-19T00:00:00.000+00:00
2NVY	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1I50"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-26T00:00:00.000+00:00
2NVZ	X-RAY DIFFRACTION	only_experimental_starting_models_reported_not_independence_proof	"[{""accession_code"": ""1SFO"", ""id"": 1, ""source_name"": ""PDB"", ""type"": ""experimental model""}]"	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2006-12-19T00:00:00.000+00:00
2R7Z	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-11-20T00:00:00.000+00:00
2R92	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-11-27T00:00:00.000+00:00
2R93	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2007-11-27T00:00:00.000+00:00
2VGM	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2008-01-22T00:00:00.000+00:00
2VGN	X-RAY DIFFRACTION	starting_model_annotation_missing	[]	unknown_requires_methods_or_coordinate_annotation_review	unresolved	2008-01-22T00:00:00.000+00:00
