taxon_id	sequence_id	protein_length	pfam_accession	pfam_name	pfam_type	pfam_clan	description	hmm_length	hmm_start	hmm_end	alignment_start	alignment_end	envelope_start	envelope_end	hmm_coverage	sequence_score	domain_score	sequence_ga	domain_ga	conditional_evalue	independent_evalue	posterior_accuracy	hit_id
F332112	S6b3e91dd4af275b2c5481e67ee0f447ed54c8e45bbad19c43ac6a065694db735	967	PF22591.3	eIF3a_PCI_TPR-like	Repeat	CL0020	eIF3a, PCI domain, TPR-like region	390	1	389	9	398	9	399	0.9974358974358974	611.4	611.4	27.0	27.0	1.6e-185	2e-183	0.98	H00069158
F4918	S08ab588ab6e1fb620860b680f436bd1d9df4b1c84cbbc01bbd39a09ffec802bf	944	PF22591.3	eIF3a_PCI_TPR-like	Repeat	CL0020	eIF3a, PCI domain, TPR-like region	390	2	390	10	404	9	404	0.9974358974358974	557.1	557.1	27.0	27.0	5.2e-169	6.6e-167	0.94	H00005640
F4918	S08ab588ab6e1fb620860b680f436bd1d9df4b1c84cbbc01bbd39a09ffec802bf	944	PF01399.34	PCI	Domain	CL0123	PCI domain	84	14	83	422	497	412	498	0.8333333333333334	30.0	27.8	22.0	22.0	3.2e-07	6.9e-06	0.92	H00005641
