marker	taxon_id	protein_id	sequence_sha256	model_id	model_version	model_path	model_sha256	model_provider	model_tool	all_source_candidate_models	exact_sequence_candidate_models	retained_marker_residues	mean_retained_ca_plddt	fraction_retained_ca_plddt_ge70
115730at2759	F1246581	PJF16478.1	239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	6	data/structures/afdb/AF-A0A2H9TFB7-F1-v6.cif	4088736d655585f28d2581225026d9936ebb2ed95ce8f48d830f7e3f8a6aab57	GDM	AlphaFold Monomer v2.0 pipeline	1	1	235	91.88480851063825	0.9617021276595744
115730at2759	F1754191	ORX43518.1	6fd6edf598a40b50ca980eff5c34c91be702c2d1725dc732bb95ffd64e2cd69a	AF-A0A1Y1UYI0-F1	6	data/structures/afdb/AF-A0A1Y1UYI0-F1-v6.cif	4654f58b903e9d4d1e926b64e9e102d4cd44bb7d03006dfe6d58553c8ce9c0c5	GDM	AlphaFold Monomer v2.0 pipeline	1	1	235	91.59859574468086	0.9702127659574468
115730at2759	F1806994	XP_031023258.1	5b458eecda6e85764d8c89175215d247651b9dba58bb3f5270a0752e96aaf918	AF-A0A507BS93-F1	6	data/structures/afdb/AF-A0A507BS93-F1-v6.cif	b0eb34c4e4a529e28622a7b292e393c18e05d57a7fc7b273ec2c5a1dbca0d927	GDM	AlphaFold Monomer v2.0 pipeline	1	1	235	89.3338723404256	0.902127659574468
115730at2759	F215637	KAJ1994834.1	6d5bbb0afc3df15f9e894bcbdfb84451e2470c9c4aed3311529caf1b3c3932f1	AF-A0A4P9ZPS8-F1	6	data/structures/afdb/AF-A0A4P9ZPS8-F1-v6.cif	21a2b4a00637d7e4d8629b9675a75512e70751c1777b8bf617febd6f78679435	GDM	AlphaFold Monomer v2.0 pipeline	1	1	234	91.43867521367521	0.9658119658119658
115730at2759	F5101	XP_024724343.1	b9dc2fcb0f400a6f140071f613ed9dd905d17c5273f0d43483d33ef86ed16d06	AF-A0A2T3BBV8-F1	6	data/structures/afdb/AF-A0A2T3BBV8-F1-v6.cif	d74781caa2f7674f992ac107b824a1785221e811533ea58e4f3573dc0b9b443c	GDM	AlphaFold Monomer v2.0 pipeline	1	1	235	91.48136170212771	0.9617021276595744
115730at2759	F979761	KAF9577261.1	05f3cefa9382477abeaf7b604b76b861c4700f3e7fd22bb6657fabe369600a6e	AF-A0A9P6FLH7-F1	6	data/structures/afdb/AF-A0A9P6FLH7-F1-v6.cif	f6448e4c6244ec928520631fbce8a00c7479610547e4e70c38f263013a21a0d8	GDM	AlphaFold Monomer v2.0 pipeline	1	1	235	91.37238297872337	0.9574468085106383
115730at2759	O5755	XP_004333587.1	25dee33967dc7a12845d681b313d6e8880d9e22d43f840a43286007c8b349e70	AF-L8GFE1-F1	6	data/structures/afdb/AF-L8GFE1-F1-v6.cif	08697fcd802e08ec4c0eaafb52a11b8a080263500f0ac686bbc42538631ca25a	GDM	AlphaFold Monomer v2.0 pipeline	1	1	235	92.19659574468092	1.0
129234at2759	F109876	ORZ29390.1	e1f6b2fad216df8a50c629f640f5df61a5f5c90c934efe4e5a886333ecd38cb9	AF-A0A1Y2H493-F1	6	data/structures/afdb/AF-A0A1Y2H493-F1-v6.cif	852d0c3945ebfd269420fecf2056f9431afb430d4942448d37a81f9b7147f1a4	GDM	AlphaFold Monomer v2.0 pipeline	1	1	166	88.76120481927705	0.9337349397590361
129234at2759	F1670608	KAH0544656.1	d88f0481fbc1de423f4cb9db4f4874ed941bff9f3432a3f90b66eee2a5a7d31a	AF-A0A9P8IDX6-F1	6	data/structures/afdb/AF-A0A9P8IDX6-F1-v6.cif	6c275df76f562d7c8f7d4301e6c01e59dfd04efca6ee3dbbcab45819368d2ce3	GDM	AlphaFold Monomer v2.0 pipeline	1	1	164	89.32847560975613	0.9939024390243902
129234at2759	F2650707	KAJ2845334.1	63c0963c13078ce0a16c9c89af0f9f5b4dcacbf48870ac114e6cec2f866ac3af	AF-A0A9W8I2U6-F1	6	data/structures/afdb/AF-A0A9W8I2U6-F1-v6.cif	ca3d80afe5a925d88716b0bb42a78babf20d3c8261cf2725341aeb949e18f976	GDM	AlphaFold Monomer v2.0 pipeline	1	1	131	77.32389312977101	0.732824427480916
129234at2759	F61395	XP_040740270.1	97db2122da054a10d41f50b024e3e06b953329683b51315bdad141fb02399a1a	AF-A0A1Y1VYB3-F1	6	data/structures/afdb/AF-A0A1Y1VYB3-F1-v6.cif	2257f8df52fe19f63097d4a720be374b92740f9f0f5cf9237dc9abfd86a3c7c4	GDM	AlphaFold Monomer v2.0 pipeline	1	1	166	96.26710843373495	1.0
207567at2759	F70536	EJW01533.1	67fd0c7377ec53b7033490ac35fb7a76542ec16d5f0ee733172bb4f897f5fc74	AF-J8ZP92-F1	6	data/structures/afdb/AF-J8ZP92-F1-v6.cif	dc726840f69bedb6225c5777bd4b2c5e1a45d3aa345892b6305b243a384b6f48	GDM	AlphaFold Monomer v2.0 pipeline	1	1	168	88.91684523809519	0.9107142857142857
207567at2759	O44689	XP_001732966.1	7961089ca63b734e4ba0ae0ed7dcacf39e77511e3338c7720403910fba0f06a7	AF-B0G104-F1	6	data/structures/afdb/AF-B0G104-F1-v6.cif	50f0fad5f2af85cbc058fb9a3992faae2e075c832d4700b92589c092e2558ef0	GDM	AlphaFold Monomer v2.0 pipeline	1	1	172	94.29145348837211	1.0
260326at2759	F1712513	RKP22493.1	22c67a86d22f46b3661dd447334497e20583220307faf207d459ffb05e220b3c	AF-A0A4P9YRH6-F1	6	data/structures/afdb/AF-A0A4P9YRH6-F1-v6.cif	29ea1c6b5b0163056c8b4a27b5ef64b1d62f6a6a97ac156ef909fb26aa67c343	GDM	AlphaFold Monomer v2.0 pipeline	1	1	151	94.73801324503309	1.0
260326at2759	F1754192	ORX65400.1	33ff2b87de99758fcaea2c63dc82967bb09527106599c2f90c74f2666c95e5ee	AF-A0A1Y1VVV2-F1	6	data/structures/afdb/AF-A0A1Y1VVV2-F1-v6.cif	35a2a7037ebe220edfc72bc208c558b39795dd453560aea0f764eb81104e2c88	GDM	AlphaFold Monomer v2.0 pipeline	1	1	151	94.28748344370864	0.9933774834437086
260326at2759	F1938954	OZJ01992.1	7b0ec79f8f0ab9f8c816158810647fbf10b90e8d750a66a4db727b84b96ebf73	AF-A0A261XUG7-F1	6	data/structures/afdb/AF-A0A261XUG7-F1-v6.cif	794acb698e0583d595daf565de91136a7eef33f479bc5d673d15b9b7912ecb8c	GDM	AlphaFold Monomer v2.0 pipeline	1	1	125	89.41600000000005	0.92
260326at2759	F215637	KAJ1994347.1	c06430c7cdb10f9eb632114bfc6a43bb31e21309cfebe12e5ddb8b0063827a3f	AF-A0A4P9ZK04-F1	6	data/structures/afdb/AF-A0A4P9ZK04-F1-v6.cif	c0fe37aa6ff94fba34a5219e905413dd7ef291a1d6cc5605aea4b2d83a36823e	GDM	AlphaFold Monomer v2.0 pipeline	1	1	151	95.05549668874166	1.0
260326at2759	F291195	RVD91988.1	0b004094940c24b361293097ace2cb721627628f7e79d184db08e165e433d6b1	AF-A0A437ALN3-F1	6	data/structures/afdb/AF-A0A437ALN3-F1-v6.cif	bd9eba88efa58e55e6676c0a42b9442bf8b0bb99d61d068eb976ca1bd8fe3ce7	GDM	AlphaFold Monomer v2.0 pipeline	1	1	141	93.12290780141845	1.0
260326at2759	F41956	KAM6500028.1	283f3bf1451d63dd416b48708784fe9853049929d66eb504f617c968183b0852	AF-A0A0C2TJ07-F1	6	data/structures/afdb/AF-A0A0C2TJ07-F1-v6.cif	74b07bf04ed07d15cbf3ab382b8dcd4bd5416d161554b4a4aebccc8e56cd2c49	GDM	AlphaFold Monomer v2.0 pipeline	1	1	151	95.73986754966889	1.0
