entry_id	taxon_id	protein_id	sequence_id	query_source	protein_length	gene_ids_json	gene_mapping_status	representative_decision	TFIIB_hits	BRF1_hits	Zn_Ribbon_TF_hits	selected_busco_markers_json
G0000062	F1069201	XP_041537456.1	S79d2a2c181fadf74a6256675fbcfd1cea7fd0f8e141cc8612ba0b3ebea592755	marker-inputs-v1	752	"[""gene-AKAW2_10736A""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"
G0000063	F1069201	XP_041539939.1	Sfaed5e4a10fb81fe0f183e8e247a8775a48297367cdc521b1ff0f14a5fee03df	additional_full_proteome	351	"[""gene-AKAW2_21113S""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]
G0000173	F1220207	XP_041554367.1	S24486a5515d0da3b10184b5012d5e06d87ffb2eed0e4c354576e0f8e34f0aef1	marker-inputs-v1	751	"[""gene-APUU_30398S""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"
G0000174	F1220207	XP_041554901.1	S1d47db821b99bf34d78b54843a5889a3bbb3b96e52d6ed3abc8327f86ad94c1e	additional_full_proteome	351	"[""gene-APUU_30932A""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]
G0000355	F162425	XP_660720.1	Sbd2c006615f2da51238ebd91594fe974156541ddfc8d064c271a699e086a5195	marker-inputs-v1	713	"[""gene-ANIA_03116""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"
G0000356	F162425	XP_662532.1	S7f37fd3b3bd79d98988f7f63ce757ec494bf8ecc3d5adcfc7e0911794173527c	additional_full_proteome	351	"[""gene-ANIA_04928""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]
G0000443	F1810926	XP_073625300.1	Sf556669087dd04425a8888b7d6945457ab1480179e3cfefcb1480a8fc7dfc6f1	additional_full_proteome	1067	"[""gene-BDV14DRAFT_191595""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	[]
G0000444	F1810926	XP_073632729.1	Sbcad78afd9a832e97f2da42aa39d924278e32fc9b044b0e4b67a02b5f884f67d	marker-inputs-v1	351	"[""gene-BDV14DRAFT_87435""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	"[""4986044at2759""]"
G0000445	F1810928	XP_073615209.1	Se3b0baaca71a55b148ea8a000be5d503c695b213324ad877d5499b59e167c7e1	marker-inputs-v1	351	"[""gene-BDV17DRAFT_281972""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	"[""4986044at2759""]"
G0000446	F1810928	XP_073618010.1	S2ad656c922ecef0d00942cffbf07ff91aad19d293d3d11c3b86e891b41c3798a	additional_full_proteome	1109	"[""gene-BDV17DRAFT_280404""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	[]
G0000452	F182096	XP_043133321.1	Sb4502ee70ef70e286cb5d7cb072378b8a37f33502edc00647ddcdf4335b62300	marker-inputs-v1	749	"[""gene-ACHE_20257S""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"
G0000453	F182096	XP_043134095.1	S646bec2a6a825e498a309ac89f330fb19ced9ff2423948e8db9fb8f23c6d36d2	additional_full_proteome	350	"[""gene-ACHE_21031A""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]
G0000886	F41759	XP_073584790.1	Sd5a6f5de0c059d6fac90c1ff923b83bd2ee9a825ad0c7560e9c3c52e6f0a2204	marker-inputs-v1	351	"[""gene-BDW74DRAFT_137925""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	"[""4986044at2759""]"
G0000887	F41759	XP_073586727.1	S11b4a6d2a186e3106ad2c7f07695afa7b7ea9a2741df48135424b63fed625773	additional_full_proteome	1121	"[""gene-BDW74DRAFT_166567""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	[]
G0001027	F5059	XP_041143036.1	Se1527046166d32c550b8ae29b75dc7b5ca7bbb768a079090fbbdf85a0cb97660	marker-inputs-v1	350	"[""gene-F9C07_2583""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	"[""4986044at2759""]"
G0001028	F5059	XP_071366449.1	S92f960cbe73351c4029fb667730b136882fc67b0dd05b7af5e2138f56db8a369	additional_full_proteome	1093	"[""gene-F9C07_2283502""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	[]
G0001029	F5062	XP_001819770.1	Se1527046166d32c550b8ae29b75dc7b5ca7bbb768a079090fbbdf85a0cb97660	marker-inputs-v1	350	"[""gene-AO090003000606""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]
G0001030	F5062	XP_023091566.1	Saba063d86de269f1c0e91358681a26ba920843ff6106c43497553acf17ca774c	marker-inputs-v1	734	"[""gene-AO090012000849""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"
G0001289	F746128	XP_754348.1	Sbd6444164628e470916e4a43959a3f6701727242ed792b77d6690b7a11e11f00	marker-inputs-v1	748	"[""gene-AFUA_3G12730""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"
G0001290	F746128	XP_754557.1	Sc99f8df354c0f8ca2fae36545bdf82cb0ce157b5f92759858afc6277c6af4411	additional_full_proteome	422	"[""gene-AFUA_3G10620""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]
