marker	total_taxa_audited	original_marker_columns	eligible_taxa	retained_columns	status	aa_variable_columns	aa_parsimony_informative_columns	3di_variable_columns	3di_parsimony_informative_columns
115730at2759	526	235	15	209	ready_for_inference	90	60	61	41
129234at2759	526	166	154	166	ready_for_inference	146	132	135	117
160487at2759	526	730	0	0	insufficient_structural_coverage	0	0	0	0
201273at2759	526	254	71	111	ready_for_inference	78	61	32	25
207567at2759	526	174	134	171	ready_for_inference	150	132	129	106
260326at2759	526	151	135	151	ready_for_inference	142	134	117	103
2852757at2759	526	264	2	252	insufficient_structural_coverage	103	0	39	0
288615at2759	526	383	0	0	insufficient_structural_coverage	0	0	0	0
319730at2759	526	400	10	400	ready_for_inference	252	185	124	87
340246at2759	526	441	0	0	insufficient_structural_coverage	0	0	0	0
345792at2759	526	226	42	226	ready_for_inference	127	113	133	102
352891at2759	526	245	95	240	ready_for_inference	208	189	155	131
3643464at2759	526	517	0	0	insufficient_structural_coverage	0	0	0	0
4613677at2759	526	73	140	73	ready_for_inference	71	67	29	22
4695236at2759	526	1059	0	0	insufficient_structural_coverage	0	0	0	0
4747214at2759	526	114	118	111	ready_for_inference	100	90	81	70
4764044at2759	526	391	2	377	insufficient_structural_coverage	215	0	99	0
4803900at2759	526	106	137	101	ready_for_inference	94	89	66	58
4810093at2759	526	667	0	0	insufficient_structural_coverage	0	0	0	0
4813267at2759	526	578	0	0	insufficient_structural_coverage	0	0	0	0
4823929at2759	526	420	12	409	ready_for_inference	356	262	250	165
4837017at2759	526	205	146	196	ready_for_inference	187	184	171	161
4838864at2759	526	458	0	0	insufficient_structural_coverage	0	0	0	0
4843240at2759	526	315	3	269	insufficient_structural_coverage	168	0	100	0
4843824at2759	526	197	124	196	ready_for_inference	192	185	169	145
4867008at2759	526	177	133	177	ready_for_inference	163	152	148	139
4888252at2759	526	830	0	0	insufficient_structural_coverage	0	0	0	0
4896098at2759	526	157	116	149	ready_for_inference	114	105	73	64
4900375at2759	526	169	138	169	ready_for_inference	166	160	152	120
4908955at2759	526	318	24	275	ready_for_inference	209	139	151	95
4911644at2759	526	744	0	0	insufficient_structural_coverage	0	0	0	0
4940884at2759	526	469	0	0	insufficient_structural_coverage	0	0	0	0
4969018at2759	526	374	8	336	ready_for_inference	125	56	84	44
4969636at2759	526	295	13	291	ready_for_inference	168	128	154	93
4969990at2759	526	346	9	345	ready_for_inference	267	138	180	90
4970387at2759	526	136	135	136	ready_for_inference	129	125	70	45
4970538at2759	526	900	0	0	insufficient_structural_coverage	0	0	0	0
4971272at2759	526	375	6	375	ready_for_inference	292	91	122	43
4974767at2759	526	134	24	74	ready_for_inference	50	29	26	17
4975094at2759	526	852	0	0	insufficient_structural_coverage	0	0	0	0
4976279at2759	526	228	11	228	ready_for_inference	176	108	155	80
4977163at2759	526	141	144	141	ready_for_inference	131	128	111	100
4977863at2759	526	288	0	0	insufficient_structural_coverage	0	0	0	0
4983000at2759	526	453	1	283	insufficient_structural_coverage	0	0	0	0
4985971at2759	526	281	16	281	ready_for_inference	213	143	146	84
4986044at2759	526	313	1	180	insufficient_structural_coverage	0	0	0	0
4987397at2759	526	681	0	0	insufficient_structural_coverage	0	0	0	0
4988239at2759	526	893	0	0	insufficient_structural_coverage	0	0	0	0
4999134at2759	526	2295	0	0	insufficient_structural_coverage	0	0	0	0
5000045at2759	526	301	16	301	ready_for_inference	265	197	156	98
5000152at2759	526	1184	0	0	insufficient_structural_coverage	0	0	0	0
5000362at2759	526	672	0	0	insufficient_structural_coverage	0	0	0	0
5000371at2759	526	429	15	411	ready_for_inference	329	263	251	180
5000452at2759	526	292	47	292	ready_for_inference	289	279	245	211
5000476at2759	526	306	10	306	ready_for_inference	240	193	127	81
5000743at2759	526	166	158	166	ready_for_inference	157	151	142	134
5000823at2759	526	802	0	0	insufficient_structural_coverage	0	0	0	0
5000870at2759	526	707	0	0	insufficient_structural_coverage	0	0	0	0
5000986at2759	526	404	2	251	insufficient_structural_coverage	73	0	40	0
5001156at2759	526	229	15	229	ready_for_inference	172	127	138	100
5001273at2759	526	229	141	229	ready_for_inference	218	200	171	158
5001280at2759	526	754	0	0	insufficient_structural_coverage	0	0	0	0
5001318at2759	526	310	13	261	ready_for_inference	135	94	87	64
5001413at2759	526	251	72	251	ready_for_inference	200	181	193	166
5001473at2759	526	81	121	81	ready_for_inference	52	38	36	26
5001660at2759	526	636	0	0	insufficient_structural_coverage	0	0	0	0
5001734at2759	526	177	120	172	ready_for_inference	116	104	51	39
5001941at2759	526	568	0	0	insufficient_structural_coverage	0	0	0	0
5002334at2759	526	227	19	227	ready_for_inference	181	161	134	109
5002573at2759	526	357	11	357	ready_for_inference	313	199	222	119
5003022at2759	526	776	0	0	insufficient_structural_coverage	0	0	0	0
5003192at2759	526	399	0	0	insufficient_structural_coverage	0	0	0	0
5003205at2759	526	1015	0	0	insufficient_structural_coverage	0	0	0	0
5003856at2759	526	219	35	219	ready_for_inference	191	156	150	111
5003972at2759	526	205	78	201	ready_for_inference	155	125	168	132
5004118at2759	526	134	17	81	ready_for_inference	62	46	23	11
5004265at2759	526	219	3	134	insufficient_structural_coverage	57	0	15	0
5004327at2759	526	697	0	0	insufficient_structural_coverage	0	0	0	0
5004391at2759	526	865	0	0	insufficient_structural_coverage	0	0	0	0
5004478at2759	526	299	6	261	ready_for_inference	168	69	106	52
5004599at2759	526	382	0	0	insufficient_structural_coverage	0	0	0	0
5005010at2759	526	92	145	92	ready_for_inference	90	88	35	25
5005174at2759	526	169	102	136	ready_for_inference	115	106	68	51
5005196at2759	526	371	9	291	ready_for_inference	208	141	135	93
5005215at2759	526	243	0	0	insufficient_structural_coverage	0	0	0	0
5005217at2759	526	361	1	349	insufficient_structural_coverage	0	0	0	0
5005274at2759	526	233	18	157	ready_for_inference	122	76	45	22
5005697at2759	526	243	1	169	insufficient_structural_coverage	0	0	0	0
5005750at2759	526	107	134	107	ready_for_inference	90	80	73	62
5005892at2759	526	302	13	288	ready_for_inference	193	127	161	79
5006326at2759	526	539	0	0	insufficient_structural_coverage	0	0	0	0
5006412at2759	526	168	0	0	insufficient_structural_coverage	0	0	0	0
5011777at2759	526	656	0	0	insufficient_structural_coverage	0	0	0	0
5013042at2759	526	333	7	333	ready_for_inference	242	148	114	61
5013067at2759	526	323	17	306	ready_for_inference	252	183	202	151
5013259at2759	526	144	123	120	ready_for_inference	110	107	68	52
5013539at2759	526	224	51	223	ready_for_inference	170	149	142	117
5013726at2759	526	171	136	165	ready_for_inference	133	124	95	80
5013738at2759	526	170	136	170	ready_for_inference	143	128	101	82
5013992at2759	526	786	0	0	insufficient_structural_coverage	0	0	0	0
5014007at2759	526	521	0	0	insufficient_structural_coverage	0	0	0	0
5015403at2759	526	314	13	314	ready_for_inference	213	162	197	119
5015647at2759	526	525	0	0	insufficient_structural_coverage	0	0	0	0
5015712at2759	526	485	6	422	ready_for_inference	262	55	108	36
5015742at2759	526	419	4	394	ready_for_inference	287	32	177	33
5015876at2759	526	325	2	249	insufficient_structural_coverage	54	0	35	0
5017019at2759	526	140	8	139	ready_for_inference	103	53	76	35
5018803at2759	526	408	0	0	insufficient_structural_coverage	0	0	0	0
529759at2759	526	226	143	226	ready_for_inference	157	128	130	109
530014at2759	526	776	0	0	insufficient_structural_coverage	0	0	0	0
530740at2759	526	304	0	0	insufficient_structural_coverage	0	0	0	0
538728at2759	526	279	0	0	insufficient_structural_coverage	0	0	0	0
538952at2759	526	266	2	216	insufficient_structural_coverage	80	0	58	0
539632at2759	526	257	31	257	ready_for_inference	173	151	129	87
540946at2759	526	403	9	401	ready_for_inference	301	186	210	127
541070at2759	526	222	122	222	ready_for_inference	191	185	184	168
554735at2759	526	231	131	231	ready_for_inference	198	186	183	148
649304at2759	526	293	26	276	ready_for_inference	203	181	158	126
707076at2759	526	239	87	228	ready_for_inference	189	138	143	113
707202at2759	526	326	9	323	ready_for_inference	262	168	219	120
727964at2759	526	241	11	241	ready_for_inference	166	103	137	60
730114at2759	526	530	0	0	insufficient_structural_coverage	0	0	0	0
760428at2759	526	338	16	331	ready_for_inference	290	238	262	189
776280at2759	526	261	4	243	ready_for_inference	122	7	91	12
801816at2759	526	153	154	153	ready_for_inference	135	118	110	97
