sequence_sha256	reference_model_id	local_model_id	plddt_cutoff	pae_cutoff	protein_length	retained_residues	retained_fraction	status	state_mismatches	state_mismatch_fraction	partner_changes	partner_change_fraction	same_partner_residues	same_partner_state_mismatches	same_partner_state_mismatch_fraction	changed_partner_residues	changed_partner_state_mismatches	changed_partner_state_mismatch_fraction
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	0	unfiltered	325	323	0.9938461538461538	compared	88	0.2724458204334365	107	0.33126934984520123	216	33	0.1527777777777778	107	55	0.514018691588785
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	0	5	325	264	0.8123076923076923	compared	56	0.21212121212121213	67	0.2537878787878788	197	23	0.116751269035533	67	33	0.4925373134328358
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	0	10	325	316	0.9723076923076923	compared	82	0.25949367088607594	104	0.3291139240506329	212	29	0.13679245283018868	104	53	0.5096153846153846
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	0	15	325	323	0.9938461538461538	compared	88	0.2724458204334365	107	0.33126934984520123	216	33	0.1527777777777778	107	55	0.514018691588785
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	70	unfiltered	325	225	0.6923076923076923	compared	34	0.1511111111111111	55	0.24444444444444444	170	8	0.047058823529411764	55	26	0.4727272727272727
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	70	5	325	218	0.6707692307692308	compared	29	0.13302752293577982	48	0.22018348623853212	170	8	0.047058823529411764	48	21	0.4375
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	70	10	325	225	0.6923076923076923	compared	34	0.1511111111111111	55	0.24444444444444444	170	8	0.047058823529411764	55	26	0.4727272727272727
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	70	15	325	225	0.6923076923076923	compared	34	0.1511111111111111	55	0.24444444444444444	170	8	0.047058823529411764	55	26	0.4727272727272727
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	90	unfiltered	325	130	0.4	insufficient_coverage	11	0.08461538461538462	20	0.15384615384615385	110	2	0.01818181818181818	20	9	0.45
239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de	AF-A0A2H9TFB7-F1	ESM-S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de-d4caea4d704d	90	5	325	130	0.4	insufficient_coverage	11	0.08461538461538462	20	0.15384615384615385	110	2	0.01818181818181818	20	9	0.45
