marker	previous_eligible_taxa	expanded_eligible_taxa	eligible_taxon_count_change	previous_retained_columns	expanded_retained_columns	previous_status	expanded_status
115730at2759	8	119	111	230	235	ready_for_inference	ready_for_inference
129234at2759	1	124	123	126	166	insufficient_structural_coverage	ready_for_inference
160487at2759	2	84	82	399	652	insufficient_structural_coverage	ready_for_inference
201273at2759	2	114	112	211	220	insufficient_structural_coverage	ready_for_inference
207567at2759	6	121	115	171	173	ready_for_inference	ready_for_inference
260326at2759	3	135	132	151	151	insufficient_structural_coverage	ready_for_inference
2852757at2759	2	101	99	255	264	insufficient_structural_coverage	ready_for_inference
288615at2759	3	117	114	360	383	insufficient_structural_coverage	ready_for_inference
319730at2759	4	113	109	390	400	ready_for_inference	ready_for_inference
340246at2759	4	98	94	394	418	ready_for_inference	ready_for_inference
345792at2759	3	113	110	225	226	insufficient_structural_coverage	ready_for_inference
352891at2759	3	111	108	237	239	insufficient_structural_coverage	ready_for_inference
3643464at2759	3	101	98	457	493	insufficient_structural_coverage	ready_for_inference
4613677at2759	3	98	95	67	73	insufficient_structural_coverage	ready_for_inference
4695236at2759	2	107	105	1006	1028	insufficient_structural_coverage	ready_for_inference
4747214at2759	4	119	115	113	114	ready_for_inference	ready_for_inference
4764044at2759	3	112	109	319	375	insufficient_structural_coverage	ready_for_inference
4803900at2759	2	94	92	104	105	insufficient_structural_coverage	ready_for_inference
4810093at2759	2	88	86	636	667	insufficient_structural_coverage	ready_for_inference
4813267at2759	2	102	100	427	475	insufficient_structural_coverage	ready_for_inference
4823929at2759	5	108	103	418	419	ready_for_inference	ready_for_inference
4837017at2759	3	108	105	203	205	insufficient_structural_coverage	ready_for_inference
4838864at2759	2	110	108	418	441	insufficient_structural_coverage	ready_for_inference
4843240at2759	2	105	103	259	311	insufficient_structural_coverage	ready_for_inference
4843824at2759	8	111	103	187	194	ready_for_inference	ready_for_inference
4867008at2759	4	117	113	177	177	ready_for_inference	ready_for_inference
4888252at2759	2	102	100	546	789	insufficient_structural_coverage	ready_for_inference
4896098at2759	3	114	111	128	145	insufficient_structural_coverage	ready_for_inference
4900375at2759	4	114	110	169	169	ready_for_inference	ready_for_inference
4908955at2759	2	117	115	265	304	insufficient_structural_coverage	ready_for_inference
4911644at2759	6	103	97	691	727	ready_for_inference	ready_for_inference
4940884at2759	2	97	95	406	436	insufficient_structural_coverage	ready_for_inference
4969018at2759	3	118	115	360	370	insufficient_structural_coverage	ready_for_inference
4969636at2759	3	114	111	294	295	insufficient_structural_coverage	ready_for_inference
4969990at2759	3	127	124	326	337	insufficient_structural_coverage	ready_for_inference
4970387at2759	2	111	109	130	134	insufficient_structural_coverage	ready_for_inference
4970538at2759	3	119	116	863	891	insufficient_structural_coverage	ready_for_inference
4971272at2759	3	116	113	359	374	insufficient_structural_coverage	ready_for_inference
4974767at2759	3	109	106	133	134	insufficient_structural_coverage	ready_for_inference
4975094at2759	3	111	108	725	747	insufficient_structural_coverage	ready_for_inference
4976279at2759	5	109	104	224	228	ready_for_inference	ready_for_inference
4977163at2759	5	107	102	141	141	ready_for_inference	ready_for_inference
4977863at2759	2	107	105	282	288	insufficient_structural_coverage	ready_for_inference
4983000at2759	3	120	117	437	453	insufficient_structural_coverage	ready_for_inference
4985971at2759	7	118	111	272	278	ready_for_inference	ready_for_inference
4986044at2759	3	116	113	269	309	insufficient_structural_coverage	ready_for_inference
4987397at2759	2	108	106	563	613	insufficient_structural_coverage	ready_for_inference
4988239at2759	5	107	102	732	798	ready_for_inference	ready_for_inference
4999134at2759	0	2	2	0	2089	insufficient_structural_coverage	insufficient_structural_coverage
5000045at2759	2	116	114	191	300	insufficient_structural_coverage	ready_for_inference
5000152at2759	6	109	103	1181	1184	ready_for_inference	ready_for_inference
5000362at2759	1	113	112	483	654	insufficient_structural_coverage	ready_for_inference
5000371at2759	1	102	101	365	425	insufficient_structural_coverage	ready_for_inference
5000452at2759	3	107	104	291	292	insufficient_structural_coverage	ready_for_inference
5000476at2759	7	119	112	294	306	ready_for_inference	ready_for_inference
5000743at2759	7	113	106	165	165	ready_for_inference	ready_for_inference
5000823at2759	5	114	109	699	720	ready_for_inference	ready_for_inference
5000870at2759	3	114	111	571	642	insufficient_structural_coverage	ready_for_inference
5000986at2759	3	102	99	370	391	insufficient_structural_coverage	ready_for_inference
5001156at2759	2	106	104	228	229	insufficient_structural_coverage	ready_for_inference
5001273at2759	6	114	108	205	213	ready_for_inference	ready_for_inference
5001280at2759	3	111	108	550	649	insufficient_structural_coverage	ready_for_inference
5001318at2759	2	97	95	241	267	insufficient_structural_coverage	ready_for_inference
5001413at2759	2	118	116	243	251	insufficient_structural_coverage	ready_for_inference
5001473at2759	3	119	116	81	81	insufficient_structural_coverage	ready_for_inference
5001660at2759	3	113	110	581	614	insufficient_structural_coverage	ready_for_inference
5001734at2759	5	107	102	135	175	ready_for_inference	ready_for_inference
5001941at2759	5	103	98	513	544	ready_for_inference	ready_for_inference
5002334at2759	6	105	99	227	227	ready_for_inference	ready_for_inference
5002573at2759	11	105	94	344	351	ready_for_inference	ready_for_inference
5003022at2759	1	108	107	391	738	insufficient_structural_coverage	ready_for_inference
5003192at2759	4	110	106	326	383	ready_for_inference	ready_for_inference
5003205at2759	0	5	5	0	945	insufficient_structural_coverage	ready_for_inference
5003856at2759	3	111	108	169	214	insufficient_structural_coverage	ready_for_inference
5003972at2759	4	103	99	200	205	ready_for_inference	ready_for_inference
5004118at2759	5	111	106	131	132	ready_for_inference	ready_for_inference
5004265at2759	3	111	108	176	185	insufficient_structural_coverage	ready_for_inference
5004327at2759	5	96	91	672	689	ready_for_inference	ready_for_inference
5004391at2759	3	94	91	641	742	insufficient_structural_coverage	ready_for_inference
5004478at2759	1	113	112	237	286	insufficient_structural_coverage	ready_for_inference
5004599at2759	2	114	112	355	382	insufficient_structural_coverage	ready_for_inference
5005010at2759	2	125	123	92	92	insufficient_structural_coverage	ready_for_inference
5005174at2759	4	120	116	162	169	ready_for_inference	ready_for_inference
5005196at2759	10	113	103	371	371	ready_for_inference	ready_for_inference
5005215at2759	5	107	102	243	243	ready_for_inference	ready_for_inference
5005217at2759	3	113	110	361	361	insufficient_structural_coverage	ready_for_inference
5005274at2759	1	111	110	155	197	insufficient_structural_coverage	ready_for_inference
5005697at2759	5	111	106	233	238	ready_for_inference	ready_for_inference
5005750at2759	4	119	115	91	96	ready_for_inference	ready_for_inference
5005892at2759	5	107	102	272	282	ready_for_inference	ready_for_inference
5006326at2759	2	108	106	533	537	insufficient_structural_coverage	ready_for_inference
5006412at2759	3	101	98	164	168	insufficient_structural_coverage	ready_for_inference
5011777at2759	3	100	97	406	545	insufficient_structural_coverage	ready_for_inference
5013042at2759	0	103	103	0	333	insufficient_structural_coverage	ready_for_inference
5013067at2759	6	124	118	306	310	ready_for_inference	ready_for_inference
5013259at2759	5	115	110	143	143	ready_for_inference	ready_for_inference
5013539at2759	5	113	108	220	224	ready_for_inference	ready_for_inference
5013726at2759	1	118	117	167	169	insufficient_structural_coverage	ready_for_inference
5013738at2759	6	125	119	170	170	ready_for_inference	ready_for_inference
5013992at2759	3	101	98	591	711	insufficient_structural_coverage	ready_for_inference
5014007at2759	4	99	95	504	511	ready_for_inference	ready_for_inference
5015403at2759	4	110	106	314	314	ready_for_inference	ready_for_inference
5015647at2759	6	107	101	445	459	ready_for_inference	ready_for_inference
5015712at2759	3	105	102	412	461	insufficient_structural_coverage	ready_for_inference
5015742at2759	1	110	109	350	405	insufficient_structural_coverage	ready_for_inference
5015876at2759	2	114	112	325	325	insufficient_structural_coverage	ready_for_inference
5017019at2759	4	113	109	134	140	ready_for_inference	ready_for_inference
5018803at2759	3	103	100	368	397	insufficient_structural_coverage	ready_for_inference
529759at2759	4	132	128	220	222	ready_for_inference	ready_for_inference
530014at2759	4	112	108	761	776	ready_for_inference	ready_for_inference
530740at2759	3	91	88	178	222	insufficient_structural_coverage	ready_for_inference
538728at2759	4	112	108	232	250	ready_for_inference	ready_for_inference
538952at2759	1	103	102	179	250	insufficient_structural_coverage	ready_for_inference
539632at2759	12	123	111	245	257	ready_for_inference	ready_for_inference
540946at2759	2	104	102	385	403	insufficient_structural_coverage	ready_for_inference
541070at2759	1	111	110	213	222	insufficient_structural_coverage	ready_for_inference
554735at2759	1	113	112	228	231	insufficient_structural_coverage	ready_for_inference
649304at2759	5	110	105	283	293	ready_for_inference	ready_for_inference
707076at2759	9	117	108	217	233	ready_for_inference	ready_for_inference
707202at2759	2	116	114	321	324	insufficient_structural_coverage	ready_for_inference
727964at2759	4	108	104	241	241	ready_for_inference	ready_for_inference
730114at2759	5	110	105	530	530	ready_for_inference	ready_for_inference
760428at2759	4	114	110	333	338	ready_for_inference	ready_for_inference
776280at2759	4	106	102	253	261	ready_for_inference	ready_for_inference
801816at2759	7	111	104	148	150	ready_for_inference	ready_for_inference
