marker	taxa	pairs	accepted_geometry_pairs	excluded_geometry_pairs	marker_review_status
115730at2759	15	105	105	0	no_current_copy_review_flag
129234at2759	154	11781	11613	168	no_current_copy_review_flag
201273at2759	71	2485	2485	0	no_current_copy_review_flag
207567at2759	134	8911	8755	156	no_current_copy_review_flag
260326at2759	135	9045	8679	366	no_current_copy_review_flag
319730at2759	10	45	45	0	no_current_copy_review_flag
345792at2759	42	861	831	30	no_current_copy_review_flag
352891at2759	95	4465	4465	0	no_current_copy_review_flag
4613677at2759	140	9730	9723	7	no_current_copy_review_flag
4747214at2759	118	6903	6430	473	no_current_copy_review_flag
4803900at2759	137	9316	9305	11	no_current_copy_review_flag
4823929at2759	12	66	66	0	no_current_copy_review_flag
4837017at2759	146	10585	10585	0	no_current_copy_review_flag
4843824at2759	124	7626	7625	1	no_current_copy_review_flag
4867008at2759	133	8778	8644	134	no_current_copy_review_flag
4896098at2759	116	6670	6670	0	no_current_copy_review_flag
4900375at2759	138	9453	8183	1270	no_current_copy_review_flag
4908955at2759	24	276	276	0	no_current_copy_review_flag
4969018at2759	8	28	28	0	no_current_copy_review_flag
4969636at2759	13	78	78	0	no_current_copy_review_flag
4969990at2759	9	36	36	0	no_current_copy_review_flag
4970387at2759	135	9045	8876	169	no_current_copy_review_flag
4971272at2759	6	15	15	0	no_current_copy_review_flag
4974767at2759	24	276	210	66	no_current_copy_review_flag
4976279at2759	11	55	54	1	no_current_copy_review_flag
4977163at2759	144	10296	8737	1559	no_current_copy_review_flag
4985971at2759	16	120	120	0	no_current_copy_review_flag
5000045at2759	16	120	120	0	no_current_copy_review_flag
5000371at2759	15	105	105	0	no_current_copy_review_flag
5000452at2759	47	1081	1074	7	no_current_copy_review_flag
5000476at2759	10	45	45	0	no_current_copy_review_flag
5000743at2759	158	12403	12403	0	no_current_copy_review_flag
5001156at2759	15	105	97	8	no_current_copy_review_flag
5001273at2759	141	9870	9870	0	no_current_copy_review_flag
5001318at2759	13	78	38	40	no_current_copy_review_flag
5001413at2759	72	2556	2556	0	no_current_copy_review_flag
5001473at2759	121	7260	6621	639	no_current_copy_review_flag
5001734at2759	120	7140	7105	35	no_current_copy_review_flag
5002334at2759	19	171	171	0	no_current_copy_review_flag
5002573at2759	11	55	55	0	no_current_copy_review_flag
5003856at2759	35	595	538	57	no_current_copy_review_flag
5003972at2759	78	3003	2941	62	no_current_copy_review_flag
5004118at2759	17	136	41	95	no_current_copy_review_flag
5004478at2759	6	15	15	0	no_current_copy_review_flag
5005010at2759	145	10440	10406	34	no_current_copy_review_flag
5005174at2759	102	5151	5010	141	no_current_copy_review_flag
5005196at2759	9	36	36	0	no_current_copy_review_flag
5005274at2759	18	153	153	0	no_current_copy_review_flag
5005750at2759	134	8911	8693	218	no_current_copy_review_flag
5005892at2759	13	78	78	0	no_current_copy_review_flag
5013042at2759	7	21	21	0	no_current_copy_review_flag
5013067at2759	17	136	136	0	no_current_copy_review_flag
5013259at2759	123	7503	6976	527	no_current_copy_review_flag
5013539at2759	51	1275	1185	90	no_current_copy_review_flag
5013726at2759	136	9180	9051	129	no_current_copy_review_flag
5013738at2759	136	9180	9050	130	no_current_copy_review_flag
5015403at2759	13	78	76	2	no_current_copy_review_flag
5015712at2759	6	15	15	0	no_current_copy_review_flag
5015742at2759	4	6	6	0	no_current_copy_review_flag
5017019at2759	8	28	28	0	no_current_copy_review_flag
529759at2759	143	10153	10153	0	no_current_copy_review_flag
539632at2759	31	465	465	0	no_current_copy_review_flag
540946at2759	9	36	36	0	no_current_copy_review_flag
541070at2759	122	7381	7381	0	no_current_copy_review_flag
554735at2759	131	8515	8515	0	no_current_copy_review_flag
649304at2759	26	325	325	0	no_current_copy_review_flag
707076at2759	87	3741	3578	163	no_current_copy_review_flag
707202at2759	9	36	36	0	no_current_copy_review_flag
727964at2759	11	55	45	10	no_current_copy_review_flag
760428at2759	16	120	105	15	no_current_copy_review_flag
776280at2759	4	6	6	0	no_current_copy_review_flag
801816at2759	154	11781	11781	0	no_current_copy_review_flag
