source	marker	taxon_id	protein_id	sequence_sha256	source_marker_ready	family_tree_entry	family_tree_side	BRF1_evidence_class
AlphaFold	4986044at2759	F1005962	XP_013932858.1	f6481c0fa0f21ab8894db8a616574b8b5f4973cb7d1eff7e9542cf983c5c6b93	True	G0000004	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F101028	XP_009256665.1	531ef7f1b284fbb83f61a90207c643cdf994f16f01d5bc5df9ef4c95263b3b6e	True	G0000013	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F101097	KAF9996083.1	1cc2af319684923e26485fa02ab6d13e1864ae9da333bb7f41056eeb25d1c7c9	True	G0000016	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F101201	XP_024763307.1	5496d47cad4e78095a464e038546fbddc9d7a4290ff3484dd5bc1b073b1f92cc	True	G0000026	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1042133	XP_044675648.1	d96dadb3e6ee93a07146995c98993891a1727d87110d9d4cebd6d83c031eb844	True	G0000033	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1048829	XP_002790917.1	49fe364e95a45cf7b9c287a956415734792014d3cc69e2f444717553d7aa4455	True	G0000047	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1052096	XP_069228808.1	a9cb5349c346d9db50043120c5f0e1bcd0bf02a44cfef7aee45b49286e0002f9	True	G0000051	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F105984	XP_028472959.1	07e9ef511d04698c58d56aabe64890d2e32bf45fbb708b909fa83c3b65c56958	True	G0000056	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1069201	XP_041537456.1	79d2a2c181fadf74a6256675fbcfd1cea7fd0f8e141cc8612ba0b3ebea592755	True	G0000062	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1093897	XP_060284429.1	c6a6d077d9998c3a7055ac7b40ae6b2046821fcbf4ade948f140c514f7463554	True	G0000068	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1095194	XP_038743090.1	1e9ede89f3332694319a7d11be045f339326120987f92093a733ac1056931a72	True	G0000072	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1141098	XP_040710702.1	9af74ca654ed1226aba77611a1faad48e06a90e795855d482d9f9e940e90f9ea	True	G0000119	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F114524	XP_056088007.1	7c803c612103119f2add3aafb4ed5c25ccfdc4a07a78f2103bcb3e1036a29a02	True	G0000121	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F116794	CAF9909603.1	383d18d07c16ff8883169e919de132a502b40d1910ec56776acdc5fd49587e8d	True	G0000132	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F117187	XP_018757245.1	27632ea951d20638c023826c891af6acc45aa6f049614f6244ec5cd59ae255ba	True	G0000147	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1176130	KAF1987306.1	0ca59dcbed4e0ffe7a0b151521cd0efb2f7cbdc66c7bf7b20868457409c85ee0	True	G0000153	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1209916	XP_060316181.1	94e86e7a41e1c5dddbf135688f79d6ceb797687492faf6af88773728fef64950	True	G0000158	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1220207	XP_041554367.1	24486a5515d0da3b10184b5012d5e06d87ffb2eed0e4c354576e0f8e34f0aef1	True	G0000173	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F122368	XP_023455660.1	9d5e1607b2f91fa589c26f3411e58b601bab320374fcc5b4760ef4829a596353	True	G0000175	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1280837	XP_025351996.1	b0117ebab43152ed75ee615d30c429ced2cc0d8a3ce81d469dd832d07abd54ec	True	G0000189	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F13290	CAD7068324.1	393808a1ae6b20ffb96bc111f2f89082045724d6548c6d38b2a9d45c90a687aa	True	G0000207	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F13291	CAD6971897.1	393808a1ae6b20ffb96bc111f2f89082045724d6548c6d38b2a9d45c90a687aa	True	G0000210	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F133385	PVU88184.1	4254c5b6178961532dfd715334cded211e2440cb9a4bce203b0035b8bd00a56e	True	G0000219	BRF1_undetected_enriched	BRF1_not_detected
AlphaFold	4986044at2759	F1341166	XP_033534638.1	bca1cbcce1b7ba483963d125c5c7218278b06bb4c115a8f352a2e16d507aa6d4	True	G0000224	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F13502	XP_038778107.1	04edfbf6f6e8e0199230983c9b96c4f82f1000f121fedc631749416aa6f45e2c	True	G0000240	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F144539	CAG8465463.1	1ea5804a522af7c579877a125ee82fa53f6472b7f0cf3a9c9886495e7b56baa4	True	G0000276	BRF1_undetected_enriched	BRF1_not_detected
AlphaFold	4986044at2759	F145971	XP_049141351.1	b92cf3a18ae9469e8af17238e46bc5d393f6ebc0ff74fef5e24d006db92014f4	True	G0000291	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F147570	KAF2153164.1	d36b774ed7c34571367ce2f0b8510c8ec3103ef9f01e7d1a9365b78ae3ea1061	True	G0000295	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F147573	KAF2860257.1	0137c53d34a1130258eb2d315d394c9c5c0747f76d6dacb802b10d89c1e31101	True	G0000297	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F148304	KLU91445.1	76ee3f2596569948e4ce605f3d8179f63dea5c63bdd9666485c2b09069ba5e97	True	G0000301	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F148305	XP_030976520.1	c9c8e6162199d76b3064e19da6369e079a1544e26c6d0dd73cfedc18f5705698	True	G0000302	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1504668	KAF2096962.1	505300b9f4143b116fe2eb589c1fe697d42aef89b45e356cbb35f4da9caa3e3a	True	G0000310	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1507870	OQO10494.1	0eff72c6abbcb4028634330b17999513b104ae3a65ad917586d105dbcc45d6a2	True	G0000316	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F157183	CAD6961651.1	393808a1ae6b20ffb96bc111f2f89082045724d6548c6d38b2a9d45c90a687aa	True	G0000346	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F158046	KKY22862.1	1d2327cfbd959cb60056c9101ff24868c79c9fd92249ba34b75626ce0a9e9857	True	unresolved	outside_eligible_family_tree	unresolved
AlphaFold	4986044at2759	F162425	XP_660720.1	bd2c006615f2da51238ebd91594fe974156541ddfc8d064c271a699e086a5195	True	G0000355	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1658444	XP_049164614.1	55aab437cc675fff8e6deff97a0cc43da2a0977755e6f1d3a75099ff26398875	True	G0000361	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1670608	KAH0536588.1	8db4718052803a500dd4ff132e4abcb15174dc16a9509f284a35e41fcbe8d74c	True	G0000364	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1671311	XP_060390095.1	d62936b00cb53f4ae7457d54df4ab807c419c586bcbeb8485493e8323dfef21b	True	G0000366	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1690608	XP_064658872.1	b9a6b1d2fce867558edc830e909df727b7785aa7a31910d789bb0b9b82cdc33e	True	G0000377	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F173216	XP_062752731.1	c596e5b2cd87b6cc7ffcaeff60776290f1edce746880b5313758c53d22f4bf32	True	G0000394	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F177197	OIW28227.1	4bd6410eb3ccc1f257cb7aab13444a392baef2ddc2b94091041ade60a06ea722	True	G0000431	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F177199	RKU46257.1	b330aa928c08921a2a3df314450f68e01d991405616bcbb35e6c102fba287e7a	True	G0000434	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F182096	XP_043133321.1	b4502ee70ef70e286cb5d7cb072378b8a37f33502edc00647ddcdf4335b62300	True	G0000452	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1825666	KAK2066735.1	9e63bdd664b9a9534b0063e441e956324481c5da1a32e948cfc22a70d09a785f	True	G0000454	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F1940652	CAF9926553.1	6526d9c86a76f88fd0dda782327435c5038e0e638cec48a740775148025863eb	True	G0000507	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F195108	XP_053009142.1	5c0ec102f4d11eef9ab904305238f7d326723bf9a0a5abb9ead493be41380d04	True	G0000509	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2034170	XP_056028352.1	66f308f65731ee0cf0472196ed9ab1d351edf973d4c32ff3e0b1c7bc0b1f0e52	True	G0000530	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2082308	PNS15795.1	4e11dec84e004b06bd7f61ed05587611a005764c3ccc525c37ba755e150cb1ad	True	G0000539	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F209136	KAK3167270.1	6ab0986cbd0ab86f6124afd82d379ba724de1ddcb725876255494bb2e85bbee8	True	G0000550	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F223192	XP_007918858.1	69472f0fbd3ef0fa55ed6322a96e3c86a9702061bc6c9fa37146f02592fea093	True	G0000564	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F226899	XP_014171718.1	87fde51a044b173a233c4c5b6bea91db9c204f1853b2cc969919eac7496a05d7	True	G0000573	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2282107	PAV14827.1	9b16aac86f60f77edf9b137dd8b9a0a46be735c534a9e351984ed2d56c5f416e	True	G0000576	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F231932	XP_007399977.1	d13c22335e64bfaf483118af56e08a66055165f04dd7f480761eb97084b87f5d	True	G0000585	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F236234	XP_020134791.1	8b15e24df842ce3ea5dd06aafeaa30c00c13b4260377f9930541ba8397ee395d	True	G0000593	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2486360	XP_062675805.1	7d6abc97cacba71cd6d945c35ee76091ab877f1071a47a31cca4d7edbc9840a7	True	unresolved	outside_eligible_family_tree	unresolved
AlphaFold	4986044at2759	F2601811	KAG8626318.1	b0b63db7b01fe466c2c542947806c530cc500d4dc41850d722dd28bfea27844f	True	G0000616	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2606893	XP_031856681.1	5e70817cb365e530f03a021ce8dd2129332f4232e7c3acd211cdc0adac27ce35	True	G0000618	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F263815	XP_007875647.1	9c5d06510217e54754e5d7552b924500561b1dbe0f05cddcd2efe2d22b0127fd	True	G0000623	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2656787	XP_031874965.1	862e58b34c2708ec0b20e714713704b536579454bb1f1e545ccbde06011db776	True	G0000639	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F2813651	XP_011119714.1	774e9a7fb4e7534e64364e54e2c5b106c7606d9a3d0f595142a96784db31065e	True	G0000699	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F28583	KNE57138.1	10ad4c0a0b2c11c37e14cdd8540e194e1a4b1883a19869ac4083564cb859dd1a	True	G0000711	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F293227	XP_008711764.1	31e9debd8fd51f9aa053c59408379ebcc8e2599bf663555b2c63d13ccf89ba3b	True	unresolved	outside_eligible_family_tree	unresolved
AlphaFold	4986044at2759	F339359	KAJ2903326.1	160e5afa9f4e508677305e330def3793e047a22cba147911470a8a6e154f65a0	True	unresolved	outside_eligible_family_tree	unresolved
