marker	sites	sites_with_correspondence	sites_with_conserved_candidate	correspondence_rows
115730at2759	209	0	0	0
129234at2759	166	1	0	31
201273at2759	111	0	0	0
207567at2759	171	0	0	0
260326at2759	151	0	0	0
319730at2759	400	0	0	0
345792at2759	226	0	0	0
352891at2759	240	1	1	90
4613677at2759	73	0	0	0
4747214at2759	111	0	0	0
4803900at2759	101	0	0	0
4823929at2759	409	0	0	0
4837017at2759	196	0	0	0
4843824at2759	196	0	0	0
4867008at2759	177	0	0	0
4896098at2759	149	0	0	0
4900375at2759	169	0	0	0
4908955at2759	275	1	0	8
4969018at2759	336	1	1	8
4969636at2759	291	0	0	0
4969990at2759	345	0	0	0
4970387at2759	136	0	0	0
4971272at2759	375	0	0	0
4974767at2759	74	0	0	0
4976279at2759	228	1	1	4
4977163at2759	141	0	0	0
4985971at2759	281	1	0	2
5000045at2759	301	0	0	0
5000371at2759	411	0	0	0
5000452at2759	292	0	0	0
5000476at2759	306	0	0	0
5000743at2759	166	4	1	695
5001156at2759	229	0	0	0
5001273at2759	229	0	0	0
5001318at2759	261	0	0	0
5001413at2759	251	8	0	127
5001473at2759	81	0	0	0
5001734at2759	172	0	0	0
5002334at2759	227	0	0	0
5002573at2759	357	0	0	0
5003856at2759	219	0	0	0
5003972at2759	201	1	1	77
5004118at2759	81	0	0	0
5004478at2759	261	0	0	0
5005010at2759	92	0	0	0
5005174at2759	136	0	0	0
5005196at2759	291	0	0	0
5005274at2759	157	0	0	0
5005750at2759	107	0	0	0
5005892at2759	288	2	2	27
5013042at2759	333	0	0	0
5013067at2759	306	0	0	0
5013259at2759	120	0	0	0
5013539at2759	223	0	0	0
5013726at2759	165	0	0	0
5013738at2759	170	0	0	0
5015403at2759	314	0	0	0
5015712at2759	422	0	0	0
5015742at2759	394	0	0	0
5017019at2759	139	0	0	0
529759at2759	226	0	0	0
539632at2759	257	0	0	0
540946at2759	401	3	3	27
541070at2759	222	0	0	0
554735at2759	231	0	0	0
649304at2759	276	0	0	0
707076at2759	228	3	0	88
707202at2759	323	1	0	5
727964at2759	241	0	0	0
760428at2759	331	0	0	0
776280at2759	243	0	0	0
801816at2759	153	0	0	0
