taxa	columns	constant_columns	parsimony_informative_columns	all_gap_or_ambiguous_columns	unambiguous_residue_fraction	marker	columns_occupancy_0.25	columns_occupancy_0.5	columns_occupancy_0.75
481	4061	2639	664	0	0.09086431913321842	115730at2759	386	339	313
472	3276	1732	540	0	0.06847501603857536	129234at2759	209	193	181
487	5911	2914	1461	0	0.1569846633343257	160487at2759	936	892	860
478	4626	2692	443	0	0.06013762488535782	201273at2759	262	260	259
478	3133	1525	594	0	0.0650605579423788	207567at2759	188	180	180
488	6081	4043	690	0	0.03292909114926632	260326at2759	173	170	167
477	6764	3929	1260	0	0.08388378727186846	2852757at2759	587	502	458
504	3670	1688	1192	0	0.18579970589507375	288615at2759	737	673	598
491	5603	2698	839	0	0.08642918599397399	319730at2759	481	452	441
468	7919	3505	2141	0	0.10389839216079903	340246at2759	909	727	620
482	5307	3122	667	0	0.06210188219270407	345792at2759	329	306	276
472	845	240	352	0	0.31791946645271285	352891at2759	294	252	249
462	6334	2647	2146	0	0.13830328181449117	3643464at2759	969	789	692
478	6168	3768	591	0	0.02614723583456794	4613677at2759	147	131	113
486	3772	1247	1611	0	0.2922421655778555	4695236at2759	1146	1091	1048
480	2953	1675	396	0	0.054302827632915676	4747214at2759	161	145	138
475	6851	4481	1029	0	0.08116802003549232	4764044at2759	592	524	466
418	2581	1444	455	0	0.059207050418127315	4803900at2759	137	123	118
452	8097	3531	2340	2	0.11221243309824135	4810093at2759	962	804	752
486	9455	4307	2972	0	0.11267167631818904	4813267at2759	1275	933	733
492	8708	4395	1405	0	0.05829631476149396	4823929at2759	501	443	412
489	2234	1519	453	0	0.11228403571500495	4837017at2759	260	232	220
486	6383	3011	1474	2	0.1142769921905473	4838864at2759	823	672	565
476	10318	4847	2625	0	0.0780658260590532	4843240at2759	913	705	564
432	5837	3682	563	0	0.040748592947924794	4843824at2759	241	200	187
476	6166	3394	1032	0	0.037424668213052334	4867008at2759	199	184	168
471	14070	7481	3244	0	0.07558205333659274	4888252at2759	1067	956	884
463	7165	3381	1205	0	0.04171918026041518	4896098at2759	288	209	186
496	3814	2159	804	0	0.06474660419168767	4900375at2759	249	213	195
499	1894	803	646	0	0.18622355587627207	4908955at2759	377	329	309
479	5723	2705	1799	4	0.1853080107116397	4911644at2759	1158	974	903
460	7873	3898	2431	0	0.13535583916412175	4940884at2759	1273	964	742
488	3687	1945	824	0	0.13455117003917175	4969018at2759	518	477	437
480	3617	1790	1057	0	0.13317320984241085	4969636at2759	517	424	381
483	2970	1711	562	4	0.1222724135767614	4969990at2759	353	352	350
444	5380	3484	373	0	0.03326593321946482	4970387at2759	166	156	143
485	4590	1986	1471	0	0.21308896525391371	4970538at2759	998	966	945
473	4574	1744	1195	0	0.10926590315146462	4971272at2759	494	448	439
465	3851	2098	406	0	0.0428203259591839	4974767at2759	149	147	145
477	8428	4942	1508	34	0.12375191410482578	4975094at2759	1057	1020	987
464	5851	1971	1892	0	0.09353912387508177	4976279at2759	596	443	367
470	3836	1508	757	0	0.06122789696714219	4977163at2759	246	193	175
482	6210	2985	1623	0	0.11254969564549215	4977863at2759	785	643	532
486	4660	2533	1123	0	0.11631916847701301	4983000at2759	564	504	483
492	3977	2153	822	0	0.09792741188664086	4985971at2759	425	359	305
495	6813	3034	2314	0	0.0986690625616209	4986044at2759	783	526	409
480	6360	3014	2061	15	0.15449554507337526	4987397at2759	1061	905	810
480	9016	5700	1591	0	0.12017431972789115	4988239at2759	1124	1063	985
476	15706	7374	3249	1	0.15469052131230693	4999134at2759	2380	2347	2316
482	4068	2848	573	0	0.09689888085125481	5000045at2759	384	381	381
486	5722	2100	1835	0	0.21242644446458187	5000152at2759	1235	1196	1183
475	4844	2547	1264	0	0.19162067017254117	5000362at2759	952	907	890
465	6315	2722	1503	0	0.078219634085085	5000371at2759	493	433	390
462	3718	1726	630	0	0.08469211441239413	5000452at2759	324	294	274
479	5795	3526	627	0	0.07698631568139692	5000476at2759	494	392	377
493	1858	1024	376	0	0.10228997133168995	5000743at2759	194	180	173
470	7877	3719	2132	0	0.13317117706006446	5000823at2759	1116	984	878
486	6584	4414	1115	0	0.1222926635964978	5000870at2759	840	770	722
472	8420	4498	1802	0	0.07353984661218245	5000986at2759	667	539	438
478	5375	2879	1307	0	0.0827720151795271	5001156at2759	508	348	291
454	4385	2749	547	0	0.0617880338960915	5001273at2759	271	244	232
496	4894	2047	1847	9	0.16992293064582042	5001280at2759	918	756	684
474	3152	891	1306	0	0.14755215361219987	5001318at2759	497	434	371
491	4125	2754	476	0	0.07317410356106893	5001413at2759	293	282	279
