representative_input_id	cluster_input_id	source	model_id	model_version	sequence_sha256	length	mean_ca_plddt	model_path	model_sha256	reviewed_group_id	disposition	normalization_membership_change
M009870	M000145	AlphaFold	AF-A0A074XU16-F1	6	e8d0deb422d8c05ae5443e7704aef83df8fa8f11c8393c7376960f154fe223be	965	70.9039792746113	data/structures/afdb/AF-A0A074XU16-F1-v6.cif	cf544de0cc4e4be75425535cc229243bce367a735a2183e60379d281d5f1cad5	RG_M009870	bidirectional_edge_pass	newly_deferred
M000079	M002019	AlphaFold	AF-A0A1J7J526-F1	6	30f21ae4b821552137dda9669d67162f2ce203fd033348a4cab97d9bc4c444af	116	91.69163793103449	data/structures/afdb/AF-A0A1J7J526-F1-v6.cif	e14294202bd1e589e888c112e1340529a8fed1eddab1815e74c6a820a57b2f3e	RG_M000079	bidirectional_edge_pass	restored
M005988	M003013	AlphaFold	AF-A0A2T3B4L9-F1	6	55cfd4ef285c214f77e9a014a8f8faa69026ac96292203eb67f4e188a9dbcccd	456	69.1235526315789	data/structures/afdb/AF-A0A2T3B4L9-F1-v6.cif	cecad7bae7aec1fa0a268f2200c43b78acc13069ddae10936280960893bb2a8b	RG_M005988	bidirectional_edge_pass	newly_deferred
M006771	M003040	AlphaFold	AF-A0A2T3BA99-F1	6	9fea8c6d60bd64639331124e75736b376da6e1396fe23c84f4dd8821d5e0c515	124	92.17249999999994	data/structures/afdb/AF-A0A2T3BA99-F1-v6.cif	f2101a64477d2bf8f35e770ac58fe7a2064b7eb9921968bc608118c8db089339	RG_M006771	bidirectional_edge_pass	restored
M015609	M003356	AlphaFold	AF-A0A2T4BL31-F1	6	658994c5ee528bd6fe55ce1db5f29fde747a2b0feaeecd9c3399d3af9118722e	284	71.39352112676062	data/structures/afdb/AF-A0A2T4BL31-F1-v6.cif	f328cdb0bc1a78bc6eb99353adeacc6953100142ab79b0c52177f2e31105bf83	RG_M015609	bidirectional_edge_pass	newly_deferred
M000079	M003552	AlphaFold	AF-A0A370THT1-F1	6	03029ed23497eca7ce6a0b108974982d56c8c1348fd9863eefb556a10d1ccff4	116	92.32784482758623	data/structures/afdb/AF-A0A370THT1-F1-v6.cif	8e7efeddecd2910d9f646f225367bbb3a5220af412dd662fc5e8bf713ad902b8	RG_M000079	bidirectional_edge_pass	restored
M000079	M003654	AlphaFold	AF-A0A384J5P4-F1	6	6497f1ca32d14c7836fd8c45930a4408d33669dcf9fa2945929cb8670a73d596	116	92.10689655172415	data/structures/afdb/AF-A0A384J5P4-F1-v6.cif	4bc36428dcbff91db879f3608a8566671e9ae7b88f2d5f5432ac8e81815427a3	RG_M000079	bidirectional_edge_pass	restored
M012624	M004017	AlphaFold	AF-A0A437ACX0-F1	6	f876a20a373e9792953b2aa8c39c2390c6616982d65314e0af14773febe21caf	702	71.30706552706559	data/structures/afdb/AF-A0A437ACX0-F1-v6.cif	5483c6a841b5d93a282785f29affa32698dc04b552397fbffa686e9b884da893	RG_M012624	bidirectional_edge_pass	newly_deferred
M001167	M004569	AlphaFold	AF-A0A6A6QTC8-F1	6	ff9aba5a8b004fbd6fc462128684a6740fe93d67359c2d9279d9c987b3a05359	286	93.59667832167838	data/structures/afdb/AF-A0A6A6QTC8-F1-v6.cif	b80e25fcb62dcb4d2ff1ee7bc0b921730ad30f0f4bb4c238e0acb19cdcb1c91f	RG_M001167	bidirectional_edge_pass	restored
M001167	M004897	AlphaFold	AF-A0A6A6XZL7-F1	6	b16979ab8e19e70773b90eb22c31c99856fa22cdf437db0f3f772e0b70195dc6	286	93.91374125874121	data/structures/afdb/AF-A0A6A6XZL7-F1-v6.cif	231da5fbc015042e00a3b32eb11a80a6edd150b13f24524425789298744b9623	RG_M001167	bidirectional_edge_pass	restored
