marker	taxon_id	protein_id	review_sequence_id	matrix_marker_columns	observed_canonical_residues	observed_fraction	cds_audit_statuses	baseline_taxa_preserved	review_status
345792at2759	F610337	KAJ9091994.1	F610337|345792at2759|KAJ9091994.1	226	195	0.8628318584070797	exact_translation	526	candidate_placement_and_copy_review_pending
345792at2759	F27376	CAG8780007.1	F27376|345792at2759|CAG8780007.1	226	125	0.5530973451327433	exact_translation	526	candidate_placement_and_copy_review_pending
4764044at2759	F610337	KAJ9094313.1	F610337|4764044at2759|KAJ9094313.1	391	382	0.9769820971867008	exact_translation	526	candidate_placement_and_copy_review_pending
4803900at2759	F610337	KAJ9112374.1	F610337|4803900at2759|KAJ9112374.1	106	106	1.0	exact_translation	526	candidate_placement_and_copy_review_pending
4813267at2759	F27376	CAG8523761.1	F27376|4813267at2759|CAG8523761.1	578	416	0.7197231833910035	exact_translation	526	candidate_placement_and_copy_review_pending
4823929at2759	F610337	KAJ9093607.1	F610337|4823929at2759|KAJ9093607.1	420	176	0.41904761904761906	exact_translation	526	candidate_placement_and_copy_review_pending
4838864at2759	F610337	KAJ9102989.1	F610337|4838864at2759|KAJ9102989.1	458	404	0.8820960698689956	exact_translation	526	candidate_placement_and_copy_review_pending
4867008at2759	F610337	KAJ9092321.1	F610337|4867008at2759|KAJ9092321.1	177	113	0.6384180790960452	exact_translation	526	candidate_placement_and_copy_review_pending
4908955at2759	F610337	KAJ9110443.1	F610337|4908955at2759|KAJ9110443.1	318	241	0.7578616352201258	exact_translation	526	candidate_placement_and_copy_review_pending
4908955at2759	F610337	KAJ9110626.1	F610337|4908955at2759|KAJ9110626.1	318	256	0.8050314465408805	exact_translation	526	candidate_placement_and_copy_review_pending
4911644at2759	F610337	KAJ9109707.1	F610337|4911644at2759|KAJ9109707.1	744	726	0.9758064516129032	exact_translation	526	candidate_placement_and_copy_review_pending
4970538at2759	F27376	CAG8497297.1	F27376|4970538at2759|CAG8497297.1	900	725	0.8055555555555556	exact_translation	526	candidate_placement_and_copy_review_pending
4970538at2759	F27376	CAG8609760.1	F27376|4970538at2759|CAG8609760.1	900	606	0.6733333333333333	exact_translation	526	candidate_placement_and_copy_review_pending
4976279at2759	F610337	KAJ9112607.1	F610337|4976279at2759|KAJ9112607.1	228	115	0.5043859649122807	exact_translation	526	candidate_placement_and_copy_review_pending
5000371at2759	F610337	KAJ9104053.1	F610337|5000371at2759|KAJ9104053.1	429	371	0.8648018648018648	exact_translation	526	candidate_placement_and_copy_review_pending
5001273at2759	F27376	CAG8465372.1	F27376|5001273at2759|CAG8465372.1	229	190	0.8296943231441049	non_triplet_length	526	candidate_placement_and_copy_review_pending
5001318at2759	F610337	KAJ9091648.1	F610337|5001318at2759|KAJ9091648.1	310	145	0.46774193548387094	exact_translation	526	candidate_placement_and_copy_review_pending
5001413at2759	F610337	KAJ9100768.1	F610337|5001413at2759|KAJ9100768.1	251	208	0.8286852589641435	exact_translation	526	candidate_placement_and_copy_review_pending
5001473at2759	F610337	KAJ9094376.1	F610337|5001473at2759|KAJ9094376.1	81	50	0.6172839506172839	exact_translation	526	candidate_placement_and_copy_review_pending
5002573at2759	F610337	KAJ9112282.1	F610337|5002573at2759|KAJ9112282.1	357	219	0.6134453781512605	exact_translation	526	candidate_placement_and_copy_review_pending
5003856at2759	F610337	KAJ9104961.1	F610337|5003856at2759|KAJ9104961.1	219	176	0.8036529680365296	exact_translation	526	candidate_placement_and_copy_review_pending
5003856at2759	F27376	CAG8452709.1	F27376|5003856at2759|CAG8452709.1	219	53	0.2420091324200913	exact_translation	526	candidate_placement_and_copy_review_pending
5003972at2759	F610337	KAJ9094644.1	F610337|5003972at2759|KAJ9094644.1	205	174	0.848780487804878	exact_translation	526	candidate_placement_and_copy_review_pending
5004118at2759	F610337	KAJ9103634.1	F610337|5004118at2759|KAJ9103634.1	134	100	0.746268656716418	exact_translation	526	candidate_placement_and_copy_review_pending
5005010at2759	F610337	KAJ9101953.1	F610337|5005010at2759|KAJ9101953.1	92	88	0.9565217391304348	exact_translation	526	candidate_placement_and_copy_review_pending
5005215at2759	F610337	KAJ9102662.1	F610337|5005215at2759|KAJ9102662.1	243	239	0.9835390946502057	exact_translation	526	candidate_placement_and_copy_review_pending
5005274at2759	F610337	KAJ9111689.1	F610337|5005274at2759|KAJ9111689.1	233	232	0.9957081545064378	exact_translation	526	candidate_placement_and_copy_review_pending
5005697at2759	F610337	KAJ9110910.1	F610337|5005697at2759|KAJ9110910.1	243	137	0.5637860082304527	exact_translation	526	candidate_placement_and_copy_review_pending
5006326at2759	F27376	CAG8560967.1	F27376|5006326at2759|CAG8560967.1	539	214	0.3970315398886827	exact_translation	526	candidate_placement_and_copy_review_pending
5006326at2759	F27376	CAG8560988.1	F27376|5006326at2759|CAG8560988.1	539	173	0.3209647495361781	non_triplet_length	526	candidate_placement_and_copy_review_pending
5011777at2759	F610337	KAJ9100114.1	F610337|5011777at2759|KAJ9100114.1	656	552	0.8414634146341463	exact_translation	526	candidate_placement_and_copy_review_pending
5011777at2759	F610337	KAJ9110660.1	F610337|5011777at2759|KAJ9110660.1	656	131	0.19969512195121952	exact_translation	526	candidate_placement_and_copy_review_pending
5011777at2759	F610337	KAJ9113858.1	F610337|5011777at2759|KAJ9113858.1	656	171	0.2606707317073171	exact_translation	526	candidate_placement_and_copy_review_pending
5013259at2759	F610337	KAJ9091993.1	F610337|5013259at2759|KAJ9091993.1	144	102	0.7083333333333334	exact_translation	526	candidate_placement_and_copy_review_pending
5013726at2759	F610337	KAJ9093817.1	F610337|5013726at2759|KAJ9093817.1	171	166	0.9707602339181286	non_triplet_length	526	candidate_placement_and_copy_review_pending
5014007at2759	F610337	KAJ9102892.1	F610337|5014007at2759|KAJ9102892.1	521	466	0.8944337811900192	exact_translation	526	candidate_placement_and_copy_review_pending
5015742at2759	F27376	CAG8606725.1	F27376|5015742at2759|CAG8606725.1	419	274	0.6539379474940334	non_triplet_length	526	candidate_placement_and_copy_review_pending
5015876at2759	F610337	KAJ9100935.1	F610337|5015876at2759|KAJ9100935.1	325	131	0.40307692307692305	exact_translation	526	candidate_placement_and_copy_review_pending
760428at2759	F610337	KAJ9095355.1	F610337|760428at2759|KAJ9095355.1	338	307	0.908284023668639	exact_translation	526	candidate_placement_and_copy_review_pending
760428at2759	F610337	KAJ9108591.1	F610337|760428at2759|KAJ9108591.1	338	113	0.3343195266272189	exact_translation	526	candidate_placement_and_copy_review_pending
776280at2759	F610337	KAJ9113971.1	F610337|776280at2759|KAJ9113971.1	261	87	0.3333333333333333	exact_translation	526	candidate_placement_and_copy_review_pending
