taxon_id	input_sha256	complete_percent	single_copy_percent	duplicated_percent	fragmented_percent	missing_percent	markers	summary_sha256	summary_path
F1005962	0f13521540fafc9f7ab18afec6c479eaf870c010830425d20ed7622d1f9639d4	96.8	96.8	0.0	0.8	2.4	125	ee48d44191ee169af305b413c4d2c4639e723296152c1e5623128ce3b7b881b5	results/busco/F1005962/short_summary.specific.eukaryota_odb12.2.F1005962.json
F1006475	318625ad424c52c15d9ce543a232a32118ca5af01ccecea9abf1abe1bb7c963b	86.4	84.8	1.6	4.0	9.6	125	e9bb1d97dd7209cf2a471a120660759ff016b43bfffad39fe48e08d60c89c4c8	results/busco/F1006475/short_summary.specific.eukaryota_odb12.2.F1006475.json
F101028	5c5f0af671fadf8299c8357f3e58e56e44a5f3afd4a6587260558795f60566e4	98.4	98.4	0.0	0.0	1.6	125	3aa14163f253e00d9fd849625c5b8a16d8e49da35c2ff084fd11d069292ba652	results/busco/F101028/short_summary.specific.eukaryota_odb12.2.F101028.json
F101201	15add933eedf0f68fe6e470119aa45910d9a89eaf09ade44ca46666747ac3a28	99.2	96.8	2.4	0.8	0.0	125	6193046aec12aa3006cb87e97e0449ca558c750c947b29c46ec746d1cc3ca15d	results/busco/F101201/short_summary.specific.eukaryota_odb12.2.F101201.json
F1042133	57e5af268f576dafd701ea01fca17c4a480bf6c2fbb4ece82f547d851a32e65c	98.4	97.6	0.8	0.0	1.6	125	8bd63c2b167e6e5c235c00d166f387e4603ffefdb6831f4701d2060b67844039	results/busco/F1042133/short_summary.specific.eukaryota_odb12.2.F1042133.json
F1042397	43ffdcc7774b358977e18d1cd17f99ba1ad579dc986240f87703c646e8217265	94.4	94.4	0.0	0.8	4.8	125	00731a7a2b858bf37670201d9d418cfca0636329f08f5bbff9b314902548727e	results/busco/F1042397/short_summary.specific.eukaryota_odb12.2.F1042397.json
F1048519	136a769c9989436672ca0dd169482a96916a0f4e028434a527f49598ec915e8e	99.2	99.2	0.0	0.0	0.8	125	701b588e0ac35bafc173d215149dee1fe41c56a585906d821572ddb78a6370a3	results/busco/F1048519/short_summary.specific.eukaryota_odb12.2.F1048519.json
F1048829	20701307caef40e9afdd8b3ef4305fc6bc569610d0d5b7e0442c3afd9169831c	100.0	100.0	0.0	0.0	0.0	125	55f5a878c7895825792d0275b35b588dd1d1efe06f59d2fcf97e7d4f4d445855	results/busco/F1048829/short_summary.specific.eukaryota_odb12.2.F1048829.json
F1048955	1933eb828910a75ef1147d97afcf3fc645aa00a63a3098aeea0795a77b9be16e	100.0	100.0	0.0	0.0	0.0	125	57f5cb5f544ccdc71c87ea9500944e718fdd516c1ea2a1d139737a5cbdde4879	results/busco/F1048955/short_summary.specific.eukaryota_odb12.2.F1048955.json
F1052096	3d9b587521a9aaf00cd5deaf4e6578ba7f638cc28d6fa3b1c5285aa3470de2c7	100.0	100.0	0.0	0.0	0.0	125	358f7daf6cec507f3c265769fa72b8529cc5c39396883e06e7a2749982b9051f	results/busco/F1052096/short_summary.specific.eukaryota_odb12.2.F1052096.json
