model_id	length	zero_ASA_960	zero_ASA_3840	zero_nonzero_disagreements	high_confidence_residues	high_confidence_zero_nonzero_disagreements	maximum_difference_for_zero_nonzero_disagreements_A2	median_absolute_residue_ASA_difference_A2	p95_absolute_residue_ASA_difference_A2	maximum_absolute_residue_ASA_difference_A2	total_ASA_960_A2	total_ASA_3840_A2
AF-A0AAV5QKE4-F1	122	1	1	0	118	0	0	0.31094044188598435	0.8932854947599322	1.4692656154678616	9806.177241583951	9811.482544327595
AF-P38902-F1	120	1	1	0	118	0	0	0.27285435782283685	0.8533326501620633	1.385491447618307	9234.973890252859	9241.113559099143
AF-E4UWR3-F1	256	3	3	0	184	0	0	0.3096772598398374	1.1986056273886376	1.9744818198026053	22156.31118013053	22144.888456252578
AF-A0AAD5WS52-F1	146	0	0	0	119	0	0	0.3408709841453632	1.0113593421269158	1.3606470129654156	11908.041099592947	11905.18562454504
AF-U5GZB8-F1	446	0	0	0	170	0	0	0.3790009196059998	1.1289596271262887	1.8825951434236288	52244.43965399792	52260.696174686105
AF-A0A1E4TXL3-F1	399	5	4	1	228	0	0.09434595437811846	0.3038482964705125	1.0390464599824056	1.6582883732004348	25406.83163308075	25399.019414339615
AF-A0A8K0L0H6-F1	880	14	10	6	643	6	0.12579460583749127	0.2837134691795091	1.0025807995924707	2.0493904786335833	58234.57774822936	58245.16703506526
AF-A0A875RYY5-F1	969	72	58	14	823	14	0.11515638771427283	0.22882837289972446	0.9577717890629225	1.7942551942508658	51903.631865606774	51882.42033531906
AF-A0AAE9W7D1-F1	1033	44	37	13	768	13	0.228387240931283	0.2515892116749896	1.050539813080937	2.0107636152099815	62367.029328208955	62373.2006636547
AF-P13382-F1	1468	50	47	5	1050	5	0.1886919087562369	0.27723082546374656	1.1038997315772179	1.8070882729915354	101111.09295628365	101099.27399248729
