containing_accession	containing_name	nested_accession	nested_name	containing_clan	nested_clan	source_NE_occurrence
PF00389.37	2-Hacid_dh	PF02826.26	2-Hacid_dh_C	CL0063	CL0063	1
PF00001.27	7tm_1	PF01498.25	HTH_Tnp_Tc3_2	CL0192	CL0123	1
PF00005.34	ABC_tran	PF00385.31	Chromo	CL0023	CL0010	1
PF01757.29	Acyl_transf_3	PF00023.37	Ank	CL0316	CL0465	1
PF00406.30	ADK	PF05191.21	ADK_lid	CL0023	CL0167	1
PF05221.24	AdoHcyase	PF00670.28	AdoHcyase_NAD	CL0063	CL0063	1
PF06964.19	Alpha-L-AF_C	PF06439.19	3keto-disac_hyd	CL0369	CL0004	1
PF03960.22	ArsC	PF00408.27	PGM_PMM_IV	CL0172	CL0407	1
PF03773.20	ArsP_1	PF04945.20	YHS	CL0182	CL0175	1
PF00026.29	Asp	PF03489.23	SapB_2	CL0129	CL0707	1
PF00026.29	Asp	PF05184.21	SapB_1	CL0129	CL0707	2
PF00006.32	ATP-synt_ab	PF05203.22	Hom_end_hint	CL0023	CL0363	1
PF00006.32	ATP-synt_ab	PF05204.20	Hom_end	CL0023	CL0324	2
PF25964.1	BSH_ALG44	PF25891.2	Hl_ALG44	CL0105		1
PF25919.1	BSH_CusB	PF25869.1	3HB_CusB	CL0105	CL0900	1
PF25973.1	BSH_CzcB	PF25893.1	HH_CzcB	CL0105	CL0900	1
PF25935.1	BSH_LcnD	PF25887.2	HB_LcnD	CL0105	CL0900	1
PF25917.1	BSH_RND	PF25876.1	HH_MFP_RND	CL0105	CL0900	1
PF26018.1	BSH_RND_rel	PF26012.1	HH_RND_rel	CL0105	CL0900	1
PF25984.1	BSH_YknX	PF25982.2	HH_YknX	CL0105	CL0900	1
PF04857.27	CAF1	PF00642.31	zf-CCCH	CL0219	CL0537	1
PF04857.27	CAF1	PF01424.29	R3H	CL0219	CL0879	2
PF20955.4	Caud_bapl16_4th	PF20953.3	Caud_bapl16_3rd	CL0504		1
PF01656.30	CbiA	PF00037.33	Fer4	CL0023	CL0344	1
PF01656.30	CbiA	PF14332.12	PatA_N	CL0023	CL0928	2
PF12770.13	CHAT	PF13180.13	PDZ_2	CL0093	CL0466	1
PF03600.23	CitMHS	PF02080.27	TrkA_C	CL0182	CL0582	1
PF03600.23	CitMHS	PF13426.14	PAS_9	CL0182	CL0183	2
PF08881.16	CVNH	PF01476.27	LysM		CL0187	1
PF00270.36	DEAD	PF00622.37	SPRY	CL0023	CL0004	1
PF01368.28	DHH	PF07085.18	DRTGG	CL0137	CL0063	1
PF01368.28	DHH	PF00571.34	CBS	CL0137		2
PF03796.22	DnaB_C	PF14890.12	Intein_splicing	CL0023	CL0363	1
PF03796.22	DnaB_C	PF14528.12	LAGLIDADG_3	CL0023	CL0324	2
PF01556.24	DnaJ_C	PF00684.26	DnaJ_CXXCXGXG		CL0895	1
PF12157.14	DUF3591	PF00240.30	ubiquitin	CL0662	CL0072	1
PF04015.18	DUF362	PF12838.13	Fer4_7	CL0471	CL0344	1
PF13598.13	DUF4139	PF07715.21	Plug	CL0287		1
PF13598.13	DUF4139	PF13715.13	CarbopepD_reg_2	CL0287	CL0287	2
PF13598.13	DUF4139	PF00240.30	ubiquitin	CL0287	CL0072	3
