marker	genus_label	tree_taxa	manifest_group_taxa	group_taxa_in_tree	missing_group_taxa	status	edge_separable	separating_edge_sh_alrt	incompatible_edges	incompatible_edges_sh_alrt_ge80	max_incompatible_edge_sh_alrt
115730at2759	Amanita	481	7	5	F1004511;F87326	assessed	True	86.9	0	0	
115730at2759	Aspergillus	481	10	10		assessed	True	99.5	0	0	
115730at2759	Candida	481	6	5	F5486	assessed	True	100	0	0	
115730at2759	Colletotrichum	481	10	10		assessed	True	99.8	0	0	
115730at2759	Cryptococcus	481	10	10		assessed	False		3	2	97.3
115730at2759	Fusarium	481	10	10		assessed	False		5	3	93.4
115730at2759	Malassezia	481	5	5		assessed	True	98.5	0	0	
115730at2759	Microbotryum	481	4	4		assessed	True	94.8	0	0	
115730at2759	Naganishia	481	4	4		assessed	True	99.7	0	0	
115730at2759	Saccharomyces	481	9	8	F332112	assessed	True	98.4	0	0	
115730at2759	Serendipita	481	5	5		assessed	False		1	0	36.8
115730at2759	Suillus	481	10	9	F48587	assessed	True	99.3	0	0	
115730at2759	Tilletia	481	5	5		assessed	True	100	0	0	
115730at2759	Trichoderma	481	10	10		assessed	True	99.1	0	0	
115730at2759	Umbelopsis	481	4	4		assessed	True	99.2	0	0	
115730at2759	Wallemia	481	4	4		assessed	True	99.9	0	0	
129234at2759	Amanita	472	7	7		assessed	True	90.6	0	0	
129234at2759	Aspergillus	472	10	10		assessed	True	95.2	0	0	
129234at2759	Candida	472	6	4	F241526;F5486	assessed	True	98.7	0	0	
129234at2759	Colletotrichum	472	10	10		assessed	True	55.6	0	0	
129234at2759	Cryptococcus	472	10	8	F104669;F5207	assessed	True	95.4	0	0	
129234at2759	Fusarium	472	10	10		assessed	False		1	1	80.5
129234at2759	Malassezia	472	5	3	F76777;F77020	insufficient_taxon_coverage					
129234at2759	Microbotryum	472	4	4		assessed	True	86.9	0	0	
129234at2759	Naganishia	472	4	4		assessed	False		32	20	98.9
129234at2759	Saccharomyces	472	9	8	F706196	assessed	True	91.3	0	0	
129234at2759	Serendipita	472	5	4	F2600215	assessed	True	100	0	0	
129234at2759	Suillus	472	10	9	F1904413	assessed	True	97.4	0	0	
129234at2759	Tilletia	472	5	5		assessed	True	90	0	0	
129234at2759	Trichoderma	472	10	10		assessed	True	99	0	0	
129234at2759	Umbelopsis	472	4	4		assessed	True	99.9	0	0	
129234at2759	Wallemia	472	4	4		assessed	True	100	0	0	
160487at2759	Amanita	487	7	6	F1004511	assessed	True	100	0	0	
160487at2759	Aspergillus	487	10	10		assessed	True	100	0	0	
160487at2759	Candida	487	6	5	F5486	assessed	True	100	0	0	
160487at2759	Colletotrichum	487	10	10		assessed	True	100	0	0	
160487at2759	Cryptococcus	487	10	9	F104669	assessed	True	100	0	0	
160487at2759	Fusarium	487	10	10		assessed	True	99.1	0	0	
160487at2759	Malassezia	487	5	5		assessed	True	100	0	0	
160487at2759	Microbotryum	487	4	4		assessed	True	100	0	0	
160487at2759	Naganishia	487	4	3	F610337	insufficient_taxon_coverage					
160487at2759	Saccharomyces	487	9	8	F27292	assessed	True	100	0	0	
160487at2759	Serendipita	487	5	4	F2600213	assessed	True	100	0	0	
160487at2759	Suillus	487	10	8	F48587;F48593	assessed	True	100	0	0	
160487at2759	Tilletia	487	5	5		assessed	True	100	0	0	
160487at2759	Trichoderma	487	10	10		assessed	True	100	0	0	
160487at2759	Umbelopsis	487	4	4		assessed	True	100	0	0	
160487at2759	Wallemia	487	4	4		assessed	True	100	0	0	
201273at2759	Amanita	478	7	7		assessed	False		4	0	78.0
201273at2759	Aspergillus	478	10	10		assessed	True	96.4	0	0	
201273at2759	Candida	478	6	3	F42374;F5476;F5486	insufficient_taxon_coverage					
201273at2759	Colletotrichum	478	10	9	F474922	assessed	True	75.9	0	0	
201273at2759	Cryptococcus	478	10	10		assessed	True	96.4	0	0	
201273at2759	Fusarium	478	10	10		assessed	True	98.4	0	0	
201273at2759	Malassezia	478	5	5		assessed	True	99.8	0	0	
201273at2759	Microbotryum	478	4	4		assessed	True	99.1	0	0	
201273at2759	Naganishia	478	4	4		assessed	True	98.9	0	0	
201273at2759	Saccharomyces	478	9	7	F27292;F332112	assessed	True	99.5	0	0	
201273at2759	Serendipita	478	5	5		assessed	True	99.9	0	0	
201273at2759	Suillus	478	10	9	F48593	assessed	True	91.5	0	0	
201273at2759	Tilletia	478	5	5		assessed	True	99.8	0	0	
201273at2759	Trichoderma	478	10	10		assessed	True	97.2	0	0	
201273at2759	Umbelopsis	478	4	4		assessed	True	98.5	0	0	
201273at2759	Wallemia	478	4	4		assessed	True	100	0	0	
207567at2759	Amanita	478	7	7		assessed	False		3	0	79.6
207567at2759	Aspergillus	478	10	9	F1069201	assessed	False		22	12	99.2
207567at2759	Candida	478	6	5	F241526	assessed	True	93.8	0	0	
207567at2759	Colletotrichum	478	10	10		assessed	True	99.9	0	0	
207567at2759	Cryptococcus	478	10	10		assessed	True	95.4	0	0	
207567at2759	Fusarium	478	10	10		assessed	True	99.1	0	0	
207567at2759	Malassezia	478	5	5		assessed	True	99.2	0	0	
207567at2759	Microbotryum	478	4	3	F796604	insufficient_taxon_coverage					
207567at2759	Naganishia	478	4	4		assessed	True	99	0	0	
207567at2759	Saccharomyces	478	9	7	F27292;F332112	assessed	True	98.8	0	0	
207567at2759	Serendipita	478	5	5		assessed	False		2	1	82.0
207567at2759	Suillus	478	10	10		assessed	True	93.6	0	0	
207567at2759	Tilletia	478	5	5		assessed	True	99.9	0	0	
207567at2759	Trichoderma	478	10	10		assessed	True	100	0	0	
207567at2759	Umbelopsis	478	4	4		assessed	True	98.1	0	0	
207567at2759	Wallemia	478	4	4		assessed	True	99	0	0	
260326at2759	Amanita	488	7	6	F71933	assessed	False		1	1	84.6
260326at2759	Aspergillus	488	10	10		assessed	True	100	0	0	
260326at2759	Candida	488	6	4	F241526;F5486	assessed	True	0	0	0	
260326at2759	Colletotrichum	488	10	10		assessed	True	85.8	0	0	
260326at2759	Cryptococcus	488	10	10		assessed	True	96.6	0	0	
260326at2759	Fusarium	488	10	10		assessed	True	95.1	0	0	
260326at2759	Malassezia	488	5	3	F2020962;F76777	insufficient_taxon_coverage					
260326at2759	Microbotryum	488	4	4		assessed	True	99.6	0	0	
260326at2759	Naganishia	488	4	4		assessed	False		18	11	100.0
260326at2759	Saccharomyces	488	9	7	F27292;F332112	assessed	True	100	0	0	
260326at2759	Serendipita	488	5	5		assessed	True	100	0	0	
260326at2759	Suillus	488	10	10		assessed	True	93	0	0	
260326at2759	Tilletia	488	5	5		assessed	True	100	0	0	
260326at2759	Trichoderma	488	10	10		assessed	False		1	1	83.3
260326at2759	Umbelopsis	488	4	4		assessed	True	86	0	0	
260326at2759	Wallemia	488	4	4		assessed	True	82.8	0	0	
2852757at2759	Amanita	477	7	5	F71933;F87326	assessed	True	97.9	0	0	
2852757at2759	Aspergillus	477	10	10		assessed	True	99.4	0	0	
2852757at2759	Candida	477	6	5	F5486	assessed	True	99.7	0	0	
2852757at2759	Colletotrichum	477	10	10		assessed	True	99.7	0	0	
2852757at2759	Cryptococcus	477	10	10		assessed	True	99.2	0	0	
2852757at2759	Fusarium	477	10	10		assessed	True	99	0	0	
