marker	single_copy_taxa	taxa_with_exact_sequence_structure
115730at2759	481	119
129234at2759	472	124
160487at2759	487	108
201273at2759	478	114
207567at2759	478	121
260326at2759	488	135
2852757at2759	477	101
288615at2759	504	117
319730at2759	491	113
340246at2759	468	98
345792at2759	482	113
352891at2759	472	111
3643464at2759	462	101
4613677at2759	478	106
4695236at2759	486	108
4747214at2759	480	119
4764044at2759	475	112
4803900at2759	418	94
4810093at2759	452	89
4813267at2759	486	102
4823929at2759	492	108
4837017at2759	489	108
4838864at2759	486	110
4843240at2759	476	105
4843824at2759	432	113
4867008at2759	476	117
4888252at2759	471	102
4896098at2759	463	114
4900375at2759	496	114
4908955at2759	499	118
4911644at2759	479	103
4940884at2759	460	97
4969018at2759	488	118
4969636at2759	480	114
4969990at2759	483	127
4970387at2759	444	111
4970538at2759	485	119
4971272at2759	473	116
4974767at2759	465	110
4975094at2759	477	111
4976279at2759	464	109
4977163at2759	470	108
4977863at2759	482	107
4983000at2759	486	120
4985971at2759	492	118
4986044at2759	495	116
4987397at2759	480	108
4988239at2759	480	108
4999134at2759	476	2
5000045at2759	482	116
5000152at2759	486	109
5000362at2759	475	113
5000371at2759	465	102
5000452at2759	462	107
5000476at2759	479	119
5000743at2759	493	114
5000823at2759	470	114
5000870at2759	486	114
5000986at2759	472	103
5001156at2759	478	107
5001273at2759	454	114
5001280at2759	496	111
5001318at2759	474	110
5001413at2759	491	118
5001473at2759	495	121
5001660at2759	484	113
5001734at2759	476	107
5001941at2759	451	103
5002334at2759	466	105
5002573at2759	480	105
5003022at2759	471	108
5003192at2759	469	110
5003205at2759	499	5
5003856at2759	490	111
5003972at2759	481	103
5004118at2759	481	112
5004265at2759	489	111
5004327at2759	473	96
5004391at2759	478	94
5004478at2759	482	113
5004599at2759	484	114
5005010at2759	476	126
5005174at2759	477	120
5005196at2759	476	113
5005215at2759	494	107
5005217at2759	483	113
5005274at2759	482	112
5005697at2759	504	111
5005750at2759	474	119
5005892at2759	480	107
5006326at2759	486	108
5006412at2759	479	101
5011777at2759	502	104
5013042at2759	436	103
5013067at2759	473	124
5013259at2759	500	115
5013539at2759	489	114
5013726at2759	475	118
5013738at2759	487	125
5013992at2759	488	105
5014007at2759	474	99
5015403at2759	480	110
5015647at2759	480	107
5015712at2759	472	105
5015742at2759	466	110
5015876at2759	498	114
5017019at2759	480	114
5018803at2759	489	104
529759at2759	490	132
530014at2759	485	112
530740at2759	466	106
538728at2759	484	112
538952at2759	469	103
539632at2759	488	123
540946at2759	478	104
541070at2759	477	111
554735at2759	459	113
649304at2759	480	110
707076at2759	492	117
707202at2759	492	116
727964at2759	473	108
730114at2759	480	110
760428at2759	481	114
776280at2759	502	106
801816at2759	478	111
