marker	alphabet	taxa	columns	Name	SymSig	SymNon	SymPval	MarSig	MarNon	MarPval	IntSig	IntNon	IntPval
115730at2759	3di	15	209	Noname	0	105	0.199024	0	0	nan	0	0	nan
115730at2759	aa	15	209	Noname	0	103	0.352695	0	0	nan	0	0	nan
129234at2759	3di	154	166	Noname	1	11779	0.333331	13	562	nan	5	570	nan
129234at2759	aa	154	166	Noname	1	11779	0.711362	104	4247	nan	7	4344	nan
201273at2759	3di	71	111	Noname	0	2464	0.500589	0	0	nan	0	0	nan
201273at2759	aa	71	111	Noname	0	2477	0.500176	0	0	nan	0	0	nan
207567at2759	3di	134	171	Noname	1	8907	0.391625	0	1	nan	0	1	nan
207567at2759	aa	134	171	Noname	0	8907	0.333331	43	3459	nan	13	3489	nan
260326at2759	3di	135	151	Noname	9	9031	0.293325	0	47	nan	0	47	nan
260326at2759	aa	135	151	Noname	0	9038	0.509313	21	4906	nan	23	4904	nan
319730at2759	3di	10	400	Noname	0	42	0.587923	0	8	0.273555	0	8	0.813696
319730at2759	aa	10	400	Noname	0	42	0.592622	1	39	0.497107	0	40	0.583715
345792at2759	3di	42	226	Noname	0	860	0.091988	1	15	nan	0	16	nan
345792at2759	aa	42	226	Noname	0	861	0.406682	4	100	0.267342	0	104	0.554448
352891at2759	3di	95	240	Noname	2	4460	0.334659	0	19	nan	0	19	nan
352891at2759	aa	95	240	Noname	9	4453	0.368481	143	3009	0.0950361	15	3137	0.671873
4613677at2759	3di	140	73	Noname	0	9703	0.596313	0	0	nan	0	0	nan
4613677at2759	aa	140	73	Noname	0	9727	0.313562	0	0	nan	0	0	nan
4747214at2759	3di	118	111	Noname	132	6770	0.124652	0	0	nan	0	0	nan
4747214at2759	aa	118	111	Noname	0	6902	0.422724	0	246	0.471876	0	246	0.347816
4803900at2759	3di	137	101	Noname	0	9308	0.192018	0	0	nan	0	0	nan
4803900at2759	aa	137	101	Noname	0	9311	0.514952	4	680	nan	2	682	nan
4823929at2759	3di	12	409	Noname	0	66	0.440692	2	49	0.923137	0	51	0.127325
4823929at2759	aa	12	409	Noname	6	60	0.0938913	11	46	1.65598e-06	1	56	0.991291
4837017at2759	3di	146	196	Noname	33	10552	0.142148	0	0	nan	0	0	nan
4837017at2759	aa	146	196	Noname	8	10575	0.628778	833	7223	0.228631	15	8041	0.770291
4843824at2759	3di	124	196	Noname	6	7619	0.357572	0	124	nan	2	122	nan
4843824at2759	aa	124	196	Noname	4	7621	0.2143	221	6251	0.913789	20	6452	0.055312
4867008at2759	3di	133	177	Noname	10	8768	0.58304	9	532	nan	2	539	nan
4867008at2759	aa	133	177	Noname	3	8774	0.672173	91	5104	nan	20	5175	nan
4896098at2759	3di	116	149	Noname	0	6668	0.262666	0	3	nan	0	3	nan
4896098at2759	aa	116	149	Noname	0	6667	0.714133	0	161	nan	2	159	nan
4900375at2759	3di	138	169	Noname	12	9439	0.220131	0	0	nan	0	0	nan
4900375at2759	aa	138	169	Noname	3	9449	0.565962	614	4884	nan	19	5479	nan
4908955at2759	3di	24	275	Noname	5	271	0.43078	0	18	nan	0	18	nan
4908955at2759	aa	24	275	Noname	0	276	0.406682	2	40	nan	0	42	nan
