taxon_id	species_name	study_role	lineage_group	markers	raw_complete_single	raw_duplicated	raw_fragmented	raw_missing	duplicated_one_annotated_gene	duplicated_multiple_annotated_genes	duplicated_unresolved_gene_mapping	detected_markers_with_no_original_hit_retained	duplicated_markers_with_one_original_hit_retained
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	125	122	0	0	3	0	0	0	0	0
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	125	1	119	0	5	0	119	0	0	0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	125	120	1	1	3	0	1	0	0	0
F318763	Pleopsidium flavum	ingroup	Ascomycota	125	103	16	2	4	0	16	0	0	0
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F4918	Pachysolen tannophilus	ingroup	Ascomycota	125	120	1	1	3	0	1	0	0	0
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	125	121	0	1	3	0	0	0	0	0
F393283	Pestalotiopsis fici	ingroup	Ascomycota	125	120	1	0	4	0	1	0	0	0
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F91480	Alyxoria varia	ingroup	Ascomycota	125	119	0	0	6	0	0	0	0	0
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	125	119	0	0	6	0	0	0	0	0
F54195	Ascoidea rubescens	ingroup	Ascomycota	125	120	1	0	4	0	1	0	0	0
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F1176130	Aulographum hederae	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1397036	Lambiella insularis	ingroup	Ascomycota	125	114	0	1	10	0	0	0	0	0
F223409	Ptychographa xylographoides	ingroup	Ascomycota	125	121	0	0	4	0	0	0	0	0
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	125	120	0	0	5	0	0	0	0	0
F462254	Aplosporella prunicola	ingroup	Ascomycota	125	123	2	0	0	0	2	0	0	0
F236234	Diplodia corticola	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	125	97	0	5	23	0	0	0	0	0
F116794	Heterodermia speciosa	ingroup	Ascomycota	125	121	1	0	3	0	1	0	0	0
F116821	Physcia stellaris	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	125	123	2	0	0	0	2	0	0	0
F460848	Candelaria pacifica	ingroup	Ascomycota	125	119	1	1	4	0	1	0	0	0
F460854	Candelina submexicana	ingroup	Ascomycota	125	120	0	0	5	0	0	0	0	0
F1453791	Pycnora praestabilis	ingroup	Ascomycota	125	120	0	3	2	0	0	0	0	0
F147573	Piedraia hortae	ingroup	Ascomycota	125	122	0	1	2	0	0	0	0	0
