marker	fit	sites	log_likelihood	original_fit_log_likelihood	log_likelihood_change	site_likelihood_sum_error	printed_precision_bound	gamma_alpha	warnings
115730at2759	aa	209	-1739.107	-1739.107	0.0	2.999999992425728e-05	0.02481001000000013	0.4862	0
115730at2759	3di_af	209	-1266.2266	-1266.2266	0.0	9.000000000014552e-05	0.005820009999999976	0.2732	2
115730at2759	3di_af_empirical	209	-1224.8722	-1224.8722	0.0	0.00021999999989930075	0.005640009999999975	0.2817	2
115730at2759	3di_llm	209	-1260.6449	-1260.6449	0.0	0.00016000000005078618	0.014820009999999975	0.2803	2
129234at2759	aa	166	-11033.5143	-11033.5142	-0.00010000000111176632	0.0006400000002031447	0.06118001000000009	0.894	2
129234at2759	3di_af	166	-9609.124	-9609.124	0.0	0.0013699999999516876	0.5529400099999995	0.731	2
129234at2759	3di_af_empirical	166	-9627.3136	-9627.3136	0.0	0.0019400000001041917	0.05164001000000008	0.6815	2
129234at2759	3di_llm	166	-9703.2542	-9703.2542	0.0	0.00014000000010128133	0.11185000999999989	0.7232	2
201273at2759	aa	111	-2308.8016	-2308.8015	-9.999999974752427e-05	2.9999999696883606e-05	0.011540009999999991	0.9392	1
201273at2759	3di_af	111	-1185.0172	-1185.0172	0.0	7.000000005064066e-05	0.0030800099999999976	0.2363	2
201273at2759	3di_af_empirical	111	-1141.0952	-1141.0952	0.0	3.999999989900971e-05	0.004520009999999993	0.2583	2
201273at2759	3di_llm	111	-1206.8287	-1206.8287	0.0	1.9999999949504854e-05	0.004610009999999996	0.2278	2
207567at2759	aa	171	-9221.2635	-9221.2636	0.00010000000111176632	0.0002900000017689308	0.03915501000000013	0.8607	2
207567at2759	3di_af	171	-8466.7307	-8466.7307	0.0	0.00013000000035390258	0.08685500999999979	0.6555	2
207567at2759	3di_af_empirical	171	-8455.8031	-8455.8031	0.0	0.002119999999194988	0.036950010000000075	0.6225	2
207567at2759	3di_llm	171	-8573.8283	-8573.8283	0.0	0.0005100000016682316	0.14045000999999982	0.6408	2
260326at2759	aa	151	-12753.2794	-12753.2794	0.0	0.0019199999987904448	0.12194500999999973	1.0391	2
260326at2759	3di_af	151	-8950.541	-8950.541	0.0	0.00018000000090978574	0.041755010000000085	0.5606	2
260326at2759	3di_af_empirical	151	-9207.6683	-9207.6683	0.0	0.0018200000013166573	0.0987700099999998	0.6313	2
260326at2759	3di_llm	151	-8917.709	-8917.709	0.0	0.0001900000006571645	0.5385100099999991	0.5506	2
319730at2759	aa	400	-4141.7332	-4141.7332	0.0	0.0002299999996466795	0.07094501000000024	0.7686	1
319730at2759	3di_af	400	-2345.7517	-2345.7517	0.0	0.0001999999999497959	0.024640010000000084	0.2848	1
319730at2759	3di_af_empirical	400	-2309.8676	-2309.8676	0.0	0.00041999999984909664	0.01586500999999996	0.2808	1
