query	target	qstart	qend	qlen	tstart	tend	tlen	alnlen	cigar	matched_positions	implemented_denominator	inclusive_min_span	score	denominator_less_than_matched	score_above_one	theoretical_upper_bound
M000926	M011904	1	122	122	1	122	122	122	122M	122	121	122	1.008	True	True	1.0082644628099173
M002019	M000079	1	116	116	1	116	116	116	116M	116	115	116	1.004	True	True	1.008695652173913
M005965	M005867	1	193	193	1	193	193	193	193M	193	192	193	1.002	True	True	1.0052083333333333
M017013	M017316	1	181	181	1	181	181	181	181M	181	180	181	1.003	True	True	1.0055555555555555
M007948	M000079	1	116	116	1	116	116	116	116M	116	115	116	1.006	True	True	1.008695652173913
M017316	M017013	1	181	181	1	181	181	181	181M	181	180	181	1.003	True	True	1.0055555555555555
M003923	M011059	1	204	204	1	204	204	204	204M	204	203	204	1.004	True	True	1.0049261083743843
M006130	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.002	True	True	1.0086206896551724
M006163	M005501	1	121	129	1	121	122	121	121M	121	120	121	1.003	True	True	1.0083333333333333
M006163	M007059	1	120	129	1	120	121	120	120M	120	119	120	1.003	True	True	1.0084033613445378
M002877	M007382	25	168	168	1	144	144	144	144M	144	143	144	1.001	True	True	1.006993006993007
M003040	M006771	2	123	124	3	124	133	122	122M	122	121	122	1.001	True	True	1.0082644628099173
M010205	M006771	2	117	125	3	118	133	116	116M	116	115	116	1.003	True	True	1.008695652173913
M013379	M014329	1	115	115	1	115	115	115	115M	115	114	115	1.006	True	True	1.0087719298245614
M011059	M003923	1	204	204	1	204	204	204	204M	204	203	204	1.004	True	True	1.0049261083743843
M016844	M015783	1	181	181	62	242	242	181	181M	181	180	181	1.001	True	True	1.0055555555555555
M000079	M002019	1	116	116	1	116	116	116	116M	116	115	116	1.004	True	True	1.008695652173913
M000079	M003654	1	116	116	1	116	116	116	116M	116	115	116	1.004	True	True	1.008695652173913
M000079	M007948	1	116	116	1	116	116	116	116M	116	115	116	1.006	True	True	1.008695652173913
M000079	M003552	1	116	116	1	116	116	116	116M	116	115	116	1.003	True	True	1.008695652173913
M005867	M005965	1	193	193	1	193	193	193	193M	193	192	193	1.002	True	True	1.0052083333333333
M008181	M006777	1	183	183	1	183	183	183	183M	183	182	183	1.002	True	True	1.0054945054945055
M016352	M014231	1	120	120	1	120	120	120	120M	120	119	120	1.008	True	True	1.0084033613445378
M010780	M001167	1	286	286	1	286	286	286	286M	286	285	286	1.003	True	True	1.0035087719298246
M014329	M013379	1	115	115	1	115	115	115	115M	115	114	115	1.006	True	True	1.0087719298245614
M004569	M001167	1	286	286	1	286	286	286	286M	286	285	286	1.003	True	True	1.0035087719298246
M003552	M000079	1	116	116	1	116	116	116	116M	116	115	116	1.003	True	True	1.008695652173913
M005349	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.004	True	True	1.0086206896551724
M013647	M014675	1	117	117	1	117	117	117	117M	117	116	117	1.004	True	True	1.0086206896551724
M013647	M016317	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M011904	M000926	1	122	122	1	122	122	122	122M	122	121	122	1.008	True	True	1.0082644628099173
M014675	M013647	1	117	117	1	117	117	117	117M	117	116	117	1.004	True	True	1.0086206896551724
M003654	M000079	1	116	116	1	116	116	116	116M	116	115	116	1.004	True	True	1.008695652173913
M007059	M006163	1	120	121	1	120	129	120	120M	120	119	120	1.003	True	True	1.0084033613445378
M007382	M002877	1	144	144	25	168	168	144	144M	144	143	144	1.001	True	True	1.006993006993007
M011120	M000980	1	151	151	1	151	151	151	151M	151	150	151	1.003	True	True	1.0066666666666666
M014231	M016352	1	120	120	1	120	120	120	120M	120	119	120	1.008	True	True	1.0084033613445378
M005501	M006163	1	121	122	1	121	129	121	121M	121	120	121	1.003	True	True	1.0083333333333333
M015783	M016844	62	242	242	1	181	181	181	181M	181	180	181	1.001	True	True	1.0055555555555555
M015783	M017627	62	242	242	1	181	181	181	181M	181	180	181	1.001	True	True	1.0055555555555555
M017627	M015783	1	181	181	62	242	242	181	181M	181	180	181	1.001	True	True	1.0055555555555555
M000433	M011361	1	117	117	1	117	117	117	117M	117	116	117	1.008	True	True	1.0086206896551724
M000433	M005594	1	117	117	1	117	117	117	117M	117	116	117	1.006	True	True	1.0086206896551724
M000433	M006194	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M000433	M006130	1	117	117	1	117	117	117	117M	117	116	117	1.002	True	True	1.0086206896551724
M000433	M007320	1	117	117	1	117	117	117	117M	117	116	117	1.005	True	True	1.0086206896551724
M000433	M005349	1	117	117	1	117	117	117	117M	117	116	117	1.004	True	True	1.0086206896551724
M000433	M006890	1	117	117	1	117	117	117	117M	117	116	117	1.002	True	True	1.0086206896551724
M000433	M005433	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M000433	M006831	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M005594	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.006	True	True	1.0086206896551724
