marker	alphabet	test	possible_pairs	reported_tested_pairs	pairs_not_in_reported_counts	reported_maximum_test_pvalue	maximum_test_estimable	nominal_maximum_p_below_0_05
115730at2759	3di	Sym	105	105	0	0.199024	True	False
115730at2759	3di	Mar	105	0	105	nan	False	False
115730at2759	3di	Int	105	0	105	nan	False	False
115730at2759	aa	Sym	105	103	2	0.352695	True	False
115730at2759	aa	Mar	105	0	105	nan	False	False
115730at2759	aa	Int	105	0	105	nan	False	False
129234at2759	3di	Sym	11781	11780	1	0.333331	True	False
129234at2759	3di	Mar	11781	575	11206	nan	False	False
129234at2759	3di	Int	11781	575	11206	nan	False	False
129234at2759	aa	Sym	11781	11780	1	0.711362	True	False
129234at2759	aa	Mar	11781	4351	7430	nan	False	False
129234at2759	aa	Int	11781	4351	7430	nan	False	False
201273at2759	3di	Sym	2485	2464	21	0.500589	True	False
201273at2759	3di	Mar	2485	0	2485	nan	False	False
201273at2759	3di	Int	2485	0	2485	nan	False	False
201273at2759	aa	Sym	2485	2477	8	0.500176	True	False
201273at2759	aa	Mar	2485	0	2485	nan	False	False
201273at2759	aa	Int	2485	0	2485	nan	False	False
207567at2759	3di	Sym	8911	8908	3	0.391625	True	False
207567at2759	3di	Mar	8911	1	8910	nan	False	False
207567at2759	3di	Int	8911	1	8910	nan	False	False
207567at2759	aa	Sym	8911	8907	4	0.333331	True	False
207567at2759	aa	Mar	8911	3502	5409	nan	False	False
207567at2759	aa	Int	8911	3502	5409	nan	False	False
260326at2759	3di	Sym	9045	9040	5	0.293325	True	False
260326at2759	3di	Mar	9045	47	8998	nan	False	False
260326at2759	3di	Int	9045	47	8998	nan	False	False
260326at2759	aa	Sym	9045	9038	7	0.509313	True	False
260326at2759	aa	Mar	9045	4927	4118	nan	False	False
260326at2759	aa	Int	9045	4927	4118	nan	False	False
319730at2759	3di	Sym	45	42	3	0.587923	True	False
319730at2759	3di	Mar	45	8	37	0.273555	True	False
319730at2759	3di	Int	45	8	37	0.813696	True	False
319730at2759	aa	Sym	45	42	3	0.592622	True	False
319730at2759	aa	Mar	45	40	5	0.497107	True	False
319730at2759	aa	Int	45	40	5	0.583715	True	False
345792at2759	3di	Sym	861	860	1	0.091988	True	False
345792at2759	3di	Mar	861	16	845	nan	False	False
345792at2759	3di	Int	861	16	845	nan	False	False
345792at2759	aa	Sym	861	861	0	0.406682	True	False
345792at2759	aa	Mar	861	104	757	0.267342	True	False
345792at2759	aa	Int	861	104	757	0.554448	True	False
352891at2759	3di	Sym	4465	4462	3	0.334659	True	False
352891at2759	3di	Mar	4465	19	4446	nan	False	False
352891at2759	3di	Int	4465	19	4446	nan	False	False
352891at2759	aa	Sym	4465	4462	3	0.368481	True	False
352891at2759	aa	Mar	4465	3152	1313	0.0950361	True	False
352891at2759	aa	Int	4465	3152	1313	0.671873	True	False
4613677at2759	3di	Sym	9730	9703	27	0.596313	True	False
4613677at2759	3di	Mar	9730	0	9730	nan	False	False
4613677at2759	3di	Int	9730	0	9730	nan	False	False
4613677at2759	aa	Sym	9730	9727	3	0.313562	True	False
4613677at2759	aa	Mar	9730	0	9730	nan	False	False
4613677at2759	aa	Int	9730	0	9730	nan	False	False
4747214at2759	3di	Sym	6903	6902	1	0.124652	True	False
4747214at2759	3di	Mar	6903	0	6903	nan	False	False
4747214at2759	3di	Int	6903	0	6903	nan	False	False
4747214at2759	aa	Sym	6903	6902	1	0.422724	True	False
4747214at2759	aa	Mar	6903	246	6657	0.471876	True	False
4747214at2759	aa	Int	6903	246	6657	0.347816	True	False
4803900at2759	3di	Sym	9316	9308	8	0.192018	True	False
4803900at2759	3di	Mar	9316	0	9316	nan	False	False
4803900at2759	3di	Int	9316	0	9316	nan	False	False
4803900at2759	aa	Sym	9316	9311	5	0.514952	True	False
4803900at2759	aa	Mar	9316	684	8632	nan	False	False
4803900at2759	aa	Int	9316	684	8632	nan	False	False
4823929at2759	3di	Sym	66	66	0	0.440692	True	False
4823929at2759	3di	Mar	66	51	15	0.923137	True	False
4823929at2759	3di	Int	66	51	15	0.127325	True	False
4823929at2759	aa	Sym	66	66	0	0.0938913	True	False
4823929at2759	aa	Mar	66	57	9	1.65598e-06	True	True
4823929at2759	aa	Int	66	57	9	0.991291	True	False
4837017at2759	3di	Sym	10585	10585	0	0.142148	True	False
4837017at2759	3di	Mar	10585	0	10585	nan	False	False
4837017at2759	3di	Int	10585	0	10585	nan	False	False
4837017at2759	aa	Sym	10585	10583	2	0.628778	True	False
4837017at2759	aa	Mar	10585	8056	2529	0.228631	True	False
4837017at2759	aa	Int	10585	8056	2529	0.770291	True	False
4843824at2759	3di	Sym	7626	7625	1	0.357572	True	False
4843824at2759	3di	Mar	7626	124	7502	nan	False	False
4843824at2759	3di	Int	7626	124	7502	nan	False	False
4843824at2759	aa	Sym	7626	7625	1	0.2143	True	False
4843824at2759	aa	Mar	7626	6472	1154	0.913789	True	False
4843824at2759	aa	Int	7626	6472	1154	0.055312	True	False
4867008at2759	3di	Sym	8778	8778	0	0.58304	True	False
4867008at2759	3di	Mar	8778	541	8237	nan	False	False
4867008at2759	3di	Int	8778	541	8237	nan	False	False
4867008at2759	aa	Sym	8778	8777	1	0.672173	True	False
4867008at2759	aa	Mar	8778	5195	3583	nan	False	False
4867008at2759	aa	Int	8778	5195	3583	nan	False	False
4896098at2759	3di	Sym	6670	6668	2	0.262666	True	False
4896098at2759	3di	Mar	6670	3	6667	nan	False	False
4896098at2759	3di	Int	6670	3	6667	nan	False	False
4896098at2759	aa	Sym	6670	6667	3	0.714133	True	False
4896098at2759	aa	Mar	6670	161	6509	nan	False	False
4896098at2759	aa	Int	6670	161	6509	nan	False	False
4900375at2759	3di	Sym	9453	9451	2	0.220131	True	False
4900375at2759	3di	Mar	9453	0	9453	nan	False	False
4900375at2759	3di	Int	9453	0	9453	nan	False	False
4900375at2759	aa	Sym	9453	9452	1	0.565962	True	False
4900375at2759	aa	Mar	9453	5498	3955	nan	False	False
4900375at2759	aa	Int	9453	5498	3955	nan	False	False
4908955at2759	3di	Sym	276	276	0	0.43078	True	False
4908955at2759	3di	Mar	276	18	258	nan	False	False
4908955at2759	3di	Int	276	18	258	nan	False	False
4908955at2759	aa	Sym	276	276	0	0.406682	True	False
4908955at2759	aa	Mar	276	42	234	nan	False	False
4908955at2759	aa	Int	276	42	234	nan	False	False
4969018at2759	3di	Sym	28	28	0	0.296143	True	False
4969018at2759	3di	Mar	28	0	28	nan	False	False
4969018at2759	3di	Int	28	0	28	nan	False	False
4969018at2759	aa	Sym	28	28	0	0.484316	True	False
4969018at2759	aa	Mar	28	7	21	0.404451	True	False
4969018at2759	aa	Int	28	7	21	0.535935	True	False
4969636at2759	3di	Sym	78	78	0	0.514836	True	False
4969636at2759	3di	Mar	78	0	78	nan	False	False
4969636at2759	3di	Int	78	0	78	nan	False	False
4969636at2759	aa	Sym	78	78	0	0.147371	True	False
4969636at2759	aa	Mar	78	43	35	0.004581	True	True
4969636at2759	aa	Int	78	43	35	0.93485	True	False
4969990at2759	3di	Sym	36	36	0	0.129775	True	False
4969990at2759	3di	Mar	36	0	36	nan	False	False
4969990at2759	3di	Int	36	0	36	nan	False	False
4969990at2759	aa	Sym	36	36	0	0.0402911	True	True
4969990at2759	aa	Mar	36	22	14	1.80322e-06	True	True
4969990at2759	aa	Int	36	22	14	0.937399	True	False
4970387at2759	3di	Sym	9045	9022	23	0.00470122	True	True
4970387at2759	3di	Mar	9045	0	9045	nan	False	False
4970387at2759	3di	Int	9045	0	9045	nan	False	False
4970387at2759	aa	Sym	9045	9043	2	0.772863	True	False
4970387at2759	aa	Mar	9045	0	9045	nan	False	False
4970387at2759	aa	Int	9045	0	9045	nan	False	False
4971272at2759	3di	Sym	15	15	0	0.672413	True	False
4971272at2759	3di	Mar	15	0	15	nan	False	False
4971272at2759	3di	Int	15	0	15	nan	False	False
4971272at2759	aa	Sym	15	15	0	0.154813	True	False
4971272at2759	aa	Mar	15	12	3	1.06452e-05	True	True
4971272at2759	aa	Int	15	12	3	0.983894	True	False
4974767at2759	3di	Sym	276	272	4	0.332145	True	False
4974767at2759	3di	Mar	276	0	276	nan	False	False
4974767at2759	3di	Int	276	0	276	nan	False	False
4974767at2759	aa	Sym	276	273	3	0.458944	True	False
4974767at2759	aa	Mar	276	0	276	nan	False	False
4974767at2759	aa	Int	276	0	276	nan	False	False
4976279at2759	3di	Sym	55	55	0	0.220698	True	False
4976279at2759	3di	Mar	55	0	55	nan	False	False
4976279at2759	3di	Int	55	0	55	nan	False	False
4976279at2759	aa	Sym	55	55	0	0.664404	True	False
4976279at2759	aa	Mar	55	42	13	0.907735	True	False
4976279at2759	aa	Int	55	42	13	0.360537	True	False
4977163at2759	3di	Sym	10296	10289	7	0.532104	True	False
4977163at2759	3di	Mar	10296	0	10296	nan	False	False
4977163at2759	3di	Int	10296	0	10296	nan	False	False
4977163at2759	aa	Sym	10296	10292	4	0.440493	True	False
4977163at2759	aa	Mar	10296	2814	7482	nan	False	False
4977163at2759	aa	Int	10296	2814	7482	nan	False	False
4985971at2759	3di	Sym	120	120	0	0.339716	True	False
4985971at2759	3di	Mar	120	0	120	nan	False	False
4985971at2759	3di	Int	120	0	120	nan	False	False
4985971at2759	aa	Sym	120	120	0	0.439102	True	False
4985971at2759	aa	Mar	120	15	105	0.28319	True	False
4985971at2759	aa	Int	120	15	105	0.559982	True	False
5000045at2759	3di	Sym	120	120	0	0.0571296	True	False
5000045at2759	3di	Mar	120	0	120	nan	False	False
5000045at2759	3di	Int	120	0	120	nan	False	False
5000045at2759	aa	Sym	120	120	0	0.439582	True	False
5000045at2759	aa	Mar	120	82	38	0.00063231	True	True
5000045at2759	aa	Int	120	82	38	0.993662	True	False
5000371at2759	3di	Sym	105	105	0	0.639868	True	False
5000371at2759	3di	Mar	105	59	46	nan	False	False
5000371at2759	3di	Int	105	59	46	nan	False	False
5000371at2759	aa	Sym	105	105	0	0.662129	True	False
5000371at2759	aa	Mar	105	97	8	0.350595	True	False
5000371at2759	aa	Int	105	97	8	0.732618	True	False
5000452at2759	3di	Sym	1081	1079	2	0.834942	True	False
5000452at2759	3di	Mar	1081	0	1081	nan	False	False
5000452at2759	3di	Int	1081	0	1081	nan	False	False
5000452at2759	aa	Sym	1081	1079	2	0.724904	True	False
5000452at2759	aa	Mar	1081	534	547	0.168108	True	False
5000452at2759	aa	Int	1081	534	547	0.895048	True	False
5000476at2759	3di	Sym	45	45	0	0.807083	True	False
5000476at2759	3di	Mar	45	0	45	nan	False	False
5000476at2759	3di	Int	45	0	45	nan	False	False
5000476at2759	aa	Sym	45	45	0	0.402747	True	False
5000476at2759	aa	Mar	45	30	15	0.0537577	True	False
5000476at2759	aa	Int	45	30	15	0.779749	True	False
5000743at2759	3di	Sym	12403	12400	3	0.376265	True	False
5000743at2759	3di	Mar	12403	348	12055	0.786081	True	False
5000743at2759	3di	Int	12403	348	12055	0.147462	True	False
5000743at2759	aa	Sym	12403	12400	3	0.339218	True	False
5000743at2759	aa	Mar	12403	6825	5578	0.154483	True	False
5000743at2759	aa	Int	12403	6825	5578	0.567391	True	False
5001156at2759	3di	Sym	105	105	0	0.587759	True	False
